Messstelle:                ;Gaming
HZB-Nummer:                ;207746
HD-Nummer:                 ;no090
DBMS-Nummer:               ;3001014
Gewässer:                  ;Gamingbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;51,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00399,00
   01.01.1979              ;00396,15
   01.10.2006              ;00396,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1964              ;658312,00 - 312084,00
   01.01.1965              ;658308,00 - 312083,00
Exportzeitreihe:           ;(3001014,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
01.01.1976 01:00:00;   137
23.02.1976 11:00:00;   134
15.03.1976 16:00:00;   132
08.04.1976 12:00:00;   137
20.05.1976 12:00:00;   135
30.06.1976 17:00:00;   135
05.07.1976 17:00:00;   132
10.08.1976 15:00:00;   133
09.09.1976 12:00:00;   137
28.10.1976 14:00:00;   132
13.11.1976 13:00:00;   133
30.12.1976 11:00:00;   141
04.01.1977 15:00:00;   135
04.02.1977 06:00:00;   142
28.03.1977 08:00:00;   146
07.04.1977 12:00:00;   147
28.05.1977 10:00:00;   141
23.06.1977 17:00:00;   137
29.07.1977 17:00:00;   134
31.08.1977 17:00:00;   141
08.09.1977 17:00:00;   137
07.10.1977 12:00:00;   137
27.11.1977 13:00:00;   137
13.12.1977 02:00:00;   138
31.01.1978 09:00:00;   139
06.02.1978 08:00:00;   137
08.03.1978 12:00:00;   144
08.04.1978 16:00:00;   144
28.05.1978 04:00:00;   143
15.06.1978 12:00:00;   138
31.07.1978 13:00:00;   137
24.08.1978 17:00:00;   134
04.09.1978 18:00:00;   132
16.10.1978 10:00:00;   137
06.11.1978 13:00:00;   138
07.12.1978 14:00:00;   129
24.01.1979 17:00:00;   134
01.02.1979 17:00:00;   137
04.03.1979 12:00:00;   136
01.04.1979 12:00:00;   154
31.05.1979 18:00:00;   144
13.06.1979 17:00:00;   137
31.07.1979 13:00:00;   134
29.08.1979 14:00:00;   135
19.09.1979 13:00:00;   136
31.10.1979 17:00:00;   132
02.11.1979 12:00:00;   134
29.12.1979 14:00:00;   137
21.01.1980 06:00:00;   134
28.02.1980 09:00:00;   142
04.03.1980 11:00:00;   138
07.04.1980 04:00:00;   149
30.05.1980 09:00:00;   147
19.06.1980 15:00:00;   137
10.07.1980 11:00:00;   142
26.08.1980 17:00:00;   133
25.09.1980 17:00:00;   135
07.10.1980 08:00:00;   134
03.11.1980 18:00:00;   137
01.12.1980 10:00:00;   142
26.01.1981 17:45:00;   143
27.02.1981 10:45:00;   141
06.03.1981 10:45:00;   140
22.04.1981 16:30:00;   139
26.05.1981 16:30:00;   136
23.06.1981 12:00:00;   135
10.07.1981 11:00:00;   131
26.08.1981 16:15:00;   140
07.09.1981 10:15:00;   137
12.10.1981 17:30:00;   140
05.11.1981 10:30:00;   145
21.12.1981 12:00:00;   146
28.01.1982 17:15:00;   142
25.02.1982 16:45:00;   145
01.03.1982 00:00:00;   147
20.04.1982 14:30:00;   146
21.05.1982 15:30:00;   138
23.06.1982 11:30:00;   138
12.07.1982 11:00:00;   136
24.08.1982 16:15:00;   136
10.09.1982 13:15:00;   131
30.10.1982 19:45:00;   135
11.11.1982 15:00:00;   130
13.12.1982 16:15:00;   129
03.01.1983 12:15:00;   139
25.02.1983 02:45:00;   143
23.03.1983 14:45:00;   141
28.04.1983 11:00:00;   140
30.05.1983 19:00:00;   133
29.06.1983 16:45:00;   135
04.07.1983 09:00:00;   133
17.08.1983 09:45:00;   130
08.09.1983 14:15:00;   131
03.10.1983 20:15:00;   129
25.11.1983 14:30:00;   126
12.12.1983 15:30:00;   130
31.01.1984 09:15:00;   139
17.02.1984 09:30:00;   138
05.03.1984 10:15:00;   140
30.04.1984 17:00:00;   140
03.05.1984 11:00:00;   141
28.06.1984 15:45:00;   138
11.07.1984 16:15:00;   134
21.08.1984 19:45:00;   135
03.09.1984 08:30:00;   136
22.10.1984 11:15:00;   134
09.11.1984 06:30:00;   133
08.12.1984 14:45:00;   132
23.01.1985 13:30:00;   129
23.02.1985 12:45:00;   139
11.03.1985 08:45:00;   138
30.04.1985 15:45:00;   145
15.05.1985 11:30:00;   138
04.06.1985 18:15:00;   141
29.07.1985 12:45:00;   137
01.08.1985 17:00:00;   139
24.09.1985 16:15:00;   142
29.10.1985 11:30:00;   135
19.11.1985 08:45:00;   135
14.12.1985 08:45:00;   140
10.01.1986 15:30:00;   144
25.02.1986 04:45:00;   141
03.03.1986 10:30:00;   141
28.04.1986 19:30:00;   142
26.05.1986 21:45:00;   139
30.06.1986 12:00:00;   140
26.07.1986 11:15:00;   138
16.08.1986 23:15:00;   136
22.09.1986 20:30:00;   134
04.10.1986 00:30:00;   135
21.11.1986 15:00:00;   134
15.12.1986 22:15:00;   137
30.01.1987 13:45:00;   140
03.02.1987 01:15:00;   139
17.03.1987 20:00:00;   146
03.04.1987 11:15:00;   155
04.05.1987 16:45:00;   148
18.06.1987 16:00:00;   145
04.07.1987 16:30:00;   146
24.08.1987 18:00:00;   144
16.09.1987 18:30:00;   140
07.10.1987 12:00:00;   139
01.11.1987 16:45:00;   139
15.12.1987 08:15:00;   140
21.01.1988 14:00:00;   142
21.02.1988 09:15:00;   143
03.03.1988 14:00:00;   142
30.04.1988 23:59:55;   158
30.05.1988 09:30:00;   147
19.06.1988 18:15:00;   142
27.07.1988 14:30:00;   137
20.08.1988 19:45:00;   136
01.09.1988 00:00:00;   140
22.10.1988 19:30:00;   137
02.11.1988 13:15:00;   141
04.12.1988 13:00:00;   151
31.01.1989 11:15:00;   148
14.02.1989 16:30:00;   145
30.03.1989 08:30:00;   149
13.04.1989 11:15:00;   143
30.05.1989 09:00:00;   149
04.06.1989 16:45:00;   146
21.07.1989 11:45:00;   145
27.08.1989 15:30:00;   147
13.09.1989 18:15:00;   151
28.10.1989 12:30:00;   142
18.11.1989 16:30:00;   142
12.12.1989 18:45:00;   141
14.01.1990 11:15:00;   140
07.02.1990 00:15:00;   139
25.03.1990 11:15:00;   141
07.04.1990 09:00:00;   141
20.05.1990 01:15:00;   142
02.06.1990 16:15:00;   141
28.07.1990 11:45:00;   142
03.08.1990 08:00:00;   138
02.09.1990 12:15:00;   141
25.10.1990 03:15:00;   141
03.11.1990 14:15:00;   141
29.12.1990 05:30:00;   144
27.01.1991 09:15:00;   143
19.02.1991 20:15:00;   136
18.03.1991 16:30:00;   137
01.04.1991 10:30:00;   142
09.05.1991 11:45:00;   145
05.06.1991 15:30:00;   150
08.07.1991 02:15:00;   145
20.08.1991 16:30:00;   151
23.09.1991 04:15:00;   146
31.10.1991 15:30:00;   138
03.11.1991 14:30:00;   138
12.12.1991 22:00:00;   136
30.01.1992 04:15:00;   148
03.02.1992 14:45:00;   148
19.03.1992 12:15:00;   153
17.04.1992 15:15:00;   151
19.05.1992 18:00:00;   144
01.06.1992 10:45:00;   144
18.07.1992 11:45:00;   141
31.08.1992 19:15:00;   134
02.09.1992 17:30:00;   140
13.10.1992 21:45:00;   138
02.11.1992 07:30:00;   146
19.12.1992 11:45:00;   154
04.01.1993 11:45:00;   152
22.02.1993 08:00:00;   153
07.03.1993 22:45:00;   151
30.04.1993 23:59:55;   162
26.05.1993 16:30:00;   150
22.06.1993 12:45:00;   146
06.07.1993 03:45:00;   148
19.08.1993 19:15:00;   149
28.09.1993 22:15:00;   149
16.10.1993 05:00:00;   148
04.11.1993 20:45:00;   147
02.12.1993 13:00:00;   148
21.01.1994 14:00:00;   155
20.02.1994 04:00:00;   152
01.03.1994 20:30:00;   156
08.04.1994 14:30:00;   159
17.05.1994 21:30:00;   157
30.06.1994 23:59:55;   156
29.07.1994 11:30:00;   150
16.08.1994 11:15:00;   148
19.09.1994 16:30:00;   143
05.10.1994 16:45:00;   142
05.11.1994 11:30:00;   143
27.12.1994 01:15:00;   150
21.01.1995 15:45:00;   151
04.02.1995 15:00:00;   162
14.03.1995 15:00:00;   156
10.04.1995 14:45:00;   163
25.05.1995 14:15:00;   156
20.06.1995 18:30:00;   155
10.07.1995 15:30:00;   151
13.08.1995 21:00:00;   149
30.09.1995 23:59:55;   155
21.10.1995 08:45:00;   152
01.11.1995 00:00:00;   152
16.12.1995 00:00:00;   151
25.01.1996 01:30:00;   151
18.02.1996 14:00:00;   142
04.03.1996 10:45:00;   142
06.04.1996 09:30:00;   155
04.05.1996 21:30:00;   160
27.06.1996 08:00:00;   154
27.07.1996 16:45:00;   155
31.08.1996 16:30:00;   150
01.09.1996 00:00:00;   153
17.10.1996 13:30:00;   154
30.11.1996 23:59:55;   158
31.12.1996 23:59:55;   154
26.01.1997 00:05:35;   149
05.02.1997 21:33:55;   148
