Messstelle:                ;Mödling
HZB-Nummer:                ;208108
HD-Nummer:                 ;no415
DBMS-Nummer:               ;3001049
Gewässer:                  ;Mödling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00223,46
   17.07.2000              ;00222,43
   01.01.2018              ;00223,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;746080,00 - 327182,00
Exportzeitreihe:           ;(3001049,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
05.01.1976 20:00:00;    79
08.02.1976 10:00:00;    79
22.03.1976 09:00:00;    78
20.04.1976 06:00:00;    78
30.05.1976 06:00:00;    75
29.06.1976 21:00:00;    74
14.07.1976 02:00:00;    73
10.08.1976 23:00:00;    74
07.09.1976 07:00:00;    74
23.10.1976 13:00:00;    77
02.11.1976 11:00:00;    77
31.12.1976 17:00:00;    80
19.01.1977 14:00:00;    80
04.02.1977 09:00:00;    83
21.03.1977 12:00:00;    86
07.04.1977 21:00:00;    87
30.05.1977 19:00:00;    81
30.06.1977 15:00:00;    78
14.07.1977 18:00:00;    77
23.08.1977 16:00:00;    77
15.09.1977 17:00:00;    76
29.10.1977 14:00:00;    76
14.11.1977 19:00:00;    77
12.12.1977 11:00:00;    76
24.01.1978 11:00:00;    76
16.02.1978 11:00:00;    76
19.03.1978 16:00:00;    81
07.04.1978 20:00:00;    79
07.05.1978 07:00:00;    78
19.06.1978 22:00:00;    77
31.07.1978 17:00:00;    75
23.08.1978 23:00:00;    74
15.09.1978 17:00:00;    75
14.10.1978 14:00:00;    75
06.11.1978 10:00:00;    76
09.12.1978 20:00:00;    76
10.01.1979 09:00:00;    75
02.02.1979 21:00:00;    78
01.03.1979 09:00:00;    79
27.04.1979 16:00:00;    85
31.05.1979 23:59:55;    81
13.06.1979 22:00:00;    80
25.07.1979 13:00:00;    78
18.08.1979 12:00:00;    77
20.09.1979 18:00:00;    76
01.10.1979 08:00:00;    76
02.11.1979 19:00:00;    78
13.12.1979 09:00:00;    82
13.01.1980 04:00:00;    78
01.02.1980 00:00:00;    81
22.03.1980 09:00:00;    83
01.04.1980 00:00:00;    88
23.05.1980 11:00:00;    85
14.06.1980 22:00:00;    81
31.07.1980 23:59:55;    79
22.08.1980 16:00:00;    77
03.09.1980 11:00:00;    77
31.10.1980 05:00:00;    75
02.11.1980 02:00:00;    75
05.12.1980 11:00:00;    76
09.01.1981 10:00:00;    78
27.02.1981 09:00:00;    80
05.03.1981 20:00:00;    83
28.04.1981 12:00:00;    81
30.05.1981 10:00:00;    78
24.06.1981 03:00:00;    75
17.07.1981 19:00:00;    74
21.08.1981 08:00:00;    76
10.09.1981 10:00:00;    75
22.10.1981 14:00:00;    78
07.11.1981 03:00:00;    78
20.12.1981 00:01:00;    82
22.01.1982 11:00:00;    79
24.02.1982 08:00:00;    80
31.03.1982 23:59:55;    83
26.04.1982 18:00:00;    81
19.05.1982 12:00:00;    79
30.06.1982 23:59:55;    76
04.07.1982 09:00:00;    75
28.08.1982 13:00:00;    75
07.09.1982 21:00:00;    75
01.10.1982 11:00:00;    75
04.11.1982 09:00:00;    79
11.12.1982 06:00:00;    80
02.01.1983 15:30:00;    82
15.02.1983 08:30:00;    78
20.03.1983 07:00:00;    80
02.04.1983 06:30:00;    80
23.05.1983 06:00:00;    82
30.06.1983 12:00:00;    77
05.07.1983 20:00:00;    73
30.08.1983 15:30:00;    74
03.09.1983 06:00:00;    74
06.10.1983 05:00:00;    76
13.11.1983 08:30:00;    76
09.12.1983 04:30:00;    75
09.01.1984 23:30:00;    76
17.02.1984 09:00:00;    75
30.03.1984 04:00:00;    80
27.04.1984 09:00:00;    82
31.05.1984 23:59:55;    81
26.06.1984 16:30:00;    76
13.07.1984 00:30:00;    76
27.08.1984 00:00:00;    74
06.09.1984 00:00:00;    74
24.10.1984 23:30:00;    76
01.11.1984 00:00:00;    76
12.12.1984 15:30:00;    77
12.01.1985 08:00:00;    74
13.02.1985 18:30:00;    78
02.03.1985 23:30:00;    82
30.04.1985 18:00:00;    82
30.05.1985 03:00:00;    81
30.06.1985 23:59:55;    79
30.07.1985 18:30:00;    73
17.08.1985 16:00:00;    74
01.09.1985 20:30:00;    75
16.10.1985 06:00:00;    74
17.11.1985 16:00:00;    75
01.12.1985 00:00:00;    79
10.01.1986 10:45:00;    78
07.02.1986 00:01:00;    80
06.03.1986 10:30:00;    83
29.04.1986 10:00:00;    83
28.05.1986 18:00:00;    79
29.06.1986 00:00:00;    78
17.07.1986 20:30:00;    75
28.08.1986 02:15:00;    74
06.09.1986 14:45:00;    74
05.10.1986 01:00:00;    74
06.11.1986 01:00:00;    77
15.12.1986 12:00:00;    75
08.01.1987 05:45:00;    76
02.02.1987 11:30:00;    77
13.03.1987 08:15:00;    80
30.04.1987 23:59:55;    84
03.05.1987 20:00:00;    83
15.06.1987 02:45:00;    82
19.07.1987 00:00:00;    77
31.08.1987 00:00:00;    76
01.09.1987 00:00:00;    76
06.10.1987 08:00:00;    76
01.11.1987 00:00:00;    77
09.12.1987 13:45:00;    77
30.01.1988 04:30:00;    79
07.02.1988 15:00:00;    81
04.03.1988 06:30:00;    81
30.04.1988 23:59:55;    85
17.05.1988 13:30:00;    81
23.06.1988 06:30:00;    78
12.07.1988 06:15:00;    77
12.08.1988 02:00:00;    75
02.09.1988 16:00:00;    75
06.10.1988 03:30:00;    75
22.11.1988 08:45:00;    77
01.12.1988 13:00:00;    81
06.01.1989 06:15:00;    80
23.02.1989 04:00:00;    74
10.03.1989 09:00:00;    80
01.04.1989 13:15:00;    81
29.05.1989 01:15:00;    83
28.06.1989 17:00:00;    81
