Messstelle:                ;Schwechat (Hallenbad)
HZB-Nummer:                ;208157
HD-Nummer:                 ;no440
DBMS-Nummer:               ;3001052
Gewässer:                  ;Schwechat
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1028,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00156,21
   06.10.1998              ;00154,59
   06.03.2006              ;00154,58
   10.10.2016              ;00154,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1952              ;760533,40 - 333566,90
   06.10.1998              ;760498,00 - 333521,00
Exportzeitreihe:           ;(3001052,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
01.01.1976 16:00:00;   193
12.02.1976 09:00:00;   192
22.03.1976 06:00:00;   192
07.04.1976 11:00:00;   186
10.05.1976 08:00:00;   188
28.06.1976 11:00:00;   179
22.07.1976 17:00:00;   178
09.08.1976 09:00:00;   180
10.09.1976 23:00:00;   178
14.10.1976 15:00:00;   186
11.11.1976 21:00:00;   185
31.12.1976 14:00:00;   188
12.01.1977 11:00:00;   188
04.02.1977 20:00:00;   200
30.03.1977 16:00:00;   196
01.04.1977 10:00:00;   201
31.05.1977 04:00:00;   190
13.06.1977 02:00:00;   185
30.07.1977 07:00:00;   187
28.08.1977 07:00:00;   189
04.09.1977 08:00:00;   188
02.10.1977 18:00:00;   189
07.11.1977 17:00:00;   186
13.12.1977 01:00:00;   176
29.01.1978 05:00:00;   186
21.02.1978 05:00:00;   177
20.03.1978 07:00:00;   189
29.04.1978 13:00:00;   189
06.05.1978 13:00:00;   186
05.06.1978 05:00:00;   202
27.07.1978 17:00:00;   203
30.08.1978 09:00:00;   193
16.09.1978 10:00:00;   188
30.10.1978 13:00:00;   170
27.11.1978 19:00:00;   176
07.12.1978 04:00:00;   175
01.01.1979 18:00:00;   174
01.02.1979 10:00:00;   191
04.03.1979 12:00:00;   193
23.04.1979 11:00:00;   202
29.05.1979 16:00:00;   184
11.06.1979 08:00:00;   180
01.07.1979 13:00:00;   188
16.08.1979 09:00:00;   183
03.09.1979 08:00:00;   185
01.10.1979 09:00:00;   184
05.11.1979 07:00:00;   184
31.12.1979 05:00:00;   193
14.01.1980 10:00:00;   182
01.02.1980 06:00:00;   190
06.03.1980 14:00:00;   194
01.04.1980 10:00:00;   202
26.05.1980 18:00:00;   200
15.06.1980 23:00:00;   192
07.07.1980 14:00:00;   195
27.08.1980 14:00:00;   205
03.09.1980 23:00:00;   202
30.10.1980 13:00:00;   195
03.11.1980 09:00:00;   193
01.12.1980 15:00:00;   186
28.01.1981 08:00:00;   191
23.02.1981 21:00:00;   190
30.03.1981 20:00:00;   187
27.04.1981 07:00:00;   182
13.05.1981 10:00:00;   187
01.06.1981 13:00:00;   195
10.07.1981 17:00:00;   196
09.08.1981 17:00:00;   189
09.09.1981 20:00:00;   185
19.10.1981 08:00:00;   182
02.11.1981 05:00:00;   186
20.12.1981 09:00:00;   179
26.01.1982 16:00:00;   179
24.02.1982 10:00:00;   182
