Messstelle:                ;Hammerjäger
HZB-Nummer:                ;211920
HD-Nummer:                 ;ow2494
DBMS-Nummer:               ;6001140
Gewässer:                  ;Ingeringbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;198,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00748,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;630546,00 - 235942,90
   01.01.2018              ;630539,10 - 235944,30
Exportzeitreihe:           ;(6001140,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
18.01.1994 14:30:00;    91
17.02.1994 06:15:00;    96
29.03.1994 18:30:00;    93
01.04.1994 13:30:00;    95
12.05.1994 15:15:00;   117
11.06.1994 09:15:00;    95
26.07.1994 16:15:00;    91
17.08.1994 18:00:00;    89
30.09.1994 23:59:55;   104
29.10.1994 07:45:00;    95
04.11.1994 09:15:00;    99
27.12.1994 06:30:00;    98
08.01.1995 01:45:00;    95
03.02.1995 12:30:00;    91
08.03.1995 04:30:00;    94
23.04.1995 02:45:00;    94
23.05.1995 01:15:00;   104
19.06.1995 08:45:00;   107
26.07.1995 10:15:00;    92
08.08.1995 14:00:00;    91
27.09.1995 19:30:00;   103
24.10.1995 15:00:00;    99
22.11.1995 00:30:00;    89
27.12.1995 00:30:00;    89
02.01.1996 16:30:00;    90
01.02.1996 01:45:00;    92
14.03.1996 09:15:00;    90
05.04.1996 01:15:00;    89
08.05.1996 15:15:00;   123
19.06.1996 14:45:00;    95
31.07.1996 14:30:00;    93
02.08.1996 22:30:00;    91
01.09.1996 06:15:00;   109
02.10.1996 07:45:00;   113
30.11.1996 08:15:00;    99
26.12.1996 20:00:00;    98
28.01.1997 08:23:30;    93
04.02.1997 20:43:40;    94
09.03.1997 23:08:45;    97
17.04.1997 12:49:20;    94
05.05.1997 09:29:35;   109
10.06.1997 12:36:55;   106
23.07.1997 15:14:35;   103
21.08.1997 16:04:30;    98
06.09.1997 18:15:35;    94
30.10.1997 02:04:10;    99
27.11.1997 19:16:00;    96
18.12.1997 10:00:10;    91
26.01.1998 09:01:50;    92
07.02.1998 14:36:00;    92
23.03.1998 08:06:30;    88
17.04.1998 13:33:10;    89
10.05.1998 13:21:45;   106
30.06.1998 20:39:25;    96
07.07.1998 12:44:45;    96
24.08.1998 09:44:50;    95
12.09.1998 14:32:40;    99
02.10.1998 14:17:40;    98
18.11.1998 09:01:00;    94
25.12.1998 16:59:00;    89
26.01.1999 10:03:35;    90
23.02.1999 13:05:30;    90
07.03.1999 20:42:50;    91
26.04.1999 16:06:15;    98
20.05.1999 14:29:00;   102
26.06.1999 20:06:35;    99
21.07.1999 10:22:35;    96
16.08.1999 14:32:00;    96
18.09.1999 12:00:15;    98
28.10.1999 11:01:15;    97
24.11.1999 02:14:55;    92
22.12.1999 06:22:00;    91
25.01.2000 22:12:45;    93
22.02.2000 01:01:20;    95
06.03.2000 09:54:15;    97
08.04.2000 08:28:15;    98
31.05.2000 08:26:55;   114
23.06.2000 14:46:40;    91
07.07.2000 18:34:05;    91
30.08.2000 16:09:15;    90
16.09.2000 18:31:10;    92
05.10.2000 07:49:20;    95
03.11.2000 08:04:15;    99
23.12.2000 07:06:10;    93
16.01.2001 20:09:35;    92
28.02.2001 20:03:25;    92
03.03.2001 19:35:25;    92
20.04.2001 02:42:30;    93
16.05.2001 15:19:30;   108
10.06.2001 18:38:50;   104
16.07.2001 20:06:45;    93
08.08.2001 22:56:15;    93
05.09.2001 20:15:55;    96
19.10.2001 07:08:05;    93
26.11.2001 23:11:35;    90
16.12.2001 17:06:55;    90
15.01.2002 13:52:55;    89
16.02.2002 19:59:50;    90
16.03.2002 09:27:00;    90
03.04.2002 12:00:05;    92
23.05.2002 12:00:00;   105
26.06.2002 07:45:00;    97
14.07.2002 00:44:40;    90
02.08.2002 16:40:25;    97
20.09.2002 17:30:00;   103
16.10.2002 14:45:00;   103
15.11.2002 08:54:10;    95
11.12.2002 06:57:15;    95
30.01.2003 10:55:00;    88
