Messstelle:                ;Nötsch
HZB-Nummer:                ;212753
HD-Nummer:                 ;00419
DBMS-Nummer:               ;2001038
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;908,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1891              ;00549,15
   26.04.1929              ;00548,74
   15.07.1940              ;00545,74
   01.01.1954              ;00545,95
   01.01.1976              ;00545,95
   18.03.2003              ;00546,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1882              ;471650,10 - 160286,80
   04.08.2015              ;471573,00 - 160408,00
Exportzeitreihe:           ;(2001038,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
27.01.1976 17:00:00;   144
26.02.1976 12:00:00;   140
12.03.1976 16:00:00;   140
15.04.1976 18:00:00;   164
01.05.1976 19:00:00;   185
30.06.1976 23:00:00;   162
19.07.1976 22:00:00;   150
28.08.1976 03:00:00;   145
01.09.1976 00:00:00;   150
12.10.1976 15:00:00;   167
30.11.1976 23:59:55;   176
29.12.1976 05:00:00;   159
01.01.1977 20:00:00;   160
10.02.1977 11:00:00;   158
03.03.1977 16:00:00;   190
18.04.1977 19:00:00;   202
11.05.1977 15:00:00;   234
30.06.1977 08:00:00;   201
24.07.1977 21:00:00;   174
18.08.1977 02:00:00;   174
30.09.1977 10:00:00;   160
29.10.1977 12:00:00;   151
30.11.1977 17:00:00;   147
25.12.1977 10:00:00;   138
31.01.1978 13:00:00;   133
08.02.1978 09:00:00;   132
01.03.1978 00:00:00;   155
11.04.1978 20:00:00;   184
16.05.1978 20:00:00;   212
24.06.1978 01:00:00;   216
31.07.1978 23:59:55;   195
30.08.1978 08:00:00;   175
26.09.1978 03:00:00;   156
31.10.1978 23:59:55;   185
26.11.1978 04:00:00;   164
30.12.1978 11:00:00;   153
22.01.1979 04:00:00;   148
28.02.1979 15:00:00;   158
03.03.1979 18:00:00;   158
09.04.1979 21:00:00;   190
02.05.1979 01:00:00;   224
30.06.1979 11:00:00;   219
31.07.1979 23:59:55;   183
23.08.1979 23:00:00;   167
21.09.1979 06:00:00;   157
12.10.1979 04:00:00;   169
09.11.1979 00:00:00;   182
31.12.1979 21:00:00;   164
15.01.1980 20:00:00;   152
29.02.1980 23:59:55;   142
12.03.1980 08:00:00;   140
11.04.1980 20:00:00;   158
01.05.1980 09:00:00;   163
21.06.1980 21:00:00;   187
29.07.1980 22:00:00;   175
30.08.1980 20:00:00;   156
30.09.1980 23:59:55;   151
04.10.1980 10:00:00;   150
17.11.1980 20:00:00;   169
31.12.1980 23:59:55;   151
30.01.1981 13:00:00;   138
28.02.1981 16:00:00;   137
06.03.1981 08:00:00;   136
24.04.1981 05:00:00;   158
01.05.1981 21:00:00;   161
16.06.1981 09:00:00;   170
18.07.1981 02:00:00;   162
31.08.1981 11:00:00;   151
24.09.1981 14:00:00;   148
21.10.1981 07:00:00;   152
30.11.1981 12:00:00;   151
31.12.1981 16:00:00;   141
27.01.1982 14:00:00;   137
05.02.1982 15:00:00;   135
08.03.1982 23:00:00;   135
30.04.1982 03:00:00;   149
03.05.1982 22:00:00;   148
26.06.1982 23:00:00;   164
22.07.1982 07:00:00;   148
16.08.1982 08:00:00;   148
30.09.1982 19:00:00;   143
01.10.1982 02:00:00;   142
08.11.1982 16:00:00;   151
31.12.1982 14:00:00;   159
27.01.1983 14:00:00;   144
25.02.1983 15:00:00;   135
01.03.1983 10:00:00;   137
07.04.1983 22:00:00;   151
01.05.1983 00:00:00;   178
30.06.1983 23:59:55;   153
31.07.1983 23:59:55;   140
22.08.1983 00:00:00;   127
02.09.1983 10:00:00;   128
11.10.1983 10:00:00;   139
25.11.1983 19:00:00;   129
19.12.1983 08:00:00;   123
30.01.1984 19:00:00;   126
26.02.1984 08:00:00;   117
03.03.1984 12:00:00;   120
08.04.1984 12:00:00;   152
02.05.1984 19:00:00;   174
28.06.1984 20:00:00;   189
31.07.1984 23:59:55;   148
31.08.1984 23:59:55;   142
03.09.1984 08:00:00;   142
31.10.1984 16:00:00;   153
23.11.1984 16:00:00;   140
31.12.1984 23:59:55;   139
22.01.1985 21:00:00;   131
28.02.1985 21:00:00;   132
01.03.1985 14:00:00;   132
01.04.1985 19:00:00;   151
01.05.1985 20:00:00;   178
27.06.1985 00:00:00;   182
30.07.1985 06:00:00;   153
26.08.1985 02:00:00;   153
30.09.1985 23:59:55;   138
21.10.1985 10:00:00;   132
30.11.1985 21:00:00;   133
01.12.1985 21:00:00;   133
30.01.1986 17:00:00;   127
28.02.1986 16:15:00;   122
01.03.1986 09:30:00;   122
01.04.1986 00:00:00;   151
28.05.1986 19:45:00;   192
30.06.1986 23:59:55;   159
31.07.1986 03:15:00;   137
10.08.1986 16:15:00;   135
30.09.1986 23:59:55;   142
23.10.1986 11:45:00;   134
20.11.1986 08:15:00;   132
31.12.1986 23:59:55;   122
21.01.1987 05:30:00;   119
01.02.1987 00:00:00;   120
22.03.1987 11:30:00;   126
01.04.1987 23:30:00;   148
25.05.1987 02:00:00;   196
30.06.1987 23:59:55;   182
15.07.1987 07:15:00;   161
25.08.1987 03:45:00;   144
26.09.1987 16:00:00;   146
03.10.1987 01:30:00;   146
22.11.1987 17:00:00;   154
18.12.1987 18:45:00;   148
28.01.1988 20:00:00;   140
29.02.1988 23:59:55;   143
10.03.1988 13:30:00;   138
03.04.1988 18:45:00;   153
31.05.1988 20:45:00;   176
28.06.1988 01:45:00;   157
29.07.1988 13:45:00;   151
12.08.1988 16:00:00;   142
12.09.1988 16:45:00;   145
09.10.1988 17:15:00;   145
30.11.1988 21:30:00;   143
29.12.1988 02:00:00;   140
27.01.1989 01:45:00;   135
01.02.1989 20:15:00;   135
02.03.1989 14:30:00;   141
03.04.1989 00:00:00;   168
30.05.1989 22:45:00;   173
23.06.1989 01:30:00;   163
31.07.1989 07:45:00;   158
25.08.1989 06:45:00;   147
25.09.1989 21:00:00;   141
29.10.1989 01:15:00;   135
02.11.1989 14:45:00;   134
13.12.1989 09:45:00;   135
16.01.1990 12:00:00;   119
13.02.1990 09:15:00;   119
05.03.1990 14:30:00;   120
22.04.1990 19:45:00;   141
31.05.1990 23:59:55;   146
02.06.1990 23:15:00;   143
31.07.1990 02:00:00;   141
31.08.1990 12:00:00;   129
23.09.1990 20:00:00;   121
03.10.1990 20:00:00;   132
21.11.1990 10:30:00;   153
29.12.1990 22:00:00;   147
30.01.1991 18:00:00;   132
16.02.1991 00:30:00;   128
02.03.1991 10:45:00;   138
26.04.1991 11:15:00;   169
01.05.1991 00:00:00;   175
30.06.1991 23:59:55;   184
13.07.1991 03:00:00;   164
31.08.1991 23:59:55;   140
23.09.1991 06:15:00;   128
11.10.1991 12:00:00;   143
04.11.1991 15:30:00;   145
21.12.1991 18:00:00;   136
29.01.1992 20:30:00;   125
20.02.1992 16:45:00;   125
01.03.1992 20:15:00;   129
01.04.1992 00:00:00;   150
31.05.1992 23:59:55;   179
30.06.1992 23:59:55;   150
31.07.1992 23:59:55;   138
27.08.1992 06:30:00;   126
23.09.1992 14:00:00;   131
02.10.1992 08:30:00;   134
30.11.1992 23:59:55;   159
29.12.1992 19:30:00;   144
31.01.1993 16:45:00;   132
23.02.1993 14:30:00;   125
06.03.1993 19:45:00;   124
10.04.1993 03:45:00;   126
27.05.1993 08:00:00;   139
20.06.1993 19:00:00;   131
10.07.1993 03:15:00;   126
24.08.1993 09:15:00;   130
09.09.1993 10:15:00;   135
01.10.1993 10:45:00;   174
30.11.1993 22:15:00;   162
29.12.1993 18:30:00;   140
03.01.1994 15:45:00;   140
18.02.1994 21:15:00;   134
01.03.1994 00:00:00;   140
09.04.1994 22:15:00;   150
12.05.1994 23:45:00;   171
28.06.1994 20:00:00;   145
18.07.1994 00:45:00;   137
06.08.1994 21:00:00;   132
08.09.1994 22:30:00;   150
24.10.1994 01:45:00;   143
30.11.1994 23:59:55;   142
18.12.1994 21:15:00;   130
