Messstelle:                ;Pörtschach-See
HZB-Nummer:                ;212985
HD-Nummer:                 ;00608
DBMS-Nummer:               ;2001056
Gewässer:                  ;Wörthersee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;162,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1902              ;00441,03
   01.01.1904              ;00441,10
   01.01.1920              ;00440,05
   01.01.1940              ;00439,05
   01.01.1952              ;00438,94
   01.01.1959              ;00438,39
   01.01.1997              ;00439,01
   29.11.2019              ;00438,89
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;511669,94 - 166415,32
Exportzeitreihe:           ;(2001056,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
19.01.1976 10:00:00;   125
29.02.1976 23:59:55;   124
07.03.1976 10:00:00;   123
01.04.1976 00:00:00;   132
11.05.1976 08:00:00;   132
30.06.1976 23:59:55;   128
19.07.1976 10:00:00;   121
28.08.1976 10:00:00;   124
03.09.1976 08:00:00;   124
13.10.1976 10:00:00;   126
01.11.1976 00:00:00;   132
01.12.1976 00:00:00;   132
25.01.1977 10:00:00;   134
04.02.1977 10:00:00;   135
29.03.1977 08:00:00;   134
30.04.1977 23:59:55;   133
07.05.1977 08:00:00;   130
18.06.1977 08:00:00;   127
03.07.1977 10:00:00;   127
03.08.1977 10:00:00;   125
30.09.1977 23:59:55;   131
28.10.1977 08:00:00;   126
10.11.1977 10:00:00;   120
22.12.1977 10:00:00;   115
11.01.1978 14:00:00;   112
06.02.1978 10:00:00;   128
01.03.1978 02:00:00;   128
11.04.1978 08:00:00;   130
20.05.1978 10:00:00;   133
06.06.1978 10:00:00;   133
03.07.1978 10:00:00;   134
29.08.1978 08:00:00;   130
25.09.1978 08:00:00;   122
01.10.1978 00:00:00;   126
08.11.1978 10:00:00;   127
08.12.1978 10:00:00;   128
22.01.1979 08:00:00;   128
14.02.1979 08:00:00;   139
01.03.1979 00:00:00;   139
24.04.1979 08:00:00;   135
31.05.1979 08:00:00;   130
09.06.1979 08:00:00;   127
31.07.1979 23:59:55;   134
18.08.1979 08:00:00;   122
18.09.1979 10:00:00;   118
11.10.1979 10:00:00;   120
06.11.1979 08:00:00;   120
12.12.1979 08:00:00;   124
03.01.1980 10:00:00;   129
29.02.1980 23:59:55;   126
07.03.1980 17:00:00;   124
26.04.1980 14:00:00;   125
31.05.1980 23:59:55;   125
23.06.1980 10:00:00;   115
01.07.1980 01:00:00;   116
27.08.1980 11:00:00;   125
27.09.1980 10:00:00;   124
07.10.1980 04:00:00;   120
26.11.1980 09:00:00;   138
31.12.1980 15:00:00;   130
03.01.1981 02:00:00;   129
28.02.1981 23:59:55;   120
02.03.1981 16:00:00;   119
23.04.1981 16:00:00;   123
11.05.1981 19:00:00;   123
15.06.1981 18:00:00;   120
07.07.1981 13:00:00;   124
31.08.1981 23:59:55;   124
09.09.1981 00:00:00;   123
14.10.1981 13:00:00;   122
18.11.1981 13:00:00;   120
04.12.1981 13:00:00;   122
31.01.1982 08:00:00;   126
28.02.1982 23:00:00;   115
02.03.1982 01:00:00;   114
30.04.1982 10:00:00;   122
08.05.1982 02:00:00;   120
18.06.1982 13:00:00;   114
17.07.1982 18:00:00;   127
28.08.1982 07:00:00;   126
17.09.1982 23:00:00;   126
01.10.1982 00:00:00;   129
08.11.1982 07:00:00;   131
10.12.1982 18:00:00;   131
31.01.1983 11:00:00;   126
28.02.1983 15:00:00;   124
01.03.1983 00:00:00;   124
26.04.1983 16:00:00;   125
23.05.1983 07:00:00;   121
20.06.1983 17:00:00;   116
31.07.1983 23:59:55;   112
02.08.1983 03:00:00;   111
01.09.1983 10:00:00;   115
10.10.1983 20:00:00;   124
21.11.1983 13:00:00;   121
01.12.1983 21:00:00;   124
15.01.1984 10:00:00;   129
22.02.1984 02:00:00;   127
12.03.1984 16:00:00;   131
30.04.1984 17:00:00;   143
19.05.1984 09:00:00;   135
27.06.1984 14:00:00;   127
18.07.1984 11:00:00;   126
05.08.1984 11:00:00;   125
05.09.1984 12:00:00;   125
02.10.1984 07:00:00;   130
30.11.1984 15:00:00;   131
17.12.1984 23:00:00;   131
06.01.1985 13:00:00;   132
07.02.1985 01:00:00;   127
01.03.1985 00:00:00;   128
28.04.1985 05:00:00;   136
02.05.1985 15:00:00;   136
07.06.1985 20:00:00;   132
31.07.1985 23:59:55;   134
25.08.1985 19:00:00;   127
30.09.1985 22:00:00;   121
31.10.1985 01:00:00;   116
01.11.1985 00:00:00;   117
08.12.1985 10:00:00;   120
