Messstelle:                ;Au
HZB-Nummer:                ;200253
HD-Nummer:                 ;
DBMS-Nummer:               ;8001025
Gewässer:                  ;Bregenzerach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;147,07
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00772,90
   01.01.1989              ;00772,92
   01.01.2000              ;00772,92
   01.01.2006              ;00773,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;122715,54 - 243448,47
   01.01.2006              ;122815,71 - 243266,46
Exportzeitreihe:           ;(8001025,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:30:00;    12
02.01.1976 00:00:00;    12
03.01.1976 00:00:00;    15
04.01.1976 00:00:00;    15
05.01.1976 00:00:00;    14
06.01.1976 00:00:00;    16
07.01.1976 00:00:00;    16
08.01.1976 00:00:00;    15
09.01.1976 00:00:00;    16
10.01.1976 00:00:00;    15
11.01.1976 00:00:00;    28
12.01.1976 00:00:00;    39
13.01.1976 00:00:00;    29
14.01.1976 00:00:00;    24
15.01.1976 00:00:00;    22
16.01.1976 00:00:00;    21
17.01.1976 00:00:00;    20
18.01.1976 00:00:00;    18
19.01.1976 00:00:00;    18
20.01.1976 00:00:00;    18
21.01.1976 00:00:00;    18
22.01.1976 00:00:00;    17
23.01.1976 00:00:00;    18
24.01.1976 00:00:00;    18
25.01.1976 00:00:00;    18
26.01.1976 00:00:00;    17
27.01.1976 00:00:00;    17
28.01.1976 00:00:00;    17
29.01.1976 00:00:00;    17
30.01.1976 00:00:00;    16
31.01.1976 00:00:00;    16
01.02.1976 00:00:00;    16
02.02.1976 00:00:00;    15
03.02.1976 00:00:00;    15
04.02.1976 00:00:00;    15
05.02.1976 00:00:00;    16
06.02.1976 00:00:00;    16
07.02.1976 00:00:00;    16
08.02.1976 00:00:00;    16
09.02.1976 00:00:00;    16
10.02.1976 00:00:00;    16
11.02.1976 00:00:00;    16
12.02.1976 00:00:00;    15
13.02.1976 00:00:00;    15
14.02.1976 00:00:00;    15
15.02.1976 00:00:00;    15
16.02.1976 00:00:00;    14
17.02.1976 00:00:00;    14
18.02.1976 00:00:00;    15
19.02.1976 00:00:00;    15
20.02.1976 00:00:00;    16
21.02.1976 00:00:00;    16
22.02.1976 00:00:00;    16
23.02.1976 00:00:00;    17
24.02.1976 00:00:00;    16
25.02.1976 00:00:00;    16
26.02.1976 00:00:00;    18
27.02.1976 00:00:00;    22
28.02.1976 00:00:00;    25
29.02.1976 00:00:00;    27
01.03.1976 00:00:00;    28
02.03.1976 00:00:00;    28
03.03.1976 00:00:00;    29
04.03.1976 00:00:00;    28
05.03.1976 00:00:00;    26
06.03.1976 00:00:00;    24
07.03.1976 00:00:00;    22
08.03.1976 00:00:00;    21
09.03.1976 00:00:00;    20
10.03.1976 00:00:00;    18
11.03.1976 00:00:00;    17
12.03.1976 00:00:00;    18
13.03.1976 00:00:00;    18
14.03.1976 00:00:00;    20
15.03.1976 00:00:00;    20
16.03.1976 00:00:00;    20
17.03.1976 00:00:00;    20
18.03.1976 00:00:00;    20
19.03.1976 00:00:00;    25
20.03.1976 00:00:00;    25
21.03.1976 00:00:00;    22
22.03.1976 00:00:00;    21
23.03.1976 00:00:00;    21
24.03.1976 00:00:00;    21
25.03.1976 00:00:00;    21
26.03.1976 00:00:00;    22
27.03.1976 00:00:00;    26
28.03.1976 00:00:00;    25
