Messstelle:                ;Vils (Lände)
HZB-Nummer:                ;201111
HD-Nummer:                 ;
DBMS-Nummer:               ;7001009
Gewässer:                  ;Vils
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;198,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1950              ;00813,80
   01.11.1955              ;00803,95
   01.01.1981              ;00802,95
   01.01.1990              ;00806,98
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1950              ;173925,00 - 268141,00
   06.05.2009              ;173915,02 - 268142,98
Exportzeitreihe:           ;(7001009,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1955 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1955 00:00:00;    47
02.01.1955 00:00:00;    45
03.01.1955 00:00:00;    40
04.01.1955 00:00:00;    39
05.01.1955 00:00:00;    36
06.01.1955 00:00:00;    34
07.01.1955 00:00:00;    32
08.01.1955 00:00:00;    33
09.01.1955 00:00:00;    31
10.01.1955 00:00:00;    30
11.01.1955 00:00:00;    29
12.01.1955 00:00:00;    50
13.01.1955 00:00:00;    70
14.01.1955 00:00:00;    40
15.01.1955 00:00:00;   120
16.01.1955 00:00:00;    90
17.01.1955 00:00:00;    85
18.01.1955 00:00:00;    73
19.01.1955 00:00:00;    64
20.01.1955 00:00:00;    56
21.01.1955 00:00:00;    50
22.01.1955 00:00:00;    47
23.01.1955 00:00:00;    47
24.01.1955 00:00:00;    46
25.01.1955 00:00:00;    45
26.01.1955 00:00:00;    41
27.01.1955 00:00:00;    39
28.01.1955 00:00:00;    39
29.01.1955 00:00:00;    39
30.01.1955 00:00:00;    40
31.01.1955 00:00:00;    39
01.02.1955 00:00:00;    36
02.02.1955 00:00:00;    35
03.02.1955 00:00:00;    35
04.02.1955 00:00:00;    34
05.02.1955 00:00:00;    36
06.02.1955 00:00:00;    37
07.02.1955 00:00:00;    35
08.02.1955 00:00:00;    42
09.02.1955 00:00:00;    80
10.02.1955 00:00:00;    54
11.02.1955 00:00:00;    47
12.02.1955 00:00:00;    42
13.02.1955 00:00:00;    39
14.02.1955 00:00:00;    40
15.02.1955 00:00:00;    36
16.02.1955 00:00:00;    35
17.02.1955 00:00:00;    34
18.02.1955 00:00:00;    35
19.02.1955 00:00:00;    31
20.02.1955 00:00:00;    31
21.02.1955 00:00:00;    31
22.02.1955 00:00:00;    30
23.02.1955 00:00:00;    29
24.02.1955 00:00:00;    29
25.02.1955 00:00:00;    26
26.02.1955 00:00:00;    25
27.02.1955 00:00:00;    25
28.02.1955 00:00:00;    25
01.03.1955 00:00:00;    24
02.03.1955 00:00:00;    21
03.03.1955 00:00:00;    20
04.03.1955 00:00:00;    22
05.03.1955 00:00:00;    21
06.03.1955 00:00:00;    20
07.03.1955 00:00:00;    19
08.03.1955 00:00:00;    19
09.03.1955 00:00:00;    19
10.03.1955 00:00:00;    20
11.03.1955 00:00:00;    21
12.03.1955 00:00:00;    19
13.03.1955 00:00:00;    19
14.03.1955 00:00:00;    20
15.03.1955 00:00:00;    21
16.03.1955 00:00:00;    22
17.03.1955 00:00:00;    26
18.03.1955 00:00:00;    24
19.03.1955 00:00:00;    20
20.03.1955 00:00:00;    19
21.03.1955 00:00:00;    21
22.03.1955 00:00:00;    23
23.03.1955 00:00:00;    26
24.03.1955 00:00:00;    50
25.03.1955 00:00:00;    80
26.03.1955 00:00:00;    85
27.03.1955 00:00:00;    93
28.03.1955 00:00:00;   105
29.03.1955 00:00:00;    80
30.03.1955 00:00:00;    70
31.03.1955 00:00:00;    64
01.04.1955 00:00:00;    59
02.04.1955 00:00:00;    55
03.04.1955 00:00:00;    54
04.04.1955 00:00:00;    56
05.04.1955 00:00:00;    64
06.04.1955 00:00:00;    66
07.04.1955 00:00:00;    69
08.04.1955 00:00:00;    77
09.04.1955 00:00:00;   105
10.04.1955 00:00:00;   105
11.04.1955 00:00:00;    90
12.04.1955 00:00:00;   105
13.04.1955 00:00:00;    84
14.04.1955 00:00:00;    80
15.04.1955 00:00:00;    75
16.04.1955 00:00:00;    70
17.04.1955 00:00:00;    65
18.04.1955 00:00:00;    60
19.04.1955 00:00:00;    59
20.04.1955 00:00:00;    60
21.04.1955 00:00:00;    61
22.04.1955 00:00:00;    66
23.04.1955 00:00:00;    63
24.04.1955 00:00:00;    66
25.04.1955 00:00:00;    69
26.04.1955 00:00:00;    65
27.04.1955 00:00:00;    69
28.04.1955 00:00:00;    71
29.04.1955 00:00:00;    80
30.04.1955 00:00:00;    88
01.05.1955 00:00:00;    92
02.05.1955 00:00:00;    94
03.05.1955 00:00:00;   101
04.05.1955 00:00:00;    84
05.05.1955 00:00:00;    87
