Messstelle:                ;Gumisch
HZB-Nummer:                ;213041
HD-Nummer:                 ;00673
DBMS-Nummer:               ;2001062
Gewässer:                  ;Gurk
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;2555,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1905              ;00395,47
   01.01.1926              ;00396,94
   09.03.1939              ;00395,94
   01.01.1957              ;00393,25
   15.05.1968              ;00394,35
   17.08.2004              ;00394,38
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1905              ;537752,68 - 163633,71
   01.01.2014              ;537749,20 - 163604,00
Exportzeitreihe:           ;(2001062,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:30:00;   101
02.01.1976 00:00:00;   101
03.01.1976 00:00:00;   101
04.01.1976 00:00:00;   100
05.01.1976 00:00:00;    99
06.01.1976 00:00:00;    99
07.01.1976 00:00:00;    99
08.01.1976 00:00:00;    99
09.01.1976 00:00:00;    99
10.01.1976 00:00:00;    98
11.01.1976 00:00:00;    99
12.01.1976 00:00:00;   105
13.01.1976 00:00:00;   106
14.01.1976 00:00:00;   101
15.01.1976 00:00:00;   101
16.01.1976 00:00:00;    99
17.01.1976 00:00:00;    97
18.01.1976 00:00:00;    97
19.01.1976 00:00:00;    95
20.01.1976 00:00:00;    97
21.01.1976 00:00:00;    96
22.01.1976 00:00:00;    96
23.01.1976 00:00:00;    96
24.01.1976 00:00:00;    97
25.01.1976 00:00:00;    95
26.01.1976 00:00:00;    91
27.01.1976 00:00:00;    87
28.01.1976 00:00:00;    85
29.01.1976 00:00:00;    88
30.01.1976 00:00:00;    86
31.01.1976 00:00:00;    88
01.02.1976 00:00:00;    89
02.02.1976 00:00:00;    90
03.02.1976 00:00:00;    90
04.02.1976 00:00:00;    92
05.02.1976 00:00:00;    92
06.02.1976 00:00:00;    92
07.02.1976 00:00:00;    91
08.02.1976 00:00:00;    91
09.02.1976 00:00:00;    88
10.02.1976 00:00:00;    90
