Messstelle:                ;Deutsch Brodersdorf (Messseilbahn)
HZB-Nummer:                ;214031
HD-Nummer:                 ;no834
DBMS-Nummer:               ;3003086
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1598,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   21.06.2007              ;00193,00
   01.01.2009              ;00192,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   21.06.2007              ;760749,12 - 311101,10
   01.09.2010              ;760742,00 - 311081,00
   21.06.2011              ;760747,60 - 311097,90
Exportzeitreihe:           ;(3003086,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[27.08.2007 09:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
27.08.2007 09:15:00;   176
28.08.2007 00:00:00;   176
29.08.2007 00:00:00;   174
30.08.2007 00:00:00;   187
31.08.2007 00:00:00;   191
01.09.2007 00:00:00;   185
02.09.2007 00:00:00;   182
03.09.2007 00:00:00;   182
04.09.2007 00:00:00;   186
05.09.2007 00:00:00;   193
06.09.2007 00:00:00;   273
07.09.2007 00:00:00;   357
08.09.2007 00:00:00;   397
09.09.2007 00:00:00;   331
10.09.2007 00:00:00;   298
11.09.2007 00:00:00;   277
12.09.2007 00:00:00;   316
13.09.2007 00:00:00;   283
14.09.2007 00:00:00;   261
15.09.2007 00:00:00;   247
16.09.2007 00:00:00;   236
17.09.2007 00:00:00;   230
18.09.2007 00:00:00;   224
19.09.2007 00:00:00;   222
20.09.2007 00:00:00;   217
21.09.2007 00:00:00;   212
22.09.2007 00:00:00;   209
23.09.2007 00:00:00;   205
24.09.2007 00:00:00;   202
25.09.2007 00:00:00;   202
26.09.2007 00:00:00;   201
27.09.2007 00:00:00;   203
28.09.2007 00:00:00;   211
29.09.2007 00:00:00;   211
30.09.2007 00:00:00;   206
01.10.2007 00:00:00;   204
02.10.2007 00:00:00;   202
03.10.2007 00:00:00;   201
04.10.2007 00:00:00;   200
05.10.2007 00:00:00;   199
06.10.2007 00:00:00;   201
07.10.2007 00:00:00;   200
08.10.2007 00:00:00;   199
09.10.2007 00:00:00;   199
10.10.2007 00:00:00;   199
11.10.2007 00:00:00;   199
12.10.2007 00:00:00;   199
13.10.2007 00:00:00;   199
14.10.2007 00:00:00;   199
15.10.2007 00:00:00;   198
16.10.2007 00:00:00;   198
17.10.2007 00:00:00;   199
18.10.2007 00:00:00;   199
19.10.2007 00:00:00;   199
20.10.2007 00:00:00;   199
21.10.2007 00:00:00;   200
22.10.2007 00:00:00;   200
23.10.2007 00:00:00;   203
24.10.2007 00:00:00;   206
25.10.2007 00:00:00;   205
26.10.2007 00:00:00;   205
