Messstelle:                ;Riedau
HZB-Nummer:                ;204784
HD-Nummer:                 ;2810
DBMS-Nummer:               ;4001027
Gewässer:                  ;Pram
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;60,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.05.1969              ;00369,00
   01.01.1988              ;00366,89
   01.01.2014              ;00365,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.05.1969              ;472140,00 - 351620,00
   22.06.2009              ;472118,00 - 351637,00
   01.01.2014              ;472216,93 - 351857,88
   25.03.2020              ;472212,75 - 351857,14
Exportzeitreihe:           ;(4001027,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:00:00; 0,425
02.01.1976 00:00:00;  3,97
03.01.1976 00:00:00;  1,90
04.01.1976 00:00:00; 0,930
05.01.1976 00:00:00; 0,912
06.01.1976 00:00:00;  4,34
07.01.1976 00:00:00;  1,94
08.01.1976 00:00:00;  1,09
09.01.1976 00:00:00; 0,748
10.01.1976 00:00:00; 0,632
11.01.1976 00:00:00;  4,33
12.01.1976 00:00:00;  4,74
13.01.1976 00:00:00;  1,78
14.01.1976 00:00:00;  1,30
15.01.1976 00:00:00;  2,31
16.01.1976 00:00:00;  2,18
17.01.1976 00:00:00;  2,60
18.01.1976 00:00:00;  1,56
19.01.1976 00:00:00;  1,13
20.01.1976 00:00:00;  1,02
21.01.1976 00:00:00;  1,09
22.01.1976 00:00:00;  3,41
23.01.1976 00:00:00;  3,03
24.01.1976 00:00:00;  2,16
25.01.1976 00:00:00;  1,30
26.01.1976 00:00:00; 0,981
27.01.1976 00:00:00; 0,887
28.01.1976 00:00:00; 0,732
29.01.1976 00:00:00; 0,696
30.01.1976 00:00:00; 0,629
31.01.1976 00:00:00; 0,566
01.02.1976 00:00:00; 0,507
02.02.1976 00:00:00; 0,464
03.02.1976 00:00:00; 0,449
04.02.1976 00:00:00; 0,443
05.02.1976 00:00:00; 0,418
06.02.1976 00:00:00; 0,391
07.02.1976 00:00:00; 0,371
08.02.1976 00:00:00; 0,350
09.02.1976 00:00:00; 0,331
10.02.1976 00:00:00; 0,342
11.02.1976 00:00:00; 0,433
12.02.1976 00:00:00; 0,443
13.02.1976 00:00:00; 0,387
14.02.1976 00:00:00; 0,358
15.02.1976 00:00:00; 0,324
16.02.1976 00:00:00; 0,346
17.02.1976 00:00:00; 0,425
18.02.1976 00:00:00; 0,458
19.02.1976 00:00:00; 0,449
20.02.1976 00:00:00; 0,366
21.02.1976 00:00:00; 0,345
22.02.1976 00:00:00; 0,328
23.02.1976 00:00:00; 0,332
24.02.1976 00:00:00; 0,322
25.02.1976 00:00:00; 0,319
26.02.1976 00:00:00; 0,328
27.02.1976 00:00:00; 0,342
28.02.1976 00:00:00; 0,330
29.02.1976 00:00:00; 0,317
01.03.1976 00:00:00; 0,295
02.03.1976 00:00:00; 0,295
03.03.1976 00:00:00; 0,275
04.03.1976 00:00:00; 0,252
05.03.1976 00:00:00; 0,247
06.03.1976 00:00:00; 0,253
07.03.1976 00:00:00; 0,302
08.03.1976 00:00:00; 0,325
09.03.1976 00:00:00; 0,304
10.03.1976 00:00:00; 0,287
11.03.1976 00:00:00; 0,299
12.03.1976 00:00:00; 0,310
13.03.1976 00:00:00; 0,269
