Messstelle:                ;St. Georgen an der Gusen (Bad)
HZB-Nummer:                ;206375
HD-Nummer:                 ;7185
DBMS-Nummer:               ;4001179
Gewässer:                  ;Gusen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;257,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;00247,00
   01.01.1988              ;00246,67
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;532698,00 - 349500,00
   27.03.2020              ;532737,30 - 349409,49
Exportzeitreihe:           ;(4001179,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1979 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1979 00:00:00;  5,18
02.01.1979 00:00:00;  3,29
03.01.1979 00:00:00;  2,47
04.01.1979 00:00:00;  2,05
05.01.1979 00:00:00;  1,86
06.01.1979 00:00:00;  1,77
07.01.1979 00:00:00;  1,77
08.01.1979 00:00:00;  1,68
09.01.1979 00:00:00;  1,68
10.01.1979 00:00:00;  1,68
11.01.1979 00:00:00;  1,59
12.01.1979 00:00:00;  1,59
13.01.1979 00:00:00;  1,59
14.01.1979 00:00:00;  1,59
15.01.1979 00:00:00;  1,50
16.01.1979 00:00:00;  1,50
17.01.1979 00:00:00;  1,50
18.01.1979 00:00:00;  1,50
19.01.1979 00:00:00;  1,42
20.01.1979 00:00:00;  1,42
21.01.1979 00:00:00;  1,42
22.01.1979 00:00:00;  1,42
23.01.1979 00:00:00;  1,42
24.01.1979 00:00:00;  1,42
25.01.1979 00:00:00;  1,34
26.01.1979 00:00:00;  1,34
27.01.1979 00:00:00;  1,34
28.01.1979 00:00:00;  1,34
29.01.1979 00:00:00;  1,42
30.01.1979 00:00:00;  1,34
31.01.1979 00:00:00;  1,34
01.02.1979 00:00:00;  1,34
02.02.1979 00:00:00;  1,42
03.02.1979 00:00:00;  5,98
04.02.1979 00:00:00;  4,30
05.02.1979 00:00:00;  3,07
06.02.1979 00:00:00;  3,72
07.02.1979 00:00:00;  2,73
08.02.1979 00:00:00;  3,84
09.02.1979 00:00:00;  5,98
10.02.1979 00:00:00;  3,42
11.02.1979 00:00:00;  2,82
12.02.1979 00:00:00;  2,69
13.02.1979 00:00:00;  3,33
14.02.1979 00:00:00;  3,70
15.02.1979 00:00:00;  4,66
16.02.1979 00:00:00;  7,28
17.02.1979 00:00:00;  12,4
18.02.1979 00:00:00;  7,96
19.02.1979 00:00:00;  5,65
20.02.1979 00:00:00;  5,03
21.02.1979 00:00:00;  4,24
22.02.1979 00:00:00;  3,78
23.02.1979 00:00:00;  3,35
24.02.1979 00:00:00;  3,03
25.02.1979 00:00:00;  2,80
26.02.1979 00:00:00;  2,52
27.02.1979 00:00:00;  2,30
28.02.1979 00:00:00;  2,04
01.03.1979 00:00:00;  2,05
02.03.1979 00:00:00;  2,05
03.03.1979 00:00:00;  2,06
04.03.1979 00:00:00;  2,25
05.03.1979 00:00:00;  3,17
06.03.1979 00:00:00;  3,63
07.03.1979 00:00:00;  3,75
08.03.1979 00:00:00;  4,79
09.03.1979 00:00:00;  3,77
10.03.1979 00:00:00;  4,55
11.03.1979 00:00:00;  3,98
12.03.1979 00:00:00;  16,7
13.03.1979 00:00:00;  14,4
14.03.1979 00:00:00;  10,4
15.03.1979 00:00:00;  8,57
16.03.1979 00:00:00;  7,64
17.03.1979 00:00:00;  7,85
18.03.1979 00:00:00;  6,63
19.03.1979 00:00:00;  5,84
20.03.1979 00:00:00;  5,15
21.03.1979 00:00:00;  4,65
22.03.1979 00:00:00;  4,86
23.03.1979 00:00:00;  4,56
24.03.1979 00:00:00;  4,29
25.03.1979 00:00:00;  3,75
26.03.1979 00:00:00;  3,52
27.03.1979 00:00:00;  3,66
28.03.1979 00:00:00;  3,62
29.03.1979 00:00:00;  3,83
30.03.1979 00:00:00;  9,61
31.03.1979 00:00:00;  14,2
01.04.1979 00:00:00;  13,8
02.04.1979 00:00:00;  12,7
03.04.1979 00:00:00;  12,1
04.04.1979 00:00:00;  11,3
05.04.1979 00:00:00;  9,35
06.04.1979 00:00:00;  13,5
07.04.1979 00:00:00;  16,1
08.04.1979 00:00:00;  12,9
09.04.1979 00:00:00;  10,6
10.04.1979 00:00:00;  9,96
11.04.1979 00:00:00;  10,9
12.04.1979 00:00:00;  11,3
13.04.1979 00:00:00;  10,5
14.04.1979 00:00:00;  9,65
15.04.1979 00:00:00;  8,45
16.04.1979 00:00:00;  7,62
17.04.1979 00:00:00;  7,32
18.04.1979 00:00:00;  8,47
19.04.1979 00:00:00;  6,51
20.04.1979 00:00:00;  5,81
21.04.1979 00:00:00;  5,23
22.04.1979 00:00:00;  4,92
23.04.1979 00:00:00;  4,54
24.04.1979 00:00:00;  4,23
25.04.1979 00:00:00;  4,00
26.04.1979 00:00:00;  3,94
27.04.1979 00:00:00;  3,77
28.04.1979 00:00:00;  4,89
29.04.1979 00:00:00;  4,16
30.04.1979 00:00:00;  3,59
01.05.1979 00:00:00;  3,62
02.05.1979 00:00:00;  4,03
03.05.1979 00:00:00;  5,83
04.05.1979 00:00:00;  4,94
05.05.1979 00:00:00;  4,25
06.05.1979 00:00:00;  3,89
07.05.1979 00:00:00;  3,51
08.05.1979 00:00:00;  3,27
09.05.1979 00:00:00;  3,05
10.05.1979 00:00:00;  2,82
11.05.1979 00:00:00;  2,60
12.05.1979 00:00:00;  3,12
13.05.1979 00:00:00;  2,97
14.05.1979 00:00:00;  2,59
15.05.1979 00:00:00;  2,40
16.05.1979 00:00:00;  2,20
17.05.1979 00:00:00;  1,98
18.05.1979 00:00:00;  1,87
19.05.1979 00:00:00;  1,77
20.05.1979 00:00:00;  1,70
21.05.1979 00:00:00;  1,60
22.05.1979 00:00:00;  1,55
23.05.1979 00:00:00;  1,43
24.05.1979 00:00:00;  1,34
25.05.1979 00:00:00;  1,27
26.05.1979 00:00:00;  1,27
27.05.1979 00:00:00;  1,20
28.05.1979 00:00:00;  1,10
29.05.1979 00:00:00;  1,01
30.05.1979 00:00:00; 0,940
31.05.1979 00:00:00; 0,870
01.06.1979 00:00:00; 0,859
02.06.1979 00:00:00; 0,801
03.06.1979 00:00:00; 0,777
04.06.1979 00:00:00; 0,748
05.06.1979 00:00:00; 0,877
06.06.1979 00:00:00; 0,743
07.06.1979 00:00:00;  1,08
08.06.1979 00:00:00; 0,858
09.06.1979 00:00:00; 0,772
10.06.1979 00:00:00; 0,669
11.06.1979 00:00:00; 0,639
12.06.1979 00:00:00; 0,901
13.06.1979 00:00:00; 0,785
14.06.1979 00:00:00;  1,95
15.06.1979 00:00:00;  1,18
16.06.1979 00:00:00;  1,02
17.06.1979 00:00:00;  2,56
18.06.1979 00:00:00;  4,23
19.06.1979 00:00:00;  8,12
20.06.1979 00:00:00;  4,94
21.06.1979 00:00:00;  3,30
22.06.1979 00:00:00;  2,41
23.06.1979 00:00:00;  1,95
24.06.1979 00:00:00;  1,82
25.06.1979 00:00:00;  1,54
26.06.1979 00:00:00;  1,97
27.06.1979 00:00:00;  1,46
28.06.1979 00:00:00;  1,31
29.06.1979 00:00:00;  1,32
30.06.1979 00:00:00;  1,13
01.07.1979 00:00:00; 0,983
02.07.1979 00:00:00; 0,992
03.07.1979 00:00:00;  1,06
04.07.1979 00:00:00;  1,32
05.07.1979 00:00:00;  1,24
06.07.1979 00:00:00; 0,921
07.07.1979 00:00:00; 0,853
08.07.1979 00:00:00; 0,988
09.07.1979 00:00:00;  1,09
10.07.1979 00:00:00; 0,921
11.07.1979 00:00:00; 0,742
12.07.1979 00:00:00; 0,719
13.07.1979 00:00:00; 0,852
14.07.1979 00:00:00;  1,22
15.07.1979 00:00:00;  1,89
16.07.1979 00:00:00;  1,08
17.07.1979 00:00:00; 0,909
18.07.1979 00:00:00; 0,902
19.07.1979 00:00:00; 0,786
20.07.1979 00:00:00; 0,743
21.07.1979 00:00:00; 0,643
22.07.1979 00:00:00; 0,594
23.07.1979 00:00:00; 0,559
24.07.1979 00:00:00; 0,536
25.07.1979 00:00:00; 0,574
26.07.1979 00:00:00; 0,459
27.07.1979 00:00:00; 0,417
28.07.1979 00:00:00; 0,719
29.07.1979 00:00:00; 0,557
30.07.1979 00:00:00; 0,640
31.07.1979 00:00:00; 0,541
01.08.1979 00:00:00; 0,509
02.08.1979 00:00:00; 0,575
03.08.1979 00:00:00; 0,708
04.08.1979 00:00:00;  3,55
05.08.1979 00:00:00;  2,98
06.08.1979 00:00:00;  1,25
07.08.1979 00:00:00; 0,935
08.08.1979 00:00:00; 0,812
09.08.1979 00:00:00; 0,892
10.08.1979 00:00:00; 0,937
11.08.1979 00:00:00;  1,63
12.08.1979 00:00:00;  2,65
13.08.1979 00:00:00;  2,06
14.08.1979 00:00:00;  1,31
15.08.1979 00:00:00;  1,03
16.08.1979 00:00:00; 0,861
17.08.1979 00:00:00; 0,762
18.08.1979 00:00:00; 0,742
19.08.1979 00:00:00; 0,655
20.08.1979 00:00:00; 0,627
21.08.1979 00:00:00; 0,652
22.08.1979 00:00:00; 0,594
23.08.1979 00:00:00; 0,629
24.08.1979 00:00:00;  1,39
25.08.1979 00:00:00;  3,67
26.08.1979 00:00:00;  2,24
27.08.1979 00:00:00;  1,50
28.08.1979 00:00:00;  1,23
29.08.1979 00:00:00;  1,02
30.08.1979 00:00:00; 0,869
31.08.1979 00:00:00; 0,795
01.09.1979 00:00:00; 0,727
02.09.1979 00:00:00; 0,659
03.09.1979 00:00:00; 0,665
04.09.1979 00:00:00; 0,821
05.09.1979 00:00:00; 0,755
06.09.1979 00:00:00; 0,655
07.09.1979 00:00:00; 0,569
08.09.1979 00:00:00; 0,619
09.09.1979 00:00:00; 0,595
10.09.1979 00:00:00; 0,566
11.09.1979 00:00:00; 0,597
12.09.1979 00:00:00; 0,535
13.09.1979 00:00:00; 0,496
14.09.1979 00:00:00; 0,481
15.09.1979 00:00:00; 0,450
16.09.1979 00:00:00; 0,390
17.09.1979 00:00:00; 0,416
18.09.1979 00:00:00; 0,384
19.09.1979 00:00:00; 0,377
20.09.1979 00:00:00; 0,340
21.09.1979 00:00:00; 0,433
22.09.1979 00:00:00; 0,885
23.09.1979 00:00:00;  1,26
24.09.1979 00:00:00;  3,93
25.09.1979 00:00:00;  4,65
26.09.1979 00:00:00;  2,18
27.09.1979 00:00:00;  1,66
28.09.1979 00:00:00;  1,41
29.09.1979 00:00:00;  1,28
30.09.1979 00:00:00;  1,16
01.10.1979 00:00:00;  1,07
02.10.1979 00:00:00; 0,998
03.10.1979 00:00:00; 0,910
04.10.1979 00:00:00; 0,892
05.10.1979 00:00:00; 0,877
06.10.1979 00:00:00; 0,802
07.10.1979 00:00:00; 0,753
08.10.1979 00:00:00; 0,725
09.10.1979 00:00:00; 0,711
10.10.1979 00:00:00; 0,683
11.10.1979 00:00:00; 0,638
12.10.1979 00:00:00; 0,622
13.10.1979 00:00:00; 0,588
14.10.1979 00:00:00; 0,571
15.10.1979 00:00:00; 0,553
16.10.1979 00:00:00; 0,561
17.10.1979 00:00:00; 0,557
18.10.1979 00:00:00; 0,949
19.10.1979 00:00:00; 0,975
20.10.1979 00:00:00; 0,799
21.10.1979 00:00:00; 0,723
22.10.1979 00:00:00; 0,671
23.10.1979 00:00:00; 0,658
24.10.1979 00:00:00; 0,619
25.10.1979 00:00:00; 0,589
26.10.1979 00:00:00; 0,563
27.10.1979 00:00:00; 0,558
28.10.1979 00:00:00; 0,552
29.10.1979 00:00:00; 0,563
30.10.1979 00:00:00; 0,580
31.10.1979 00:00:00; 0,546
01.11.1979 00:00:00; 0,538
02.11.1979 00:00:00; 0,571
03.11.1979 00:00:00; 0,548
04.11.1979 00:00:00; 0,544
05.11.1979 00:00:00; 0,603
06.11.1979 00:00:00; 0,915
07.11.1979 00:00:00;  2,07
08.11.1979 00:00:00;  4,52
09.11.1979 00:00:00;  2,58
10.11.1979 00:00:00;  3,92
11.11.1979 00:00:00;  2,64
12.11.1979 00:00:00;  1,95
13.11.1979 00:00:00;  1,66
