Messstelle:                ;Kienberg (Neuhaus)
HZB-Nummer:                ;207738
HD-Nummer:                 ;no085
DBMS-Nummer:               ;3001013
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;203,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1936              ;00382,74
   01.01.1976              ;00382,73
   14.08.1997              ;00382,73
   01.01.2017              ;00382,82
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1936              ;659800,00 - 311224,80
Exportzeitreihe:           ;(3001013,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:30:00;  2,62
02.01.1976 00:00:00;  9,68
03.01.1976 00:00:00;  12,7
04.01.1976 00:00:00;  8,61
05.01.1976 00:00:00;  7,21
06.01.1976 00:00:00;  19,3
07.01.1976 00:00:00;  18,9
08.01.1976 00:00:00;  11,6
09.01.1976 00:00:00;  9,62
10.01.1976 00:00:00;  8,96
11.01.1976 00:00:00;  18,4
12.01.1976 00:00:00;  32,1
13.01.1976 00:00:00;  19,3
14.01.1976 00:00:00;  16,4
15.01.1976 00:00:00;  16,5
16.01.1976 00:00:00;  12,8
17.01.1976 00:00:00;  11,4
18.01.1976 00:00:00;  9,97
19.01.1976 00:00:00;  8,95
20.01.1976 00:00:00;  7,73
21.01.1976 00:00:00;  9,51
22.01.1976 00:00:00;  8,20
23.01.1976 00:00:00;  11,3
24.01.1976 00:00:00;  11,3
25.01.1976 00:00:00;  8,76
26.01.1976 00:00:00;  7,84
27.01.1976 00:00:00;  7,06
28.01.1976 00:00:00;  6,35
29.01.1976 00:00:00;  5,90
30.01.1976 00:00:00;  5,55
31.01.1976 00:00:00;  4,95
01.02.1976 00:00:00;  4,73
02.02.1976 00:00:00;  4,55
03.02.1976 00:00:00;  4,42
04.02.1976 00:00:00;  4,43
05.02.1976 00:00:00;  4,49
06.02.1976 00:00:00;  4,48
07.02.1976 00:00:00;  4,32
08.02.1976 00:00:00;  3,82
09.02.1976 00:00:00;  3,76
10.02.1976 00:00:00;  3,86
11.02.1976 00:00:00;  3,97
12.02.1976 00:00:00;  3,90
13.02.1976 00:00:00;  3,75
14.02.1976 00:00:00;  3,51
15.02.1976 00:00:00;  3,43
16.02.1976 00:00:00;  3,36
17.02.1976 00:00:00;  3,40
18.02.1976 00:00:00;  3,41
19.02.1976 00:00:00;  3,24
20.02.1976 00:00:00;  3,17
21.02.1976 00:00:00;  3,17
22.02.1976 00:00:00;  3,18
23.02.1976 00:00:00;  3,35
24.02.1976 00:00:00;  3,43
25.02.1976 00:00:00;  3,10
26.02.1976 00:00:00;  3,68
27.02.1976 00:00:00;  4,94
28.02.1976 00:00:00;  4,72
29.02.1976 00:00:00;  5,29
01.03.1976 00:00:00;  6,39
02.03.1976 00:00:00;  7,06
03.03.1976 00:00:00;  6,27
04.03.1976 00:00:00;  5,67
05.03.1976 00:00:00;  5,32
06.03.1976 00:00:00;  4,39
07.03.1976 00:00:00;  3,97
08.03.1976 00:00:00;  3,82
09.03.1976 00:00:00;  3,54
10.03.1976 00:00:00;  3,32
11.03.1976 00:00:00;  3,15
12.03.1976 00:00:00;  3,13
13.03.1976 00:00:00;  3,12
14.03.1976 00:00:00;  3,04
15.03.1976 00:00:00;  2,89
16.03.1976 00:00:00;  3,13
17.03.1976 00:00:00;  3,30
18.03.1976 00:00:00;  3,70
19.03.1976 00:00:00;  3,72
20.03.1976 00:00:00;  3,62
21.03.1976 00:00:00;  3,40
22.03.1976 00:00:00;  3,11
23.03.1976 00:00:00;  2,96
24.03.1976 00:00:00;  2,91
25.03.1976 00:00:00;  3,19
26.03.1976 00:00:00;  4,03
27.03.1976 00:00:00;  4,00
28.03.1976 00:00:00;  3,89
29.03.1976 00:00:00;  4,24
30.03.1976 00:00:00;  6,86
31.03.1976 00:00:00;  8,45
01.04.1976 00:00:00;  8,94
02.04.1976 00:00:00;  11,3
03.04.1976 00:00:00;  11,8
04.04.1976 00:00:00;  12,2
05.04.1976 00:00:00;  12,3
06.04.1976 00:00:00;  12,1
07.04.1976 00:00:00;  13,7
08.04.1976 00:00:00;  12,7
09.04.1976 00:00:00;  10,7
10.04.1976 00:00:00;  10,3
11.04.1976 00:00:00;  9,05
12.04.1976 00:00:00;  8,58
13.04.1976 00:00:00;  8,46
14.04.1976 00:00:00;  7,71
15.04.1976 00:00:00;  8,51
16.04.1976 00:00:00;  9,69
17.04.1976 00:00:00;  10,9
18.04.1976 00:00:00;  10,7
19.04.1976 00:00:00;  10,7
20.04.1976 00:00:00;  11,2
21.04.1976 00:00:00;  11,4
22.04.1976 00:00:00;  9,94
23.04.1976 00:00:00;  9,26
24.04.1976 00:00:00;  7,23
25.04.1976 00:00:00;  7,38
26.04.1976 00:00:00;  10,3
27.04.1976 00:00:00;  17,8
28.04.1976 00:00:00;  15,4
29.04.1976 00:00:00;  11,5
30.04.1976 00:00:00;  9,17
01.05.1976 00:00:00;  9,82
02.05.1976 00:00:00;  9,44
03.05.1976 00:00:00;  9,08
04.05.1976 00:00:00;  8,93
05.05.1976 00:00:00;  9,03
06.05.1976 00:00:00;  10,1
07.05.1976 00:00:00;  11,3
08.05.1976 00:00:00;  10,7
09.05.1976 00:00:00;  10,4
10.05.1976 00:00:00;  9,20
11.05.1976 00:00:00;  8,60
12.05.1976 00:00:00;  7,77
13.05.1976 00:00:00;  7,99
14.05.1976 00:00:00;  13,2
15.05.1976 00:00:00;  10,9
16.05.1976 00:00:00;  8,29
17.05.1976 00:00:00;  7,84
18.05.1976 00:00:00;  7,27
19.05.1976 00:00:00;  6,60
20.05.1976 00:00:00;  6,31
21.05.1976 00:00:00;  7,12
22.05.1976 00:00:00;  7,68
23.05.1976 00:00:00;  18,1
24.05.1976 00:00:00;  13,2
25.05.1976 00:00:00;  10,1
26.05.1976 00:00:00;  9,79
27.05.1976 00:00:00;  14,7
28.05.1976 00:00:00;  11,0
29.05.1976 00:00:00;  10,2
30.05.1976 00:00:00;  8,93
31.05.1976 00:00:00;  7,72
01.06.1976 00:00:00;  15,3
02.06.1976 00:00:00;  16,1
03.06.1976 00:00:00;  24,6
04.06.1976 00:00:00;  19,7
05.06.1976 00:00:00;  15,7
06.06.1976 00:00:00;  11,7
07.06.1976 00:00:00;  9,88
08.06.1976 00:00:00;  9,59
09.06.1976 00:00:00;  7,90
10.06.1976 00:00:00;  7,14
11.06.1976 00:00:00;  6,56
12.06.1976 00:00:00;  6,48
13.06.1976 00:00:00;  5,86
14.06.1976 00:00:00;  5,49
15.06.1976 00:00:00;  4,81
16.06.1976 00:00:00;  7,79
17.06.1976 00:00:00;  7,70
18.06.1976 00:00:00;  6,23
19.06.1976 00:00:00;  5,20
20.06.1976 00:00:00;  4,79
21.06.1976 00:00:00;  4,54
22.06.1976 00:00:00;  4,27
23.06.1976 00:00:00;  4,34
24.06.1976 00:00:00;  4,08
25.06.1976 00:00:00;  3,98
26.06.1976 00:00:00;  6,28
27.06.1976 00:00:00;  4,94
28.06.1976 00:00:00;  3,50
29.06.1976 00:00:00;  3,34
30.06.1976 00:00:00;  3,21
01.07.1976 00:00:00;  3,07
02.07.1976 00:00:00;  3,11
03.07.1976 00:00:00;  3,16
04.07.1976 00:00:00;  3,07
05.07.1976 00:00:00;  3,24
06.07.1976 00:00:00;  3,15
07.07.1976 00:00:00;  3,05
08.07.1976 00:00:00;  2,96
09.07.1976 00:00:00;  3,11
10.07.1976 00:00:00;  3,13
11.07.1976 00:00:00;  3,26
12.07.1976 00:00:00;  2,97
13.07.1976 00:00:00;  2,82
14.07.1976 00:00:00;  3,07
15.07.1976 00:00:00;  3,02
16.07.1976 00:00:00;  2,87
17.07.1976 00:00:00;  2,93
18.07.1976 00:00:00;  2,85
19.07.1976 00:00:00;  2,74
20.07.1976 00:00:00;  2,86
21.07.1976 00:00:00;  2,88
22.07.1976 00:00:00;  3,52
23.07.1976 00:00:00;  4,15
24.07.1976 00:00:00;  11,9
25.07.1976 00:00:00;  7,34
26.07.1976 00:00:00;  10,4
27.07.1976 00:00:00;  13,3
28.07.1976 00:00:00;  9,21
29.07.1976 00:00:00;  8,52
30.07.1976 00:00:00;  7,47
31.07.1976 00:00:00;  5,49
01.08.1976 00:00:00;  6,96
02.08.1976 00:00:00;  7,02
03.08.1976 00:00:00;  7,18
04.08.1976 00:00:00;  6,70
05.08.1976 00:00:00;  8,81
06.08.1976 00:00:00;  10,9
07.08.1976 00:00:00;  8,32
08.08.1976 00:00:00;  5,96
09.08.1976 00:00:00;  5,07
10.08.1976 00:00:00;  4,37
11.08.1976 00:00:00;  3,98
12.08.1976 00:00:00;  3,44
13.08.1976 00:00:00;  3,31
14.08.1976 00:00:00;  3,33
15.08.1976 00:00:00;  3,22
16.08.1976 00:00:00;  2,89
17.08.1976 00:00:00;  2,45
18.08.1976 00:00:00;  2,33
19.08.1976 00:00:00;  2,22
20.08.1976 00:00:00;  3,41
21.08.1976 00:00:00;  14,1
22.08.1976 00:00:00;  14,3
23.08.1976 00:00:00;  9,36
24.08.1976 00:00:00;  7,58
25.08.1976 00:00:00;  6,30
26.08.1976 00:00:00;  5,04
27.08.1976 00:00:00;  4,58
28.08.1976 00:00:00;  4,57
29.08.1976 00:00:00;  4,30
30.08.1976 00:00:00;  3,83
31.08.1976 00:00:00;  4,02
01.09.1976 00:00:00;  3,91
02.09.1976 00:00:00;  4,75
03.09.1976 00:00:00;  5,53
04.09.1976 00:00:00;  7,73
05.09.1976 00:00:00;  15,9
06.09.1976 00:00:00;  13,5
07.09.1976 00:00:00;  8,68
08.09.1976 00:00:00;  7,05
09.09.1976 00:00:00;  5,98
10.09.1976 00:00:00;  6,10
11.09.1976 00:00:00;  5,63
12.09.1976 00:00:00;  4,46
13.09.1976 00:00:00;  4,06
14.09.1976 00:00:00;  3,98
15.09.1976 00:00:00;  3,81
16.09.1976 00:00:00;  3,38
17.09.1976 00:00:00;  3,37
18.09.1976 00:00:00;  23,3
19.09.1976 00:00:00;  26,5
20.09.1976 00:00:00;  15,4
21.09.1976 00:00:00;  10,9
22.09.1976 00:00:00;  8,84
23.09.1976 00:00:00;  7,75
24.09.1976 00:00:00;  6,50
25.09.1976 00:00:00;  6,00
26.09.1976 00:00:00;  5,59
27.09.1976 00:00:00;  5,45
28.09.1976 00:00:00;  4,72
29.09.1976 00:00:00;  4,70
30.09.1976 00:00:00;  7,90
01.10.1976 00:00:00;  6,45
02.10.1976 00:00:00;  5,65
03.10.1976 00:00:00;  5,32
04.10.1976 00:00:00;  5,28
05.10.1976 00:00:00;  5,36
06.10.1976 00:00:00;  4,72
07.10.1976 00:00:00;  4,29
08.10.1976 00:00:00;  4,19
09.10.1976 00:00:00;  4,13
10.10.1976 00:00:00;  4,09
11.10.1976 00:00:00;  3,85
12.10.1976 00:00:00;  3,66
13.10.1976 00:00:00;  3,44
14.10.1976 00:00:00;  3,22
15.10.1976 00:00:00;  3,13
16.10.1976 00:00:00;  3,25
17.10.1976 00:00:00;  4,58
18.10.1976 00:00:00;  4,47
19.10.1976 00:00:00;  3,80
20.10.1976 00:00:00;  3,76
21.10.1976 00:00:00;  3,56
22.10.1976 00:00:00;  3,43
23.10.1976 00:00:00;  3,33
24.10.1976 00:00:00;  3,18
25.10.1976 00:00:00;  2,94
26.10.1976 00:00:00;  2,95
27.10.1976 00:00:00;  3,00
28.10.1976 00:00:00;  2,94
29.10.1976 00:00:00;  2,89
30.10.1976 00:00:00;  2,89
31.10.1976 00:00:00;  3,25
01.11.1976 00:00:00;  3,26
02.11.1976 00:00:00;  3,17
03.11.1976 00:00:00;  3,13
04.11.1976 00:00:00;  3,22
05.11.1976 00:00:00;  3,19
06.11.1976 00:00:00;  2,90
07.11.1976 00:00:00;  2,63
08.11.1976 00:00:00;  2,71
09.11.1976 00:00:00;  2,64
10.11.1976 00:00:00;  2,70
11.11.1976 00:00:00;  2,78
12.11.1976 00:00:00;  2,75
13.11.1976 00:00:00;  2,73
14.11.1976 00:00:00;  4,80
15.11.1976 00:00:00;  7,24
16.11.1976 00:00:00;  6,72
17.11.1976 00:00:00;  5,55
18.11.1976 00:00:00;  4,62
19.11.1976 00:00:00;  4,30
20.11.1976 00:00:00;  4,25
21.11.1976 00:00:00;  4,31
22.11.1976 00:00:00;  4,24
23.11.1976 00:00:00;  4,10
24.11.1976 00:00:00;  3,97
25.11.1976 00:00:00;  4,20
26.11.1976 00:00:00;  5,57
27.11.1976 00:00:00;  5,28
28.11.1976 00:00:00;  4,83
29.11.1976 00:00:00;  4,92
30.11.1976 00:00:00;  5,20
01.12.1976 00:00:00;  6,25
02.12.1976 00:00:00;  8,05
03.12.1976 00:00:00;  8,05
04.12.1976 00:00:00;  6,46
05.12.1976 00:00:00;  5,96
06.12.1976 00:00:00;  4,92
07.12.1976 00:00:00;  4,78
08.12.1976 00:00:00;  5,90
09.12.1976 00:00:00;  7,12
10.12.1976 00:00:00;  8,46
11.12.1976 00:00:00;  7,08
12.12.1976 00:00:00;  6,25
13.12.1976 00:00:00;  5,77
14.12.1976 00:00:00;  5,54
15.12.1976 00:00:00;  5,27
16.12.1976 00:00:00;  4,98
17.12.1976 00:00:00;  4,63
18.12.1976 00:00:00;  4,39
19.12.1976 00:00:00;  5,87
20.12.1976 00:00:00;  7,06
21.12.1976 00:00:00;  7,16
22.12.1976 00:00:00;  7,11
23.12.1976 00:00:00;  6,82
24.12.1976 00:00:00;  5,92
25.12.1976 00:00:00;  5,61
26.12.1976 00:00:00;  5,23
27.12.1976 00:00:00;  4,69
28.12.1976 00:00:00;  4,57
29.12.1976 00:00:00;  4,38
30.12.1976 00:00:00;  3,95
31.12.1976 00:00:00;  3,72
01.01.1977 00:00:00;  3,67
02.01.1977 00:00:00;  3,62
03.01.1977 00:00:00;  3,42
04.01.1977 00:00:00;  3,35
05.01.1977 00:00:00;  3,32
06.01.1977 00:00:00;  3,41
07.01.1977 00:00:00;  3,32
08.01.1977 00:00:00;  3,31
09.01.1977 00:00:00;  3,32
10.01.1977 00:00:00;  3,23
11.01.1977 00:00:00;  3,20
12.01.1977 00:00:00;  3,52
13.01.1977 00:00:00;  3,47
14.01.1977 00:00:00;  3,34
15.01.1977 00:00:00;  3,39
16.01.1977 00:00:00;  3,37
17.01.1977 00:00:00;  3,13
18.01.1977 00:00:00;  3,13
19.01.1977 00:00:00;  3,12
20.01.1977 00:00:00;  3,02
21.01.1977 00:00:00;  2,98
22.01.1977 00:00:00;  2,96
23.01.1977 00:00:00;  2,94
24.01.1977 00:00:00;  2,92
25.01.1977 00:00:00;  3,11
26.01.1977 00:00:00;  5,62
27.01.1977 00:00:00;  9,01
28.01.1977 00:00:00;  7,53
29.01.1977 00:00:00;  7,12
30.01.1977 00:00:00;  7,45
31.01.1977 00:00:00;  5,90
01.02.1977 00:00:00;  5,18
02.02.1977 00:00:00;  4,64
03.02.1977 00:00:00;  4,29
04.02.1977 00:00:00;  4,05
05.02.1977 00:00:00;  6,71
