Messstelle:                ;Cholerakapelle
HZB-Nummer:                ;208090
HD-Nummer:                 ;no405
DBMS-Nummer:               ;3001048
Gewässer:                  ;Schwechat
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;181
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1909              ;00252,64
   01.01.1976              ;00253,00
   01.01.1977              ;00255,19
   01.01.2015              ;00255,20
   27.09.2018              ;00255,21
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1909              ;738626,00 - 319951,00
   01.01.1975              ;738004,00 - 319477,00
Exportzeitreihe:           ;(3001048,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1975 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1975 00:00:00;  3,33
02.01.1975 00:00:00;  4,57
03.01.1975 00:00:00;  3,68
04.01.1975 00:00:00;  3,01
05.01.1975 00:00:00;  2,74
06.01.1975 00:00:00;  2,60
07.01.1975 00:00:00;  2,46
08.01.1975 00:00:00;  2,46
09.01.1975 00:00:00;  2,32
10.01.1975 00:00:00;  2,18
11.01.1975 00:00:00;  2,05
12.01.1975 00:00:00;  2,05
13.01.1975 00:00:00;  2,05
14.01.1975 00:00:00;  2,05
15.01.1975 00:00:00;  1,91
16.01.1975 00:00:00;  1,67
17.01.1975 00:00:00;  1,67
18.01.1975 00:00:00;  1,67
19.01.1975 00:00:00;  1,67
20.01.1975 00:00:00;  1,57
21.01.1975 00:00:00;  1,57
22.01.1975 00:00:00;  1,47
23.01.1975 00:00:00;  1,47
24.01.1975 00:00:00;  1,37
25.01.1975 00:00:00;  1,47
26.01.1975 00:00:00;  1,47
27.01.1975 00:00:00;  1,47
28.01.1975 00:00:00;  1,77
29.01.1975 00:00:00;  2,18
30.01.1975 00:00:00;  2,18
31.01.1975 00:00:00;  1,91
01.02.1975 00:00:00;  2,46
02.02.1975 00:00:00;  4,39
03.02.1975 00:00:00;  5,35
04.02.1975 00:00:00;  3,86
05.02.1975 00:00:00;  3,01
06.02.1975 00:00:00;  2,46
07.02.1975 00:00:00;  2,18
08.02.1975 00:00:00;  2,05
09.02.1975 00:00:00;  1,67
10.02.1975 00:00:00;  1,57
11.02.1975 00:00:00;  1,67
12.02.1975 00:00:00;  1,67
13.02.1975 00:00:00;  1,67
14.02.1975 00:00:00;  1,57
15.02.1975 00:00:00;  1,57
16.02.1975 00:00:00;  1,47
17.02.1975 00:00:00;  1,16
18.02.1975 00:00:00;  1,37
19.02.1975 00:00:00;  1,37
20.02.1975 00:00:00;  1,37
21.02.1975 00:00:00;  1,37
22.02.1975 00:00:00;  1,27
