Messstelle:                ;Pinkafeld
HZB-Nummer:                ;210419
HD-Nummer:                 ;
DBMS-Nummer:               ;1001038
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;134,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1987              ;00384,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1987              ;733900,00 - 248000,00
   05.10.2018              ;733885,54 - 248016,50
Exportzeitreihe:           ;(1001038,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1987 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1987 00:00:00; 0,605
02.01.1987 00:00:00; 0,640
03.01.1987 00:00:00; 0,560
04.01.1987 00:00:00; 0,662
05.01.1987 00:00:00; 0,814
06.01.1987 00:00:00; 0,883
07.01.1987 00:00:00; 0,670
08.01.1987 00:00:00; 0,677
09.01.1987 00:00:00; 0,613
10.01.1987 00:00:00; 0,554
11.01.1987 00:00:00; 0,554
12.01.1987 00:00:00; 0,554
13.01.1987 00:00:00; 0,554
14.01.1987 00:00:00; 0,554
15.01.1987 00:00:00; 0,554
16.01.1987 00:00:00; 0,499
17.01.1987 00:00:00; 0,499
18.01.1987 00:00:00; 0,499
19.01.1987 00:00:00; 0,499
20.01.1987 00:00:00; 0,499
21.01.1987 00:00:00; 0,499
22.01.1987 00:00:00; 0,499
23.01.1987 00:00:00; 0,499
24.01.1987 00:00:00; 0,499
25.01.1987 00:00:00; 0,499
26.01.1987 00:00:00; 0,499
27.01.1987 00:00:00; 0,499
28.01.1987 00:00:00; 0,499
29.01.1987 00:00:00; 0,499
30.01.1987 00:00:00; 0,511
31.01.1987 00:00:00; 0,534
01.02.1987 00:00:00; 0,545
02.02.1987 00:00:00; 0,545
03.02.1987 00:00:00; 0,664
04.02.1987 00:00:00; 0,664
05.02.1987 00:00:00;  1,05
