Messstelle:                ;Götzendorf
HZB-Nummer:                ;215517
HD-Nummer:                 ;no836
DBMS-Nummer:               ;3003174
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1709,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2015              ;00167,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;768815,00 - 319168,00
Exportzeitreihe:           ;(3003174,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[08.07.2015 12:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
08.07.2015 12:30:00; 0,840
09.07.2015 00:00:00;  5,36
10.07.2015 00:00:00;  1,80
11.07.2015 00:00:00; 0,987
12.07.2015 00:00:00; 0,628
13.07.2015 00:00:00; 0,491
14.07.2015 00:00:00; 0,425
15.07.2015 00:00:00; 0,405
16.07.2015 00:00:00; 0,401
17.07.2015 00:00:00; 0,442
18.07.2015 00:00:00; 0,445
19.07.2015 00:00:00; 0,425
20.07.2015 00:00:00; 0,430
21.07.2015 00:00:00; 0,428
22.07.2015 00:00:00; 0,424
23.07.2015 00:00:00; 0,432
24.07.2015 00:00:00; 0,496
25.07.2015 00:00:00; 0,521
26.07.2015 00:00:00; 0,470
27.07.2015 00:00:00; 0,465
28.07.2015 00:00:00; 0,449
29.07.2015 00:00:00; 0,467
30.07.2015 00:00:00; 0,680
31.07.2015 00:00:00; 0,560
01.08.2015 00:00:00; 0,455
02.08.2015 00:00:00; 0,443
03.08.2015 00:00:00; 0,487
04.08.2015 00:00:00; 0,458
05.08.2015 00:00:00; 0,480
06.08.2015 00:00:00; 0,471
07.08.2015 00:00:00; 0,438
08.08.2015 00:00:00; 0,414
09.08.2015 00:00:00; 0,395
10.08.2015 00:00:00; 0,393
11.08.2015 00:00:00; 0,383
12.08.2015 00:00:00; 0,388
13.08.2015 00:00:00; 0,390
14.08.2015 00:00:00; 0,385
15.08.2015 00:00:00; 0,383
16.08.2015 00:00:00; 0,386
17.08.2015 00:00:00; 0,572
18.08.2015 00:00:00; 0,462
19.08.2015 00:00:00; 0,402
20.08.2015 00:00:00; 0,545
21.08.2015 00:00:00; 0,420
22.08.2015 00:00:00; 0,396
23.08.2015 00:00:00; 0,386
24.08.2015 00:00:00; 0,366
25.08.2015 00:00:00; 0,337
26.08.2015 00:00:00; 0,320
27.08.2015 00:00:00; 0,320
28.08.2015 00:00:00; 0,305
29.08.2015 00:00:00; 0,288
30.08.2015 00:00:00; 0,270
31.08.2015 00:00:00; 0,247
01.09.2015 00:00:00; 0,264
02.09.2015 00:00:00; 0,229
03.09.2015 00:00:00; 0,326
04.09.2015 00:00:00; 0,391
05.09.2015 00:00:00; 0,257
06.09.2015 00:00:00; 0,289
07.09.2015 00:00:00; 0,275
08.09.2015 00:00:00; 0,261
09.09.2015 00:00:00; 0,251
10.09.2015 00:00:00; 0,269
11.09.2015 00:00:00; 0,271
12.09.2015 00:00:00; 0,257
13.09.2015 00:00:00; 0,252
14.09.2015 00:00:00;  1,72
15.09.2015 00:00:00;  3,13
16.09.2015 00:00:00;  2,69
17.09.2015 00:00:00;  1,90
18.09.2015 00:00:00; 0,472
19.09.2015 00:00:00; 0,367
20.09.2015 00:00:00; 0,435
21.09.2015 00:00:00; 0,739
22.09.2015 00:00:00; 0,372
23.09.2015 00:00:00; 0,344
24.09.2015 00:00:00; 0,361
25.09.2015 00:00:00; 0,469
26.09.2015 00:00:00;  2,09
27.09.2015 00:00:00;  1,86
28.09.2015 00:00:00; 0,251
29.09.2015 00:00:00; 0,197
30.09.2015 00:00:00; 0,185
01.10.2015 00:00:00; 0,179
02.10.2015 00:00:00; 0,196
03.10.2015 00:00:00; 0,202
