Messstelle:                ;Riedlbachquelle
HZB-Nummer:                ;395996
HD-Nummer:                 ;1548001
DBMS-Nummer:               ;6003532
Gebirgsgruppe:             ;1548 Hirzberg - Hochmühleck
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;QU
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.12.2006
 Geländehöhe-Hauptquelle:  ;820,00
 Pegelnullpunkt:           ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.12.2006               ;13 52 00                 ;47 32 49
Exportzeitreihe:           ;QUWQ,I,Mit,T,1,F,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2021 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;l/s
Werte:
01.01.2008 00:00:00   ;   108,6 ;     
02.01.2008 00:00:00   ;   104,6 ;     
03.01.2008 00:00:00   ;   100,6 ;     
04.01.2008 00:00:00   ;    95,5 ;     
05.01.2008 00:00:00   ;    91,4 ;     
06.01.2008 00:00:00   ;    86,8 ;     
07.01.2008 00:00:00   ;    85,2 ;     
08.01.2008 00:00:00   ;    87,0 ;     
09.01.2008 00:00:00   ;    76,3 ;     
10.01.2008 00:00:00   ;    68,9 ;     
11.01.2008 00:00:00   ;    64,0 ;     
