Messstelle:                ;Schärding (Schreibpegel)
HZB-Nummer:                ;206201
HD-Nummer:                 ;2790
DBMS-Nummer:               ;4001162
Gewässer:                  ;Inn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25520,00
Pegelnullpunkt:
 gültig seit:              ;Höhe [m ü.A.]:
  01.01.1940               ;299,80
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  25.03.2020               ;13 25 45                 ;48 27 25
  23.04.2009               ;13 25 44                 ;48 27 24
  01.01.1851               ;13 25 43                 ;48 27 25
Ursprungszeitreihe:        ;Schwebstoff,K,TRA,,0,F,Z,0,,,
Transformation:            ;Summe
Summenintervall:           ;1 Tag
Exportzeitreihe:           ;Abgeleitete Intervallzeitreihe
                           ;Schwebstoff,I,Sum,T,1,M,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Mit Textausgabe:
  Texte in der Textrelation 20TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;01.01.2008 00:00; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;t
Werte:
01.01.2008 00:00:00   ;    55,7 ;     
02.01.2008 00:00:00   ;    59,5 ;     
03.01.2008 00:00:00   ;   108,1 ;     
04.01.2008 00:00:00   ;   216,9 ;     
05.01.2008 00:00:00   ;   154,0 ;     
06.01.2008 00:00:00   ;   133,0 ;     
07.01.2008 00:00:00   ;   109,3 ;     
08.01.2008 00:00:00   ;   281,7 ;     
09.01.2008 00:00:00   ;   142,9 ;     
10.01.2008 00:00:00   ;   137,8 ;     
11.01.2008 00:00:00   ;   151,4 ;     
12.01.2008 00:00:00   ;   207,5 ;     
13.01.2008 00:00:00   ;   202,5 ;     
14.01.2008 00:00:00   ;   179,9 ;     
15.01.2008 00:00:00   ;   258,1 ;     
16.01.2008 00:00:00   ;    69,6 ;     
17.01.2008 00:00:00   ;    92,1 ;     
18.01.2008 00:00:00   ;   169,3 ;     
19.01.2008 00:00:00   ;   118,1 ;     
20.01.2008 00:00:00   ;   219,8 ;     
21.01.2008 00:00:00   ;   217,3 ;     
22.01.2008 00:00:00   ;   279,6 ;     
23.01.2008 00:00:00   ;   301,2 ;     
24.01.2008 00:00:00   ;   233,5 ;     
25.01.2008 00:00:00   ;   215,2 ;     
26.01.2008 00:00:00   ;   162,0 ;     
27.01.2008 00:00:00   ;   136,9 ;     
28.01.2008 00:00:00   ;   213,5 ;     
29.01.2008 00:00:00   ;   210,3 ;     
30.01.2008 00:00:00   ;   145,6 ;     
31.01.2008 00:00:00   ;   174,6 ;     
01.02.2008 00:00:00   ;   197,0 ;     
02.02.2008 00:00:00   ;   156,9 ;     
03.02.2008 00:00:00   ;   127,3 ;     
04.02.2008 00:00:00   ;   110,9 ;     
05.02.2008 00:00:00   ;   120,6 ;     
06.02.2008 00:00:00   ;   113,5 ;     
07.02.2008 00:00:00   ;   174,2 ;     
08.02.2008 00:00:00   ;   188,8 ;     
09.02.2008 00:00:00   ;   167,1 ;     
10.02.2008 00:00:00   ;   163,4 ;     
11.02.2008 00:00:00   ;   196,2 ;     
12.02.2008 00:00:00   ;   203,9 ;     
13.02.2008 00:00:00   ;   118,6 ;     
14.02.2008 00:00:00   ;   143,7 ;     
15.02.2008 00:00:00   ;   196,8 ;     
16.02.2008 00:00:00   ;   225,8 ;     
17.02.2008 00:00:00   ;  1562,9 ;     
18.02.2008 00:00:00   ;  2464,2 ;     
19.02.2008 00:00:00   ;   163,1 ;     
20.02.2008 00:00:00   ;   172,8 ;     
21.02.2008 00:00:00   ;   335,0 ;     
22.02.2008 00:00:00   ;   355,5 ;     
23.02.2008 00:00:00   ;   344,3 ;     
24.02.2008 00:00:00   ;   296,4 ;     
25.02.2008 00:00:00   ;   121,3 ;     
26.02.2008 00:00:00   ;   138,9 ;     
27.02.2008 00:00:00   ;   173,6 ;     
28.02.2008 00:00:00   ;   146,8 ;     
29.02.2008 00:00:00   ;   191,8 ;     
01.03.2008 00:00:00   ;   402,5 ;     
02.03.2008 00:00:00   ;   850,6 ;     
03.03.2008 00:00:00   ;   970,5 ;     
04.03.2008 00:00:00   ;   611,4 ;     
05.03.2008 00:00:00   ;   553,8 ;     
06.03.2008 00:00:00   ;   495,6 ;     
07.03.2008 00:00:00   ;   506,6 ;     
08.03.2008 00:00:00   ;   425,8 ;     
09.03.2008 00:00:00   ;   174,7 ;     
10.03.2008 00:00:00   ;   231,4 ;     
11.03.2008 00:00:00   ;   246,2 ;     
12.03.2008 00:00:00   ;   290,1 ;     
