Messstelle:                ;Golling
HZB-Nummer:                ;203323
HD-Nummer:                 ;
DBMS-Nummer:               ;5001028
Gewässer:                  ;Salzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;3555,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00463,19
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;437280,00 - 273020,00
Exportzeitreihe:           ;(5001028,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.07.1895 07:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.07.1895 07:30:00;    43
02.07.1895 00:00:00;    51
03.07.1895 00:00:00;    63
04.07.1895 00:00:00;    81
05.07.1895 00:00:00;    59
06.07.1895 00:00:00;    61
07.07.1895 00:00:00;    79
08.07.1895 00:00:00;    33
09.07.1895 00:00:00;    15
10.07.1895 00:00:00;    10
11.07.1895 00:00:00;    16
12.07.1895 00:00:00;    49
13.07.1895 00:00:00;    90
14.07.1895 00:00:00;    38
15.07.1895 00:00:00;    16
16.07.1895 00:00:00;    15
17.07.1895 00:00:00;    17
18.07.1895 00:00:00;    23
19.07.1895 00:00:00;    30
20.07.1895 00:00:00;    52
21.07.1895 00:00:00;    37
22.07.1895 00:00:00;    54
23.07.1895 00:00:00;    78
24.07.1895 00:00:00;    48
25.07.1895 00:00:00;    25
26.07.1895 00:00:00;    21
27.07.1895 00:00:00;    24
28.07.1895 00:00:00;    23
29.07.1895 00:00:00;    28
30.07.1895 00:00:00;    23
31.07.1895 00:00:00;    15
01.08.1895 00:00:00;    23
02.08.1895 00:00:00;    40
03.08.1895 00:00:00;    25
04.08.1895 00:00:00;    55
05.08.1895 00:00:00;    86
06.08.1895 00:00:00;    57
07.08.1895 00:00:00;    55
08.08.1895 00:00:00;    60
09.08.1895 00:00:00;    28
10.08.1895 00:00:00;    15
11.08.1895 00:00:00;    10
12.08.1895 00:00:00;    27
13.08.1895 00:00:00;    69
14.08.1895 00:00:00;    59
15.08.1895 00:00:00;    50
16.08.1895 00:00:00;    61
17.08.1895 00:00:00;    33
18.08.1895 00:00:00;     6
