Messstelle:                ;St. Florian bei Linz
HZB-Nummer:                ;205690
HD-Nummer:                 ;7050
DBMS-Nummer:               ;4001112
Gewässer:                  ;Ipfbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00251,31
   01.01.1989              ;00258,21
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;527880,00 - 341130,00
   01.01.2018              ;527852,77 - 341101,41
Exportzeitreihe:           ;(4001112,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 01:00:00;   125
02.01.1976 00:00:00;   148
03.01.1976 00:00:00;   144
04.01.1976 00:00:00;   134
05.01.1976 00:00:00;   131
06.01.1976 00:00:00;   146
07.01.1976 00:00:00;   142
08.01.1976 00:00:00;   135
09.01.1976 00:00:00;   131
10.01.1976 00:00:00;   129
11.01.1976 00:00:00;   141
12.01.1976 00:00:00;   148
13.01.1976 00:00:00;   135
14.01.1976 00:00:00;   131
15.01.1976 00:00:00;   134
16.01.1976 00:00:00;   136
17.01.1976 00:00:00;   143
18.01.1976 00:00:00;   138
19.01.1976 00:00:00;   134
20.01.1976 00:00:00;   132
21.01.1976 00:00:00;   132
22.01.1976 00:00:00;   138
23.01.1976 00:00:00;   155
24.01.1976 00:00:00;   144
25.01.1976 00:00:00;   137
26.01.1976 00:00:00;   132
27.01.1976 00:00:00;   130
28.01.1976 00:00:00;   128
29.01.1976 00:00:00;   127
30.01.1976 00:00:00;   126
31.01.1976 00:00:00;   126
01.02.1976 00:00:00;   126
02.02.1976 00:00:00;   126
03.02.1976 00:00:00;   126
04.02.1976 00:00:00;   126
05.02.1976 00:00:00;   126
06.02.1976 00:00:00;   126
07.02.1976 00:00:00;   125
08.02.1976 00:00:00;   125
09.02.1976 00:00:00;   125
10.02.1976 00:00:00;   125
11.02.1976 00:00:00;   126
12.02.1976 00:00:00;   126
13.02.1976 00:00:00;   126
14.02.1976 00:00:00;   126
15.02.1976 00:00:00;   126
16.02.1976 00:00:00;   125
17.02.1976 00:00:00;   124
18.02.1976 00:00:00;   124
19.02.1976 00:00:00;   124
20.02.1976 00:00:00;   124
21.02.1976 00:00:00;   124
22.02.1976 00:00:00;   124
23.02.1976 00:00:00;   124
24.02.1976 00:00:00;   124
25.02.1976 00:00:00;   124
26.02.1976 00:00:00;   124
27.02.1976 00:00:00;   124
28.02.1976 00:00:00;   124
29.02.1976 00:00:00;   124
01.03.1976 00:00:00;   124
02.03.1976 00:00:00;   124
03.03.1976 00:00:00;   123
04.03.1976 00:00:00;   123
05.03.1976 00:00:00;   123
06.03.1976 00:00:00;   123
07.03.1976 00:00:00;   123
08.03.1976 00:00:00;   123
09.03.1976 00:00:00;   122
10.03.1976 00:00:00;   122
11.03.1976 00:00:00;   122
12.03.1976 00:00:00;   122
13.03.1976 00:00:00;   122
14.03.1976 00:00:00;   122
15.03.1976 00:00:00;   123
16.03.1976 00:00:00;   123
17.03.1976 00:00:00;   123
18.03.1976 00:00:00;   123
19.03.1976 00:00:00;   125
20.03.1976 00:00:00;   124
21.03.1976 00:00:00;   124
22.03.1976 00:00:00;   123
23.03.1976 00:00:00;   123
24.03.1976 00:00:00;   123
25.03.1976 00:00:00;   123
26.03.1976 00:00:00;   124
27.03.1976 00:00:00;   124
28.03.1976 00:00:00;   124
29.03.1976 00:00:00;   123
