Messstelle:                ;Wienerbruck
HZB-Nummer:                ;207712
HD-Nummer:                 ;no070
DBMS-Nummer:               ;3001011
Gewässer:                  ;Ötscherbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;36,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00627,00
   01.01.1977              ;00622,17
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1965              ;671333,70 - 301732,50
Exportzeitreihe:           ;(3001011,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:00:00;   135
02.01.1976 00:00:00;   178
03.01.1976 00:00:00;   180
04.01.1976 00:00:00;   158
05.01.1976 00:00:00;   154
06.01.1976 00:00:00;   202
07.01.1976 00:00:00;   185
08.01.1976 00:00:00;   162
09.01.1976 00:00:00;   162
10.01.1976 00:00:00;   159
11.01.1976 00:00:00;   199
12.01.1976 00:00:00;   214
13.01.1976 00:00:00;   193
14.01.1976 00:00:00;   184
15.01.1976 00:00:00;   181
16.01.1976 00:00:00;   170
17.01.1976 00:00:00;   162
18.01.1976 00:00:00;   157
19.01.1976 00:00:00;   155
20.01.1976 00:00:00;   153
21.01.1976 00:00:00;   161
22.01.1976 00:00:00;   155
23.01.1976 00:00:00;   166
24.01.1976 00:00:00;   161
25.01.1976 00:00:00;   154
26.01.1976 00:00:00;   151
27.01.1976 00:00:00;   149
28.01.1976 00:00:00;   147
29.01.1976 00:00:00;   146
30.01.1976 00:00:00;   144
31.01.1976 00:00:00;   145
01.02.1976 00:00:00;   145
02.02.1976 00:00:00;   144
03.02.1976 00:00:00;   144
04.02.1976 00:00:00;   144
05.02.1976 00:00:00;   143
06.02.1976 00:00:00;   143
07.02.1976 00:00:00;   143
08.02.1976 00:00:00;   142
09.02.1976 00:00:00;   142
10.02.1976 00:00:00;   142
11.02.1976 00:00:00;   142
12.02.1976 00:00:00;   141
13.02.1976 00:00:00;   141
14.02.1976 00:00:00;   141
15.02.1976 00:00:00;   141
16.02.1976 00:00:00;   140
17.02.1976 00:00:00;   140
18.02.1976 00:00:00;   139
19.02.1976 00:00:00;   139
20.02.1976 00:00:00;   139
21.02.1976 00:00:00;   140
22.02.1976 00:00:00;   141
23.02.1976 00:00:00;   141
24.02.1976 00:00:00;   141
25.02.1976 00:00:00;   141
26.02.1976 00:00:00;   146
27.02.1976 00:00:00;   150
28.02.1976 00:00:00;   150
29.02.1976 00:00:00;   154
01.03.1976 00:00:00;   158
02.03.1976 00:00:00;   156
03.03.1976 00:00:00;   150
04.03.1976 00:00:00;   148
05.03.1976 00:00:00;   146
06.03.1976 00:00:00;   144
07.03.1976 00:00:00;   143
08.03.1976 00:00:00;   142
09.03.1976 00:00:00;   142
10.03.1976 00:00:00;   141
11.03.1976 00:00:00;   140
12.03.1976 00:00:00;   139
13.03.1976 00:00:00;   140
14.03.1976 00:00:00;   140
15.03.1976 00:00:00;   141
16.03.1976 00:00:00;   140
17.03.1976 00:00:00;   141
18.03.1976 00:00:00;   142
19.03.1976 00:00:00;   142
20.03.1976 00:00:00;   142
21.03.1976 00:00:00;   140
22.03.1976 00:00:00;   138
23.03.1976 00:00:00;   138
24.03.1976 00:00:00;   137
25.03.1976 00:00:00;   136
26.03.1976 00:00:00;   139
27.03.1976 00:00:00;   140
28.03.1976 00:00:00;   141
29.03.1976 00:00:00;   144
30.03.1976 00:00:00;   158
31.03.1976 00:00:00;   164
01.04.1976 00:00:00;   171
02.04.1976 00:00:00;   179
03.04.1976 00:00:00;   181
04.04.1976 00:00:00;   183
05.04.1976 00:00:00;   179
06.04.1976 00:00:00;   181
07.04.1976 00:00:00;   171
08.04.1976 00:00:00;   161
09.04.1976 00:00:00;   153
10.04.1976 00:00:00;   149
11.04.1976 00:00:00;   148
12.04.1976 00:00:00;   150
13.04.1976 00:00:00;   149
14.04.1976 00:00:00;   151
15.04.1976 00:00:00;   157
16.04.1976 00:00:00;   160
17.04.1976 00:00:00;   163
18.04.1976 00:00:00;   164
19.04.1976 00:00:00;   169
20.04.1976 00:00:00;   164
21.04.1976 00:00:00;   161
22.04.1976 00:00:00;   155
23.04.1976 00:00:00;   149
24.04.1976 00:00:00;   150
25.04.1976 00:00:00;   164
26.04.1976 00:00:00;   161
27.04.1976 00:00:00;   165
28.04.1976 00:00:00;   160
29.04.1976 00:00:00;   151
30.04.1976 00:00:00;   149
01.05.1976 00:00:00;   153
02.05.1976 00:00:00;   155
03.05.1976 00:00:00;   159
04.05.1976 00:00:00;   161
05.05.1976 00:00:00;   168
06.05.1976 00:00:00;   169
07.05.1976 00:00:00;   170
08.05.1976 00:00:00;   166
09.05.1976 00:00:00;   167
10.05.1976 00:00:00;   162
11.05.1976 00:00:00;   156
12.05.1976 00:00:00;   152
13.05.1976 00:00:00;   158
14.05.1976 00:00:00;   175
15.05.1976 00:00:00;   160
16.05.1976 00:00:00;   158
17.05.1976 00:00:00;   153
18.05.1976 00:00:00;   151
19.05.1976 00:00:00;   149
20.05.1976 00:00:00;   152
21.05.1976 00:00:00;   153
22.05.1976 00:00:00;   159
23.05.1976 00:00:00;   196
