Messstelle:                ;Alberndorf
HZB-Nummer:                ;209601
HD-Nummer:                 ;no610
DBMS-Nummer:               ;3001176
Gewässer:                  ;Mährische Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;621,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1988              ;00412,00
   01.01.1990              ;00409,21
   01.01.2007              ;00409,20
   01.01.2018              ;00409,22
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1988              ;686936,00 - 415830,00
Exportzeitreihe:           ;(3001176,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1988 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1988 00:15:00;   148
02.01.1988 00:00:00;   146
03.01.1988 00:00:00;   146
04.01.1988 00:00:00;   145
05.01.1988 00:00:00;   145
06.01.1988 00:00:00;   144
07.01.1988 00:00:00;   143
08.01.1988 00:00:00;   142
09.01.1988 00:00:00;   141
10.01.1988 00:00:00;   139
11.01.1988 00:00:00;   138
12.01.1988 00:00:00;   137
13.01.1988 00:00:00;   136
14.01.1988 00:00:00;   136
15.01.1988 00:00:00;   136
16.01.1988 00:00:00;   136
17.01.1988 00:00:00;   136
18.01.1988 00:00:00;   134
19.01.1988 00:00:00;   134
20.01.1988 00:00:00;   134
21.01.1988 00:00:00;   134
22.01.1988 00:00:00;   134
23.01.1988 00:00:00;   134
24.01.1988 00:00:00;   134
25.01.1988 00:00:00;   134
26.01.1988 00:00:00;   134
27.01.1988 00:00:00;   135
28.01.1988 00:00:00;   136
29.01.1988 00:00:00;   136
30.01.1988 00:00:00;   140
31.01.1988 00:00:00;   150
01.02.1988 00:00:00;   150
02.02.1988 00:00:00;   147
03.02.1988 00:00:00;   145
04.02.1988 00:00:00;   144
05.02.1988 00:00:00;   144
06.02.1988 00:00:00;   142
07.02.1988 00:00:00;   141
08.02.1988 00:00:00;   140
09.02.1988 00:00:00;   139
10.02.1988 00:00:00;   139
11.02.1988 00:00:00;   139
12.02.1988 00:00:00;   138
13.02.1988 00:00:00;   138
14.02.1988 00:00:00;   138
15.02.1988 00:00:00;   138
16.02.1988 00:00:00;   137
17.02.1988 00:00:00;   137
18.02.1988 00:00:00;   137
19.02.1988 00:00:00;   138
20.02.1988 00:00:00;   141
21.02.1988 00:00:00;   141
22.02.1988 00:00:00;   140
23.02.1988 00:00:00;   140
24.02.1988 00:00:00;   140
25.02.1988 00:00:00;   140
26.02.1988 00:00:00;   140
27.02.1988 00:00:00;   140
28.02.1988 00:00:00;   140
29.02.1988 00:00:00;   140
01.03.1988 00:00:00;   139
02.03.1988 00:00:00;   139
03.03.1988 00:00:00;   138
04.03.1988 00:00:00;   138
05.03.1988 00:00:00;   138
06.03.1988 00:00:00;   138
07.03.1988 00:00:00;   137
08.03.1988 00:00:00;   137
09.03.1988 00:00:00;   137
10.03.1988 00:00:00;   137
11.03.1988 00:00:00;   137
12.03.1988 00:00:00;   140
13.03.1988 00:00:00;   142
14.03.1988 00:00:00;   144
15.03.1988 00:00:00;   146
16.03.1988 00:00:00;   145
17.03.1988 00:00:00;   153
18.03.1988 00:00:00;   170
19.03.1988 00:00:00;   167
20.03.1988 00:00:00;   164
21.03.1988 00:00:00;   194
22.03.1988 00:00:00;   235
23.03.1988 00:00:00;   256
24.03.1988 00:00:00;   265
25.03.1988 00:00:00;   266
26.03.1988 00:00:00;   288
27.03.1988 00:00:00;   291
28.03.1988 00:00:00;   278
29.03.1988 00:00:00;   259
30.03.1988 00:00:00;   237
31.03.1988 00:00:00;   227
01.04.1988 00:00:00;   219
02.04.1988 00:00:00;   212
03.04.1988 00:00:00;   204
04.04.1988 00:00:00;   197
05.04.1988 00:00:00;   192
06.04.1988 00:00:00;   189
07.04.1988 00:00:00;   185
08.04.1988 00:00:00;   183
09.04.1988 00:00:00;   181
10.04.1988 00:00:00;   177
11.04.1988 00:00:00;   172
12.04.1988 00:00:00;   168
13.04.1988 00:00:00;   165
14.04.1988 00:00:00;   161
15.04.1988 00:00:00;   158
16.04.1988 00:00:00;   157
17.04.1988 00:00:00;   155
18.04.1988 00:00:00;   152
19.04.1988 00:00:00;   152
20.04.1988 00:00:00;   151
21.04.1988 00:00:00;   195
22.04.1988 00:00:00;   219
23.04.1988 00:00:00;   182
24.04.1988 00:00:00;   168
25.04.1988 00:00:00;   165
26.04.1988 00:00:00;   160
27.04.1988 00:00:00;   155
28.04.1988 00:00:00;   155
29.04.1988 00:00:00;   153
30.04.1988 00:00:00;   151
01.05.1988 00:00:00;   148
02.05.1988 00:00:00;   145
03.05.1988 00:00:00;   144
04.05.1988 00:00:00;   146
05.05.1988 00:00:00;   145
06.05.1988 00:00:00;   142
07.05.1988 00:00:00;   139
08.05.1988 00:00:00;   135
09.05.1988 00:00:00;   132
10.05.1988 00:00:00;   131
11.05.1988 00:00:00;   131
12.05.1988 00:00:00;   131
13.05.1988 00:00:00;   130
14.05.1988 00:00:00;   129
15.05.1988 00:00:00;   128
