Messstelle:                ;Purkersdorf
HZB-Nummer:                ;209627
HD-Nummer:                 ;no395
DBMS-Nummer:               ;3001178
Gewässer:                  ;Gablitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;23
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00240,00
   01.01.2005              ;00245,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;738253,00 - 341549,00
Exportzeitreihe:           ;(3001178,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1989 00:15:00;   123
02.01.1989 00:00:00;   123
03.01.1989 00:00:00;   123
04.01.1989 00:00:00;   123
05.01.1989 00:00:00;   123
06.01.1989 00:00:00;   123
07.01.1989 00:00:00;   125
08.01.1989 00:00:00;   128
09.01.1989 00:00:00;   128
10.01.1989 00:00:00;   125
11.01.1989 00:00:00;   125
12.01.1989 00:00:00;   124
13.01.1989 00:00:00;   124
14.01.1989 00:00:00;   124
15.01.1989 00:00:00;   124
16.01.1989 00:00:00;   124
17.01.1989 00:00:00;   124
18.01.1989 00:00:00;   124
19.01.1989 00:00:00;   123
20.01.1989 00:00:00;   123
21.01.1989 00:00:00;   123
22.01.1989 00:00:00;   123
23.01.1989 00:00:00;   123
24.01.1989 00:00:00;   122
25.01.1989 00:00:00;   122
26.01.1989 00:00:00;   122
27.01.1989 00:00:00;   122
28.01.1989 00:00:00;   122
29.01.1989 00:00:00;   122
30.01.1989 00:00:00;   121
31.01.1989 00:00:00;   121
01.02.1989 00:00:00;   121
02.02.1989 00:00:00;   122
03.02.1989 00:00:00;   122
04.02.1989 00:00:00;   122
05.02.1989 00:00:00;   122
06.02.1989 00:00:00;   121
07.02.1989 00:00:00;   121
08.02.1989 00:00:00;   121
09.02.1989 00:00:00;   121
10.02.1989 00:00:00;   121
11.02.1989 00:00:00;   121
12.02.1989 00:00:00;   121
13.02.1989 00:00:00;   121
14.02.1989 00:00:00;   121
15.02.1989 00:00:00;   121
16.02.1989 00:00:00;   121
17.02.1989 00:00:00;   121
18.02.1989 00:00:00;   121
19.02.1989 00:00:00;   131
20.02.1989 00:00:00;   127
21.02.1989 00:00:00;   125
22.02.1989 00:00:00;   125
23.02.1989 00:00:00;   124
24.02.1989 00:00:00;   124
