Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:00:00;   270
02.01.1976 00:00:00;   271
03.01.1976 00:00:00;   268
04.01.1976 00:00:00;   267
05.01.1976 00:00:00;   267
06.01.1976 00:00:00;   265
07.01.1976 00:00:00;   267
08.01.1976 00:00:00;   272
09.01.1976 00:00:00;   273
10.01.1976 00:00:00;   269
11.01.1976 00:00:00;   274
12.01.1976 00:00:00;   283
13.01.1976 00:00:00;   291
14.01.1976 00:00:00;   301
15.01.1976 00:00:00;   295
16.01.1976 00:00:00;   290
17.01.1976 00:00:00;   288
18.01.1976 00:00:00;   285
19.01.1976 00:00:00;   279
20.01.1976 00:00:00;   273
21.01.1976 00:00:00;   275
22.01.1976 00:00:00;   274
23.01.1976 00:00:00;   284
24.01.1976 00:00:00;   294
25.01.1976 00:00:00;   283
26.01.1976 00:00:00;   278
27.01.1976 00:00:00;   274
28.01.1976 00:00:00;   270
29.01.1976 00:00:00;   273
30.01.1976 00:00:00;   273
31.01.1976 00:00:00;   276
01.02.1976 00:00:00;   276
