Messstelle:                ;Trausdorf an der Wulka
HZB-Nummer:                ;210328
HD-Nummer:                 ;
DBMS-Nummer:               ;1001029
Gewässer:                  ;Wulka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;235,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;00145,25
   01.04.1992              ;00142,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1976              ;767528,00 - 297565,00
   03.02.2012              ;767510,00 - 297589,00
   05.10.2018              ;767509,98 - 297558,51
Exportzeitreihe:           ;(1001029,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.06.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.06.1976 00:00:00;   145
02.06.1976 00:00:00;   145
03.06.1976 00:00:00;   145
04.06.1976 00:00:00;   145
05.06.1976 00:00:00;   145
06.06.1976 00:00:00;   145
07.06.1976 00:00:00;   145
08.06.1976 00:00:00;   145
09.06.1976 00:00:00;   145
10.06.1976 00:00:00;   145
11.06.1976 00:00:00;   144
12.06.1976 00:00:00;   144
13.06.1976 00:00:00;   145
14.06.1976 00:00:00;   146
15.06.1976 00:00:00;   146
16.06.1976 00:00:00;   146
17.06.1976 00:00:00;   146
18.06.1976 00:00:00;   146
19.06.1976 00:00:00;   146
20.06.1976 00:00:00;   146
21.06.1976 00:00:00;   146
22.06.1976 00:00:00;   146
23.06.1976 00:00:00;   145
24.06.1976 00:00:00;   146
25.06.1976 00:00:00;   146
26.06.1976 00:00:00;   146
27.06.1976 00:00:00;   146
28.06.1976 00:00:00;   147
29.06.1976 00:00:00;   147
30.06.1976 00:00:00;   147
01.07.1976 00:00:00;   148
02.07.1976 00:00:00;   148
03.07.1976 00:00:00;   148
04.07.1976 00:00:00;   147
05.07.1976 00:00:00;   148
06.07.1976 00:00:00;   147
07.07.1976 00:00:00;   147
08.07.1976 00:00:00;   147
09.07.1976 00:00:00;   147
10.07.1976 00:00:00;   148
11.07.1976 00:00:00;   148
12.07.1976 00:00:00;   147
13.07.1976 00:00:00;   147
14.07.1976 00:00:00;   148
15.07.1976 00:00:00;   147
16.07.1976 00:00:00;   146
17.07.1976 00:00:00;   145
18.07.1976 00:00:00;   144
19.07.1976 00:00:00;   146
20.07.1976 00:00:00;   146
21.07.1976 00:00:00;   146
22.07.1976 00:00:00;   148
23.07.1976 00:00:00;   148
24.07.1976 00:00:00;   147
25.07.1976 00:00:00;   148
26.07.1976 00:00:00;   151
27.07.1976 00:00:00;   148
28.07.1976 00:00:00;   147
29.07.1976 00:00:00;   147
30.07.1976 00:00:00;   146
31.07.1976 00:00:00;   145
01.08.1976 00:00:00;   149
02.08.1976 00:00:00;   146
03.08.1976 00:00:00;   145
04.08.1976 00:00:00;   145
05.08.1976 00:00:00;   145
06.08.1976 00:00:00;   144
07.08.1976 00:00:00;   144
08.08.1976 00:00:00;   144
09.08.1976 00:00:00;   146
10.08.1976 00:00:00;   144
11.08.1976 00:00:00;   144
12.08.1976 00:00:00;   144
13.08.1976 00:00:00;   145
14.08.1976 00:00:00;   144
15.08.1976 00:00:00;   144
16.08.1976 00:00:00;   146
17.08.1976 00:00:00;   146
18.08.1976 00:00:00;   146
19.08.1976 00:00:00;   145
20.08.1976 00:00:00;   145
21.08.1976 00:00:00;   147
22.08.1976 00:00:00;   147
23.08.1976 00:00:00;   143
24.08.1976 00:00:00;   142
25.08.1976 00:00:00;   141
26.08.1976 00:00:00;   141
27.08.1976 00:00:00;   140
28.08.1976 00:00:00;   140
29.08.1976 00:00:00;   140
30.08.1976 00:00:00;   141
31.08.1976 00:00:00;   141
01.09.1976 00:00:00;   154
02.09.1976 00:00:00;   144
03.09.1976 00:00:00;   142
04.09.1976 00:00:00;   142
05.09.1976 00:00:00;   150
06.09.1976 00:00:00;   143
07.09.1976 00:00:00;   142
08.09.1976 00:00:00;   141
09.09.1976 00:00:00;   140
10.09.1976 00:00:00;   140
11.09.1976 00:00:00;   144
12.09.1976 00:00:00;   141
13.09.1976 00:00:00;   141
14.09.1976 00:00:00;   143
15.09.1976 00:00:00;   143
16.09.1976 00:00:00;   142
17.09.1976 00:00:00;   143
18.09.1976 00:00:00;   143
19.09.1976 00:00:00;   141
20.09.1976 00:00:00;   142
21.09.1976 00:00:00;   142
22.09.1976 00:00:00;   142
23.09.1976 00:00:00;   143
24.09.1976 00:00:00;   142
25.09.1976 00:00:00;   140
26.09.1976 00:00:00;   140
27.09.1976 00:00:00;   141
28.09.1976 00:00:00;   141
29.09.1976 00:00:00;   144
30.09.1976 00:00:00;   153
01.10.1976 00:00:00;   143
02.10.1976 00:00:00;   143
