Messstelle:                ;Prossegg
HZB-Nummer:                ;212084
HD-Nummer:                 ;
DBMS-Nummer:               ;7001132
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;197,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.04.1954              ;00939,60
   01.10.1977              ;00939,71
   01.01.2002              ;00939,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1954              ;388989,00 - 208738,00
   01.01.2002              ;388994,25 - 208743,76
Exportzeitreihe:           ;(7001132,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1962 08:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1962 08:00:00;   110
02.01.1962 00:00:00;   111
03.01.1962 00:00:00;   112
04.01.1962 00:00:00;   114
05.01.1962 00:00:00;   114
06.01.1962 00:00:00;   114
07.01.1962 00:00:00;   114
08.01.1962 00:00:00;   112
09.01.1962 00:00:00;   112
10.01.1962 00:00:00;   112
11.01.1962 00:00:00;   112
12.01.1962 00:00:00;   112
13.01.1962 00:00:00;   112
14.01.1962 00:00:00;   112
15.01.1962 00:00:00;   112
16.01.1962 00:00:00;   112
17.01.1962 00:00:00;   112
18.01.1962 00:00:00;   112
19.01.1962 00:00:00;   112
20.01.1962 00:00:00;   112
21.01.1962 00:00:00;   112
22.01.1962 00:00:00;   112
23.01.1962 00:00:00;   112
24.01.1962 00:00:00;   112
25.01.1962 00:00:00;   110
26.01.1962 00:00:00;   111
27.01.1962 00:00:00;   113
28.01.1962 00:00:00;   110
29.01.1962 00:00:00;   110
30.01.1962 00:00:00;   110
31.01.1962 00:00:00;   110
01.02.1962 00:00:00;   110
02.02.1962 00:00:00;   110
03.02.1962 00:00:00;   110
04.02.1962 00:00:00;   110
05.02.1962 00:00:00;   110
06.02.1962 00:00:00;   110
07.02.1962 00:00:00;   110
08.02.1962 00:00:00;   110
09.02.1962 00:00:00;   108
10.02.1962 00:00:00;   108
11.02.1962 00:00:00;   108
12.02.1962 00:00:00;   108
13.02.1962 00:00:00;   108
14.02.1962 00:00:00;   108
15.02.1962 00:00:00;   108
16.02.1962 00:00:00;   108
17.02.1962 00:00:00;   108
18.02.1962 00:00:00;   108
19.02.1962 00:00:00;   108
