Messstelle:                ;Wiener Neustadt (Lichtenwörtherg.)
HZB-Nummer:                ;214387
HD-Nummer:                 ;no831
DBMS-Nummer:               ;3003145
Gewässer:                  ;Warme Fischa
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;241,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.2012              ;00251,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.10.2012              ;745827,00 - 299602,00
Exportzeitreihe:           ;(3003145,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[04.10.2012 13:00:35,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
04.10.2012 13:00:35;   154
05.10.2012 00:00:00;   153
06.10.2012 00:00:00;   150
07.10.2012 00:00:00;   151
08.10.2012 00:00:00;   146
09.10.2012 00:00:00;   142
10.10.2012 00:00:00;   143
11.10.2012 00:00:00;   142
12.10.2012 00:00:00;   142
13.10.2012 00:00:00;   153
14.10.2012 00:00:00;   151
15.10.2012 00:00:00;   152
16.10.2012 00:00:00;   172
17.10.2012 00:00:00;   171
18.10.2012 00:00:00;   171
19.10.2012 00:00:00;   162
20.10.2012 00:00:00;   157
21.10.2012 00:00:00;   154
22.10.2012 00:00:00;   152
23.10.2012 00:00:00;   149
24.10.2012 00:00:00;   148
25.10.2012 00:00:00;   147
26.10.2012 00:00:00;   147
27.10.2012 00:00:00;   150
28.10.2012 00:00:00;   154
29.10.2012 00:00:00;   155
30.10.2012 00:00:00;   156
31.10.2012 00:00:00;   156
01.11.2012 00:00:00;   160
02.11.2012 00:00:00;   166
03.11.2012 00:00:00;   163
04.11.2012 00:00:00;   160
05.11.2012 00:00:00;   174
06.11.2012 00:00:00;   171
07.11.2012 00:00:00;   172
08.11.2012 00:00:00;   172
09.11.2012 00:00:00;   171
10.11.2012 00:00:00;   167
11.11.2012 00:00:00;   166
12.11.2012 00:00:00;   168
13.11.2012 00:00:00;   170
14.11.2012 00:00:00;   171
15.11.2012 00:00:00;   168
16.11.2012 00:00:00;   165
17.11.2012 00:00:00;   163
18.11.2012 00:00:00;   163
19.11.2012 00:00:00;   162
20.11.2012 00:00:00;   162
21.11.2012 00:00:00;   160
22.11.2012 00:00:00;   159
23.11.2012 00:00:00;   160
24.11.2012 00:00:00;   158
25.11.2012 00:00:00;   157
26.11.2012 00:00:00;   157
27.11.2012 00:00:00;   157
28.11.2012 00:00:00;   157
29.11.2012 00:00:00;   159
30.11.2012 00:00:00;   157
01.12.2012 00:00:00;   155
02.12.2012 00:00:00;   156
03.12.2012 00:00:00;   156
04.12.2012 00:00:00;   156
05.12.2012 00:00:00;   155
06.12.2012 00:00:00;   154
