Messstelle:                ;Dobersberg (B30)
HZB-Nummer:                ;214460
HD-Nummer:                 ;no609
DBMS-Nummer:               ;3003163
Gewässer:                  ;Deutsche Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;597,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.03.2015              ;00445,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   26.03.2015              ;676429,40 - 420009,30
Exportzeitreihe:           ;(3003163,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[30.03.2015 08:45,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
30.03.2015 08:45:00;   200
31.03.2015 00:00:00;   206
01.04.2015 00:00:00;   214
02.04.2015 00:00:00;   214
03.04.2015 00:00:00;   212
04.04.2015 00:00:00;   205
05.04.2015 00:00:00;   202
06.04.2015 00:00:00;   200
07.04.2015 00:00:00;   200
08.04.2015 00:00:00;   199
09.04.2015 00:00:00;   198
10.04.2015 00:00:00;   197
11.04.2015 00:00:00;   197
12.04.2015 00:00:00;   197
13.04.2015 00:00:00;   195
14.04.2015 00:00:00;   194
15.04.2015 00:00:00;   193
16.04.2015 00:00:00;   192
17.04.2015 00:00:00;   192
18.04.2015 00:00:00;   196
19.04.2015 00:00:00;   193
20.04.2015 00:00:00;   191
21.04.2015 00:00:00;   189
22.04.2015 00:00:00;   188
23.04.2015 00:00:00;   187
24.04.2015 00:00:00;   187
25.04.2015 00:00:00;   186
26.04.2015 00:00:00;   186
27.04.2015 00:00:00;   185
28.04.2015 00:00:00;   187
29.04.2015 00:00:00;   185
30.04.2015 00:00:00;   184
01.05.2015 00:00:00;   187
02.05.2015 00:00:00;   193
03.05.2015 00:00:00;   194
04.05.2015 00:00:00;   189
05.05.2015 00:00:00;   187
06.05.2015 00:00:00;   188
07.05.2015 00:00:00;   189
08.05.2015 00:00:00;   186
09.05.2015 00:00:00;   183
10.05.2015 00:00:00;   183
11.05.2015 00:00:00;   181
12.05.2015 00:00:00;   180
13.05.2015 00:00:00;   180
14.05.2015 00:00:00;   179
15.05.2015 00:00:00;   179
16.05.2015 00:00:00;   179
17.05.2015 00:00:00;   178
18.05.2015 00:00:00;   177
19.05.2015 00:00:00;   177
20.05.2015 00:00:00;   182
21.05.2015 00:00:00;   187
22.05.2015 00:00:00;   184
23.05.2015 00:00:00;   183
