Messstelle:                ;Goldwörth, Br 2149.001
HZB-Nummer:                ;306985
HD-Nummer:                 ;2149.001
DBMS-Nummer:               ;4002041
Fremdnummer:               ;O 110
PorenGW-Gebiet:            ;095 Nördliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2001
 Geländehöhe:              ;259,31
 Messpunkthöhe:            ;260,76
 Sohllage:                 ;253,69
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 07 00                 ;48 19 17
  01.01.2003               ;14 07 05                 ;48 19 22
  01.01.1963               ;14 07 05                 ;48 19 22
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1983 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.05.1983 07:01:00   ;   256,66 ;     
14.02.1984 07:01:00   ;   256,60 ;     
13.08.1985 07:01:00   ;   257,08 ;     
28.01.1986 07:01:00   ;   256,98 ;     
31.03.1987 07:01:00   ;   256,87 ;     
29.03.1988 07:01:00   ;   257,75 ;     
01.01.1989 00:00:05   ;   256,92 ;     
06.03.1990 07:01:00   ;   256,59 ;     
05.08.1991 07:01:00   ;   257,56 ;     
31.03.1992 07:01:00   ;   256,53 ;     
28.12.1993 07:01:00   ;   256,65 ;     
26.04.1994 07:01:00   ;   256,90 ;     
13.06.1995 07:01:00   ;   256,82 ;     
02.04.2001 07:01:00   ;   257,03 ;     
13.08.2002 07:01:00   ;   259,31 ;     
07.01.2003 07:01:00   ;   257,26 ;     
14.04.2004 07:01:00   ;   256,61 ;     
29.03.2005 07:01:00   ;   256,71 ;     
03.04.2006 07:01:00   ;   257,52 ;     
17.12.2007 07:01:00   ;   256,71 ;     
31.03.2008 07:01:00   ;   256,71 ;     
13.07.2009 07:01:00   ;   257,05 ;     
16.08.2010 07:01:00   ;   256,86 ;     
24.01.2011 07:01:00   ;   256,78 ;     
30.01.2012 07:01:00   ;   257,05 ;     
04.06.2013 03:00:00   ;   259,31 ;     
27.10.2014 07:01:00   ;   256,77 ;     
21.01.2015 07:01:00   ;   256,70 ;     
14.06.2016 07:01:00   ;   256,86 ;     
16.05.2017 07:01:00   ;   256,70 ;     
29.01.2018 07:01:00   ;   256,90 ;     
25.03.2019 07:01:00   ;   256,65 ;     
16.11.2020 07:01:00   ;   256,73 ;     
06.09.2021 07:01:00   ;   256,90 ;     
