Messstelle:                ;Enns, Bl 2116.001
HZB-Nummer:                ;307900
HD-Nummer:                 ;Bl2116.001
DBMS-Nummer:               ;4002133
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.08.1965
 Geländehöhe:              ;245,34
 Messpunkthöhe:            ;245,74
 Sohllage:                 ;237,99
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 28 14                 ;48 14 25
  01.01.2003               ;14 28 17                 ;48 14 26
  06.08.1965               ;14 28 17                 ;48 14 26
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.07.1972 07:01:00   ;   241,71 ;     
12.05.1973 07:01:00   ;   242,27 ;     
09.12.1974 07:01:00   ;   244,24 ;     
02.07.1975 07:01:00   ;   245,34 ;     
03.06.1976 07:01:00   ;   241,94 ;     
04.08.1977 07:01:00   ;   243,24 ;     
12.07.1978 07:01:00   ;   242,23 ;     
19.06.1979 07:01:00   ;   245,14 ;     
28.07.1980 07:01:00   ;   242,52 ;     
20.07.1981 07:01:00   ;   245,34 ;     
01.02.1982 07:01:00   ;   242,89 ;     
18.04.1983 07:01:00   ;   241,77 ;     
24.09.1984 07:01:00   ;   241,58 ;     
08.08.1985 07:01:00   ;   245,34 ;     
03.06.1986 07:01:00   ;   241,85 ;     
06.07.1987 07:01:00   ;   242,16 ;     
28.03.1988 07:01:00   ;   243,14 ;     
01.01.1989 00:00:05   ;   241,67 ;     
09.07.1990 07:01:00   ;   241,77 ;     
04.08.1991 07:01:00   ;   245,34 ;     
28.11.1992 07:01:00   ;   242,12 ;     
31.07.1993 07:01:00   ;   242,05 ;     
23.04.1994 07:01:00   ;   242,13 ;     
15.07.1995 07:01:00   ;   242,56 ;     
01.06.1996 07:01:00   ;   241,77 ;     
26.07.1997 07:01:00   ;   242,33 ;     
14.11.1998 07:01:00   ;   242,13 ;     
05.06.1999 07:01:00   ;   242,90 ;     
01.04.2000 07:01:00   ;   242,26 ;     
31.03.2001 07:01:00   ;   242,16 ;     
13.08.2002 07:01:00   ;   245,34 ;     
03.01.2003 07:01:00   ;   242,13 ;     
11.06.2004 07:01:00   ;   241,55 ;     
26.08.2005 07:01:00   ;   242,46 ;     
07.04.2006 07:01:00   ;   242,89 ;     
14.09.2007 07:01:00   ;   242,15 ;     
02.05.2008 07:01:00   ;   241,66 ;     
10.07.2009 07:01:00   ;   245,29 ;     
11.06.2010 07:01:00   ;   242,23 ;     
14.01.2011 07:01:00   ;   244,23 ;     
15.06.2012 07:01:00   ;   242,06 ;     
04.06.2013 03:00:00   ;   245,34 ;     
15.08.2014 07:01:00   ;   241,53 ;     
29.05.2015 07:01:00   ;   241,72 ;     
28.06.2016 07:01:00   ;   242,01 ;     
12.05.2017 07:01:00   ;   241,51 ;     
02.02.2018 07:01:00   ;   241,92 ;     
14.06.2019 07:01:00   ;   241,95 ;     
07.08.2020 07:01:00   ;   241,68 ;     
06.08.2021 07:01:00   ;   241,88 ;     
