Messstelle:                ;Ruprechtshofen, Bl 2104.001
HZB-Nummer:                ;308247
HD-Nummer:                 ;2104.001
DBMS-Nummer:               ;4002167
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2004
 Geländehöhe:              ;238,65
 Messpunkthöhe:            ;239,68
 Sohllage:                 ;231,15
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 36 23                 ;48 12 15
  01.01.2003               ;14 36 26                 ;48 12 19
  17.10.1963               ;14 36 26                 ;48 12 19
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1969 bis 2016 FG06 durch Kraftwerk beeinflusst
  1969 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1969 Akorr 2001: durch Kraftwerk beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.08.1969 07:01:00   ;   237,30 ;     
14.08.1970 07:01:00   ;   236,95 ;     
30.07.1971 07:01:00   ;   236,85 ;     
11.08.1972 07:01:00   ;   236,80 ;     
10.08.1973 07:01:00   ;   236,80 ;     
23.08.1974 07:01:00   ;   236,65 ;     
02.07.1975 07:01:00   ;   238,25 ;     
28.07.1976 07:01:00   ;   236,57 ;     
03.08.1977 07:01:00   ;   236,88 ;     
09.08.1978 07:01:00   ;   236,49 ;     
20.06.1979 07:01:00   ;   237,20 ;     
27.08.1980 07:01:00   ;   236,49 ;     
21.07.1981 07:01:00   ;   238,58 ;     
28.07.1982 07:01:00   ;   236,80 ;     
03.08.1983 07:01:00   ;   236,64 ;     
19.09.1984 07:01:00   ;   236,58 ;     
08.08.1985 07:01:00   ;   238,61 ;     
13.08.1986 07:01:00   ;   236,77 ;     
14.01.1987 07:01:00   ;   236,58 ;     
20.07.1988 07:01:00   ;   236,60 ;     
08.11.1989 07:01:00   ;   236,56 ;     
25.07.1990 07:01:00   ;   236,55 ;     
04.08.1991 07:01:00   ;   238,58 ;     
01.01.1992 00:00:05   ;   237,10 ;     
19.05.1993 07:01:00   ;   236,84 ;     
29.06.1994 07:01:00   ;   236,70 ;     
24.05.1995 07:01:00   ;   236,58 ;     
24.10.1996 07:01:00   ;   236,77 ;     
20.07.1997 07:01:00   ;   238,58 ;     
09.06.1998 07:01:00   ;   236,59 ;     
29.07.1999 07:01:00   ;   236,44 ;     
05.07.2000 07:01:00   ;   236,54 ;     
11.07.2001 07:01:00   ;   236,54 ;     
22.03.2002 07:01:00   ;   238,58 ;     
05.06.2003 07:01:00   ;   237,04 ;     
12.08.2004 07:01:00   ;   236,80 ;     
24.08.2005 12:00:00   ;   238,65 ;     
06.04.2006 07:01:00   ;   237,00 ;     
05.04.2007 07:01:00   ;   237,08 ;     
03.07.2008 07:01:00   ;   236,67 ;     
25.06.2009 07:01:00   ;   238,18 ;     
06.05.2010 07:01:00   ;   236,47 ;     
20.01.2011 07:01:00   ;   236,52 ;     
12.07.2012 07:01:00   ;   236,14 ;     
04.06.2013 03:00:00   ;   238,65 ;     
26.06.2014 07:01:00   ;   236,38 ;     
10.07.2015 07:01:00   ;   236,35 ;     
15.09.2016 07:01:00   ;   236,22 ;     
22.06.2017 07:01:00   ;   236,27 ;     
07.06.2018 07:01:00   ;   236,28 ;     
23.05.2019 07:01:00   ;   236,63 ;     
06.08.2020 07:01:00   ;   236,46 ;     
02.09.2021 07:01:00   ;   236,38 ;     
