Messstelle:                ;Hofstetten, Bl 2093.011
HZB-Nummer:                ;314534
HD-Nummer:                 ;2093.011
DBMS-Nummer:               ;4002319
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.11.1992
 Geländehöhe:              ;235,10
 Messpunkthöhe:            ;235,20
 Sohllage:                 ;229,36
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 42 21                 ;48 11 38
  01.01.2003               ;14 42 23                 ;48 11 41
  05.03.1968               ;14 42 23                 ;48 11 41
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.04.1968 07:01:00   ;   232,42 ;     
10.06.1969 07:01:00   ;   231,86 ;     
21.04.1970 07:01:00   ;   232,35 ;     
01.01.1971 00:00:05   ;   231,96 ;     
18.07.1972 07:01:00   ;   231,97 ;     
03.04.1973 07:01:00   ;   231,99 ;     
30.12.1974 07:01:00   ;   232,48 ;     
01.01.1975 00:00:05   ;   232,47 ;     
27.01.1976 07:01:00   ;   232,05 ;     
08.03.1977 07:01:00   ;   232,24 ;     
11.07.1978 07:01:00   ;   231,67 ;     
17.04.1979 07:01:00   ;   232,53 ;     
06.05.1980 07:01:00   ;   232,24 ;     
17.03.1981 07:01:00   ;   232,30 ;     
06.04.1982 07:01:00   ;   232,38 ;     
20.04.1983 07:01:00   ;   231,86 ;     
17.04.1984 07:01:00   ;   231,67 ;     
12.08.1985 07:01:00   ;   232,34 ;     
20.01.1986 07:01:00   ;   231,99 ;     
14.04.1987 07:01:00   ;   232,29 ;     
29.03.1988 07:01:00   ;   232,81 ;     
02.05.1989 07:01:00   ;   232,08 ;     
13.03.1990 07:01:00   ;   231,78 ;     
06.08.1991 07:01:00   ;   232,84 ;     
24.03.1992 07:01:00   ;   232,19 ;     
23.03.1993 07:01:00   ;   232,30 ;     
19.04.1994 07:01:00   ;   232,63 ;     
04.04.1995 07:01:00   ;   232,20 ;     
28.05.1996 07:01:00   ;   232,63 ;     
22.07.1997 07:01:00   ;   232,17 ;     
24.11.1998 07:01:00   ;   231,99 ;     
09.03.1999 07:01:00   ;   232,48 ;     
04.04.2000 07:01:00   ;   232,43 ;     
24.04.2001 07:01:00   ;   232,19 ;     
13.08.2002 07:01:00   ;   235,10 ;     
07.01.2003 07:01:00   ;   232,44 ;     
06.04.2004 07:01:00   ;   232,01 ;     
29.03.2005 07:01:00   ;   232,30 ;     
04.04.2006 07:01:00   ;   233,23 ;     
09.12.2007 07:01:00   ;   232,06 ;     
19.04.2008 07:01:00   ;   232,07 ;     
10.04.2009 07:01:00   ;   232,80 ;     
06.08.2010 07:01:00   ;   232,19 ;     
21.01.2011 07:01:00   ;   231,83 ;     
15.06.2012 07:01:00   ;   232,16 ;     
07.06.2013 07:01:00   ;   233,75 ;     
29.05.2014 07:01:00   ;   232,15 ;     
03.04.2015 07:01:00   ;   231,85 ;     
27.07.2016 07:01:00   ;   232,23 ;     
24.03.2017 07:01:00   ;   231,96 ;     
01.02.2018 07:01:00   ;   232,02 ;     
20.03.2019 07:01:00   ;   232,28 ;     
06.08.2020 07:01:00   ;   232,32 ;     
03.02.2021 07:01:00   ;   232,10 ;     
