Messstelle:                ;Stockerau-Au 4, Br
HZB-Nummer:                ;315978
HD-Nummer:                 ;
DBMS-Nummer:               ;3002603
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.10.1972
 Geländehöhe:              ;171,32
 Messpunkthöhe:            ;171,62
 Sohllage:                 ;165,67
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 12 23                 ;48 22 21
  01.10.1972               ;16 12 23                 ;48 22 22
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1986 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.03.1986 07:01:00   ;   167,27 ;     
21.12.1987 07:01:00   ;   167,96 ;     
28.03.1988 07:01:00   ;   168,75 ;     
19.06.1989 07:01:00   ;   167,27 ;     
16.07.1990 07:01:00   ;   167,75 ;     
05.08.1991 07:01:00   ;   170,34 ;     
01.01.1992 00:00:05   ;   167,47 ;     
02.08.1993 07:01:00   ;   167,29 ;     
25.04.1994 07:01:00   ;   167,78 ;     
12.06.1995 07:01:00   ;   168,30 ;     
20.05.1996 07:01:00   ;   168,01 ;     
21.07.1997 07:01:00   ;   168,44 ;     
16.11.1998 07:01:00   ;   167,70 ;     
31.05.1999 07:01:00   ;   168,32 ;     
10.04.2000 07:01:00   ;   167,79 ;     
02.04.2001 07:01:00   ;   167,71 ;     
19.08.2002 07:01:00   ;   170,15 ;     
03.02.2003 07:01:00   ;   168,00 ;     
29.03.2004 07:01:00   ;   167,58 ;     
29.08.2005 07:01:00   ;   168,26 ;     
03.04.2006 07:01:00   ;   169,00 ;     
10.09.2007 07:01:00   ;   168,22 ;     
28.04.2008 07:01:00   ;   167,50 ;     
29.06.2009 07:01:00   ;   169,01 ;     
07.06.2010 07:01:00   ;   168,92 ;     
17.01.2011 07:01:00   ;   168,67 ;     
18.06.2012 07:01:00   ;   167,56 ;     
10.06.2013 07:01:00   ;   169,89 ;     
15.09.2014 07:01:00   ;   167,97 ;     
19.01.2015 07:01:00   ;   167,76 ;     
18.07.2016 07:01:00   ;   167,76 ;     
13.03.2017 07:01:00   ;   167,44 ;     
29.01.2018 07:01:00   ;   167,52 ;     
03.06.2019 07:01:00   ;   167,82 ;     
22.06.2020 07:01:00   ;   167,80 ;     
08.02.2021 07:01:00   ;   167,67 ;     
