Messstelle:                ;Heiligenstatt, Bl 34.4
HZB-Nummer:                ;324434
HD-Nummer:                 ;M34.4
DBMS-Nummer:               ;4002541
PorenGW-Gebiet:            ;055 Mattigtal
Grundwasserkörper:         ;Gruppe Zwischen Salzach und Mattig [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2005
 Geländehöhe:              ;498,74
 Messpunkthöhe:            ;499,84
 Sohllage:                 ;476,74
 T-Messtiefe u.GOK:        ;-99,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2009               ;13 12 30                 ;48 01 04
  01.01.2003               ;13 12 31                 ;48 01 08
  01.01.1986               ;13 12 31                 ;48 01 08
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
27.01.1986 07:01:00   ;   488,40 ;     
09.03.1987 07:01:00   ;   489,53 ;     
28.03.1988 07:01:00   ;   492,54 ;     
09.01.1989 07:01:00   ;   488,37 ;     
16.07.1990 07:01:00   ;   485,96 ;     
05.08.1991 07:01:00   ;   491,76 ;     
01.01.1992 00:00:05   ;   487,02 ;     
22.03.1993 07:01:00   ;   485,82 ;     
18.04.1994 07:01:00   ;   488,05 ;     
04.09.1995 07:01:00   ;   488,15 ;     
28.10.1996 07:01:00   ;   486,66 ;     
21.07.1997 07:01:00   ;   487,51 ;     
23.03.1998 07:01:00   ;   486,82 ;     
08.03.1999 07:01:00   ;   489,54 ;     
20.03.2000 07:01:00   ;   486,71 ;     
31.12.2001 07:01:00   ;   485,79 ;     
12.08.2002 07:01:00   ;   491,67 ;     
03.02.2003 07:01:00   ;   487,49 ;     
07.06.2004 07:01:00   ;   485,21 ;     
29.08.2005 07:01:00   ;   487,14 ;     
03.04.2006 07:01:00   ;   490,81 ;     
10.09.2007 07:01:00   ;   485,90 ;     
17.03.2008 07:01:00   ;   484,40 ;     
29.06.2009 07:01:00   ;   489,43 ;     
07.06.2010 07:01:00   ;   486,22 ;     
17.01.2011 07:01:00   ;   487,36 ;     
05.03.2012 07:01:00   ;   484,67 ;     
05.06.2013 07:01:00   ;   493,65 ;     
27.10.2014 07:01:00   ;   487,02 ;     
12.01.2015 07:01:00   ;   485,34 ;     
18.07.2016 07:01:00   ;   485,58 ;     
31.12.2017 23:59:55   ;   484,45 ;     
09.01.2018 07:01:00   ;   485,48 ;     
05.06.2019 07:01:00   ;   486,27 ;     
12.08.2020 07:01:00   ;   485,27 ;     
01.09.2021 07:01:00   ;   484,21 ;     
