Messstelle:                ;Lauterach, Bl 50.2.19
HZB-Nummer:                ;328377
HD-Nummer:                 ;50.2.19
DBMS-Nummer:               ;8002215
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.11.2021
 Geländehöhe:              ;403,77
 Messpunkthöhe:            ;404,23
 Sohllage:                 ;396,92
 T-Messtiefe u.GOK:        ;4,54
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  05.10.2004               ;09 42 39                 ;47 28 11
  01.01.1981               ;09 42 39                 ;47 28 11
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.07.1981 07:01:00   ;   401,72 ;     
01.02.1982 07:01:00   ;   401,75 ;     
13.06.1983 07:01:00   ;   401,43 ;     
17.09.1984 07:01:00   ;   402,11 ;     
26.08.1985 07:01:00   ;   401,62 ;     
02.06.1986 07:01:00   ;   401,50 ;     
02.03.1987 07:01:00   ;   401,64 ;     
06.06.1988 07:01:00   ;   401,87 ;     
06.11.1989 07:01:00   ;   401,46 ;     
09.07.1990 07:01:00   ;   401,62 ;     
17.06.1991 07:01:00   ;   401,88 ;     
23.11.1992 07:01:00   ;   401,78 ;     
13.09.1993 07:01:00   ;   401,96 ;     
13.06.1994 07:01:00   ;   401,64 ;     
12.06.1995 07:01:00   ;   401,89 ;     
08.07.1996 07:01:00   ;   401,60 ;     
22.12.1997 07:01:00   ;   401,63 ;     
14.12.1998 07:01:00   ;   401,59 ;     
22.02.1999 07:01:00   ;   401,81 ;     
20.03.2000 07:01:00   ;   401,80 ;     
11.06.2001 07:01:00   ;   401,88 ;     
23.09.2002 07:01:00   ;   402,04 ;     
06.10.2003 07:01:00   ;   401,69 ;     
27.09.2004 07:01:00   ;   401,62 ;     
18.07.2005 07:01:00   ;   401,91 ;     
07.08.2006 07:01:00   ;   401,68 ;     
13.08.2007 07:01:00   ;   401,39 ;     
14.07.2008 07:01:00   ;   401,63 ;     
10.08.2009 07:01:00   ;   401,81 ;     
09.08.2010 07:01:00   ;   401,89 ;     
08.08.2011 07:01:00   ;   401,62 ;     
09.10.2012 20:00:00   ;   402,04 ;     
01.06.2013 23:00:00   ;   402,35 ;     
27.07.2014 02:00:00   ;   401,97 ;     
04.05.2015 07:00:00   ;   401,88 ;     
05.08.2016 13:00:00   ;   402,26 ;     
02.09.2017 07:00:00   ;   402,26 ;     
22.01.2018 23:00:00   ;   401,74 ;     
21.05.2019 12:00:00   ;   402,12 ;     
01.09.2020 05:00:00   ;   401,95 ;     
31.08.2021 02:00:00   ;   402,19 ;     
