Messstelle:                ;Judendorf-Strassengel, Br  3284
HZB-Nummer:                ;328674
HD-Nummer:                 ;uw3284
DBMS-Nummer:               ;6002522
PorenGW-Gebiet:            ;378 Murdurchbruchstal
Grundwasserkörper:         ;Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1980
 Geländehöhe:              ;383,60
 Messpunkthöhe:            ;384,00
 Sohllage:                 ;367,80
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 20 21                 ;47 07 14
  01.01.1980               ;15 20 24                 ;47 07 13
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
27.10.1980 07:01:00   ;   369,38 ;     
10.08.1981 07:01:00   ;   369,03 ;     
25.10.1982 07:01:00   ;   369,88 ;     
13.06.1983 07:01:00   ;   369,42 ;     
11.06.1984 07:01:00   ;   369,18 ;     
26.08.1985 07:01:00   ;   370,21 ;     
23.06.1986 07:01:00   ;   370,87 ;     
22.06.1987 07:01:00   ;   370,39 ;     
20.06.1988 07:01:00   ;   370,15 ;     
28.08.1989 07:01:00   ;   371,08 ;     
16.07.1990 07:01:00   ;   370,38 ;     
05.08.1991 07:01:00   ;   371,47 ;     
18.05.1992 07:01:00   ;   370,70 ;     
01.11.1993 07:01:00   ;   370,81 ;     
30.05.1994 07:01:00   ;   370,32 ;     
03.07.1995 07:01:00   ;   370,50 ;     
28.10.1996 07:01:00   ;   371,15 ;     
04.08.1997 07:01:00   ;   370,99 ;     
23.10.1998 07:01:00   ;   370,97 ;     
06.09.1999 07:01:00   ;   371,49 ;     
08.05.2000 07:01:00   ;   370,87 ;     
21.05.2001 07:01:00   ;   370,54 ;     
26.08.2002 07:01:00   ;   370,53 ;     
01.01.2003 00:00:05   ;   370,32 ;     
02.07.2004 07:01:00   ;   370,95 ;     
29.08.2005 07:01:00   ;   371,36 ;     
05.06.2006 07:01:00   ;   370,82 ;     
19.09.2007 07:01:00   ;   370,45 ;     
09.06.2008 07:01:00   ;   370,17 ;     
21.09.2009 07:01:00   ;   371,40 ;     
28.06.2010 07:01:00   ;   370,67 ;     
04.07.2011 07:01:00   ;   370,30 ;     
30.07.2012 07:01:00   ;   371,50 ;     
13.05.2013 07:01:00   ;   371,42 ;     
26.09.2014 07:01:00   ;   371,54 ;     
01.06.2015 07:01:00   ;   370,53 ;     
15.08.2016 07:01:00   ;   371,10 ;     
25.09.2017 07:01:00   ;   370,59 ;     
14.05.2018 07:01:00   ;   371,16 ;     
17.06.2019 07:01:00   ;   370,61 ;     
19.10.2020 07:01:00   ;   370,61 ;     
13.06.2021 07:01:00   ;   370,41 ;     
