Messstelle:                ;Weer, Bl  4
HZB-Nummer:                ;330498
HD-Nummer:                 ;
DBMS-Nummer:               ;7002028
Fremdnummer:               ;GW70937009
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.02.2018
 Geländehöhe:              ;543,43
 Messpunkthöhe:            ;544,21
 Sohllage:                 ;523,48
 T-Messtiefe u.GOK:        ;10,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1985               ;11 39 03                 ;47 18 44
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
13.08.1985 07:01:00   ;   541,77 ;     
27.05.1986 07:01:00   ;   541,75 ;     
19.07.1987 07:01:00   ;   541,97 ;     
03.07.1988 07:01:00   ;   541,64 ;     
11.07.1989 07:01:00   ;   541,82 ;     
02.07.1990 07:01:00   ;   541,65 ;     
28.06.1991 07:01:00   ;   541,79 ;     
05.06.1992 07:01:00   ;   541,63 ;     
21.07.1993 07:01:00   ;   541,56 ;     
08.07.1994 07:01:00   ;   541,66 ;     
14.07.1995 07:01:00   ;   541,88 ;     
15.06.1996 07:01:00   ;   541,44 ;     
01.07.1997 12:00:00   ;   541,79 ;     
04.07.1998 12:00:00   ;   541,62 ;     
04.06.1999 12:00:00   ;   542,16 ;     
07.08.2000 07:00:00   ;   541,92 ;     
01.07.2001 09:00:00   ;   541,91 ;     
22.06.2002 04:00:00   ;   541,77 ;     
16.06.2003 01:00:00   ;   541,72 ;     
10.07.2004 12:00:00   ;   541,80 ;     
24.08.2005 09:00:00   ;   541,74 ;     
30.06.2006 04:00:00   ;   541,76 ;     
06.09.2007 18:00:00   ;   541,56 ;     
14.07.2008 20:00:00   ;   541,94 ;     
27.05.2009 17:00:00   ;   541,80 ;     
15.06.2010 00:00:00   ;   541,91 ;     
24.06.2011 09:00:00   ;   541,51 ;     
23.06.2012 03:00:00   ;   542,00 ;     
24.06.2013 07:00:00   ;   541,99 ;     
14.08.2014 18:00:00   ;   541,88 ;     
10.06.2015 06:00:00   ;   541,88 ;     
13.07.2016 21:00:00   ;   542,09 ;     
11.08.2017 22:00:00   ;   541,76 ;     
13.06.2018 23:00:00   ;   541,86 ;     
16.06.2019 09:00:00   ;   542,58 ;     
03.07.2020 01:00:00   ;   541,92 ;     
22.06.2021 06:00:00   ;   541,95 ;     
