Messstelle:                ;Lengberg, Bl 3
HZB-Nummer:                ;330829
HD-Nummer:                 ;
DBMS-Nummer:               ;7002061
Fremdnummer:               ;GW70718024
PorenGW-Gebiet:            ;410 Oberes Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2019
 Geländehöhe:              ;637,45
 Messpunkthöhe:            ;638,35
 Sohllage:                 ;622,25
 T-Messtiefe u.GOK:        ;10,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1987               ;12 53 22                 ;46 47 45
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.05.1987 07:01:00   ;   635,04 ;     
06.06.1988 07:01:00   ;   634,81 ;     
10.07.1989 07:01:00   ;   635,24 ;     
26.11.1990 07:01:00   ;   635,35 ;     
17.06.1991 07:01:00   ;   634,92 ;     
05.10.1992 07:01:00   ;   635,07 ;     
25.10.1993 07:01:00   ;   635,43 ;     
19.09.1994 07:01:00   ;   635,10 ;     
12.06.1995 07:01:00   ;   635,00 ;     
18.11.1996 07:01:00   ;   635,34 ;     
23.06.1997 07:01:00   ;   634,98 ;     
12.10.1998 07:01:00   ;   635,16 ;     
04.10.1999 07:01:00   ;   635,00 ;     
20.11.2000 11:30:00   ;   635,26 ;     
08.01.2001 07:01:00   ;   635,07 ;     
28.11.2002 08:05:00   ;   635,57 ;     
01.12.2003 01:30:00   ;   635,00 ;     
02.11.2004 09:27:00   ;   635,14 ;     
10.10.2005 09:30:00   ;   635,06 ;     
02.05.2006 11:50:00   ;   634,87 ;     
26.11.2007 10:42:00   ;   634,85 ;     
03.11.2008 13:20:00   ;   634,93 ;     
30.03.2009 10:55:00   ;   635,10 ;     
02.11.2010 11:22:00   ;   635,14 ;     
19.09.2011 10:58:00   ;   635,26 ;     
12.11.2012 11:28:00   ;   635,40 ;     
24.06.2013 11:55:00   ;   635,16 ;     
10.11.2014 11:32:00   ;   635,29 ;     
21.05.2015 11:21:00   ;   634,90 ;     
20.06.2016 11:06:00   ;   634,91 ;     
18.09.2017 11:42:00   ;   634,91 ;     
29.10.2018 12:04:00   ;   635,50 ;     
19.11.2019 14:05:00   ;   635,81 ;     
05.10.2020 11:48:00   ;   635,22 ;     
29.03.2021 11:14:00   ;   635,04 ;     
