Messstelle:                ;Forchach, Bl  4
HZB-Nummer:                ;334284
HD-Nummer:                 ;
DBMS-Nummer:               ;7002106
Fremdnummer:               ;GW70810008
PorenGW-Gebiet:            ;012 Unteres Lechtal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.2019
 Geländehöhe:              ;907,45
 Messpunkthöhe:            ;908,45
 Sohllage:                 ;903,35
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1988               ;10 35 06                 ;47 25 21
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.07.1989 07:01:00   ;   904,85 ;     
09.07.1990 07:01:00   ;   904,92 ;     
23.12.1991 07:01:00   ;   904,91 ;     
18.05.1992 07:01:00   ;   905,06 ;     
19.07.1993 07:01:00   ;   905,22 ;     
26.05.1994 07:01:00   ;   904,91 ;     
08.05.1995 07:01:00   ;   905,05 ;     
27.05.1996 07:01:00   ;   905,04 ;     
07.07.1997 07:01:00   ;   904,90 ;     
02.11.1998 07:01:00   ;   904,45 ;     
24.05.1999 07:01:00   ;   904,74 ;     
07.08.2000 12:15:00   ;   905,20 ;     
11.06.2001 07:01:00   ;   905,01 ;     
12.08.2002 09:15:00   ;   905,35 ;     
02.06.2003 10:05:00   ;   904,25 ;     
07.06.2004 07:50:00   ;   904,42 ;     
23.08.2005 14:35:00   ;   905,98 ;     
10.07.2007 06:29:00   ;   904,67 ;     
21.07.2008 06:00:00   ;   904,66 ;     
25.05.2009 06:52:00   ;   904,54 ;     
06.08.2010 07:39:00   ;   904,79 ;     
21.07.2011 06:48:00   ;   904,42 ;     
10.10.2012 15:15:00   ;   904,80 ;     
02.06.2013 05:34:00   ;   905,07 ;     
28.07.2014 06:12:00   ;   904,34 ;     
04.05.2015 06:00:00   ;   904,62 ;     
14.07.2016 06:20:00   ;   904,56 ;     
26.07.2017 12:10:00   ;   904,79 ;     
24.12.2018 08:10:00   ;   904,60 ;     
21.05.2019 12:08:00   ;   904,95 ;     
04.02.2020 00:00:00   ;   905,18 ;     
18.07.2021 14:00:00   ;   905,24 ;     
