Messstelle:                ;Laimbach, Bl 441
HZB-Nummer:                ;337204
HD-Nummer:                 ;
DBMS-Nummer:               ;3002910
PorenGW-Gebiet:            ;189 Pöggstaller Mulde
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.06.2019
 Geländehöhe:              ;506,04
 Messpunkthöhe:            ;507,54
 Sohllage:                 ;457,79
 T-Messtiefe u.GOK:        ;9,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 08 06                 ;48 19 06
  01.01.1994               ;15 08 23                 ;48 19 03
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
25.07.1994 07:01:00   ;   502,43 ;     
31.12.1995 23:59:55   ;   502,71 ;     
23.12.1996 07:01:00   ;   503,64 ;     
18.08.1997 07:01:00   ;   503,90 ;     
19.01.1998 07:01:00   ;   503,76 ;     
22.03.1999 07:01:00   ;   503,72 ;     
17.04.2000 07:01:00   ;   503,61 ;     
01.01.2001 00:00:05   ;   503,03 ;     
31.12.2002 23:59:55   ;   503,91 ;     
03.02.2003 07:01:00   ;   504,08 ;     
05.04.2004 07:01:00   ;   503,44 ;     
03.10.2005 07:01:00   ;   503,54 ;     
03.07.2006 07:01:00   ;   504,33 ;     
03.12.2007 07:01:00   ;   504,00 ;     
28.04.2008 07:01:00   ;   504,12 ;     
06.04.2009 07:01:00   ;   503,81 ;     
19.04.2010 07:01:00   ;   503,44 ;     
24.01.2011 07:01:00   ;   503,29 ;     
13.02.2012 07:01:00   ;   502,97 ;     
08.07.2013 07:01:00   ;   502,86 ;     
13.01.2014 07:01:00   ;   502,64 ;     
09.03.2015 07:01:00   ;   502,52 ;     
01.01.2016 00:00:05   ;   502,16 ;     
08.05.2017 07:01:00   ;   502,12 ;     
19.02.2018 07:01:00   ;   502,02 ;     
27.05.2019 07:01:00   ;   502,05 ;     
05.03.2020 17:00:00   ;   501,85 ;     
07.02.2021 07:00:00   ;   501,85 ;     
