Messstelle:                ;Feffernitz, Bl 612
HZB-Nummer:                ;338145
HD-Nummer:                 ;
DBMS-Nummer:               ;2002156
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1996
 Geländehöhe:              ;508,52
 Messpunkthöhe:            ;509,42
 Sohllage:                 ;503,42
 T-Messtiefe u.GOK:        ;3,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1996               ;13 41 29                 ;46 41 33
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.11.1996 07:01:00   ;   508,46 ;     
01.01.1997 00:00:05   ;   508,10 ;     
07.10.1998 07:30:00   ;   508,44 ;     
16.08.1999 07:30:00   ;   508,20 ;     
21.11.2000 07:30:00   ;   508,47 ;     
09.01.2001 07:30:00   ;   508,30 ;     
04.12.2002 07:30:00   ;   508,09 ;     
29.11.2003 07:30:00   ;   508,22 ;     
31.10.2004 07:30:00   ;   508,21 ;     
06.10.2005 07:30:00   ;   508,21 ;     
12.04.2006 07:30:00   ;   508,24 ;     
09.07.2007 07:30:00   ;   508,18 ;     
16.08.2008 07:30:00   ;   508,29 ;     
05.03.2009 07:30:00   ;   508,36 ;     
22.11.2010 07:30:00   ;   508,28 ;     
12.01.2011 07:30:00   ;   508,37 ;     
06.11.2012 07:30:00   ;   508,42 ;     
10.03.2013 07:30:00   ;   508,35 ;     
20.02.2014 12:00:00   ;   508,49 ;     
15.10.2015 04:00:00   ;   508,40 ;     
21.08.2016 23:00:00   ;   508,37 ;     
19.09.2017 06:00:00   ;   508,32 ;     
30.10.2018 12:00:00   ;   508,27 ;     
18.11.2019 04:00:00   ;   508,56 ;     
06.12.2020 22:00:00   ;   508,43 ;     
08.02.2021 12:00:00   ;   508,44 ;     
