Messstelle:                ;Unternußdorf, Br 1
HZB-Nummer:                ;370346
HD-Nummer:                 ;
DBMS-Nummer:               ;7004165
Fremdnummer:               ;GW70719039
PorenGW-Gebiet:            ;405 Lienzer Becken
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2020
 Geländehöhe:              ;660,40
 Messpunkthöhe:            ;660,40
 Sohllage:                 ;
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1984               ;12 48 21                 ;46 49 45
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2017 HG15 häufig trockengefallen
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
30.06.1986 07:01:00   ;   657,05 ;     
27.07.1987 07:01:00   ;   657,09 ;     
18.07.1988 07:01:00   ;   656,23 ;     
17.07.1989 07:01:00   ;   656,69 ;     
16.07.1990 07:01:00   ;   657,01 ;     
29.07.1991 07:01:00   ;   657,44 ;     
22.06.1992 07:01:00   ;   656,87 ;     
26.07.1993 07:01:00   ;   655,91 ;     
06.07.1994 07:01:00   ;   655,37 ;     
24.07.1995 07:01:00   ;   655,18 ;     
02.12.1996 07:01:00   ;   654,79 ;     
04.08.1997 07:01:00   ;   655,77 ;     
02.11.1998 07:01:00   ;   655,17 ;     
12.07.1999 07:01:00   ;   655,66 ;     
04.12.2000 13:05:00   ;   656,22 ;     
02.07.2001 07:01:00   ;   656,36 ;     
22.07.2002 10:25:00   ;   654,83 ;     
01.01.2003 00:00:05   ;   654,76 ;     
02.08.2004 10:36:00   ;   654,63 ;     
08.08.2005 10:03:00   ;   654,18 ;     
10.07.2006 10:15:00   ;   655,08 ;     
30.07.2007 11:00:00   ;   654,36 ;     
28.07.2008 11:45:00   ;   654,18 ;     
30.06.2009 14:06:00   ;   655,38 ;     
19.07.2010 13:03:00   ;   653,84 ;     
18.07.2011 12:15:00   ;   654,08 ;     
03.12.2012 13:13:00   ;   654,62 ;     
01.07.2013 16:01:00   ;   655,50 ;     
17.06.2014 12:45:00   ;   655,35 ;     
06.07.2015 14:15:00   ;   654,02 ;     
16.08.2016 12:48:00   ;   653,54 ;     
07.08.2017 12:50:00   ;   652,79 ;     
18.06.2018 15:20:00   ;   653,65 ;     
01.07.2019 13:15:00   ;   655,37 ;     
13.12.2020 12:00:00   ;   655,25 ;     
28.06.2021 13:45:00   ;   656,12 ;     
