Messstelle:                ;Neubau, Br 18.1
HZB-Nummer:                ;375956
HD-Nummer:                 ;W18.1
DBMS-Nummer:               ;4002936
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.11.2014
 Geländehöhe:              ;286,02
 Messpunkthöhe:            ;286,47
 Sohllage:                 ;279,23
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 10 14                 ;48 12 08
  01.01.2003               ;14 10 20                 ;48 12 12
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1982 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
06.02.1982 07:01:00   ;   282,26 ;     
05.02.1983 07:01:00   ;   281,76 ;     
18.02.1984 07:01:00   ;   281,55 ;     
28.09.1985 07:01:00   ;   282,46 ;     
01.02.1986 07:01:00   ;   282,18 ;     
29.05.1987 07:01:00   ;   281,96 ;     
01.04.1988 07:01:00   ;   282,50 ;     
13.01.1989 07:01:00   ;   281,91 ;     
23.06.1990 07:01:00   ;   281,66 ;     
09.08.1991 07:01:00   ;   281,75 ;     
02.04.1992 07:01:00   ;   281,83 ;     
31.12.1993 23:59:55   ;   281,84 ;     
21.04.1994 07:01:00   ;   282,33 ;     
13.04.1995 07:01:00   ;   281,89 ;     
22.05.1996 07:01:00   ;   282,25 ;     
02.10.1997 07:01:00   ;   281,89 ;     
18.11.1998 07:01:00   ;   281,97 ;     
13.03.1999 07:01:00   ;   281,97 ;     
05.04.2000 07:01:00   ;   282,13 ;     
27.04.2001 07:01:00   ;   281,96 ;     
24.08.2002 07:01:00   ;   282,11 ;     
14.02.2003 07:01:00   ;   282,13 ;     
02.04.2004 07:01:00   ;   281,61 ;     
09.05.2005 07:01:00   ;   281,78 ;     
13.04.2006 07:01:00   ;   282,47 ;     
21.11.2007 07:01:00   ;   281,88 ;     
02.04.2008 07:01:00   ;   281,69 ;     
29.07.2009 07:01:00   ;   282,43 ;     
07.06.2010 07:01:00   ;   281,93 ;     
16.02.2011 07:01:00   ;   281,85 ;     
27.01.2012 07:01:00   ;   282,13 ;     
19.06.2013 07:01:00   ;   282,34 ;     
29.10.2014 07:01:00   ;   281,83 ;     
03.06.2015 07:01:00   ;   281,97 ;     
08.06.2016 07:01:00   ;   282,12 ;     
17.05.2017 07:01:00   ;   282,15 ;     
23.01.2018 07:01:00   ;   282,34 ;     
05.02.2019 07:01:00   ;   281,87 ;     
10.11.2020 07:01:00   ;   281,91 ;     
10.08.2021 07:01:00   ;   282,13 ;     
