Messstelle:                ;Luftenberg, Bl 19.14
HZB-Nummer:                ;377291
HD-Nummer:                 ;2119.014
DBMS-Nummer:               ;4002793
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.01.1993
 Geländehöhe:              ;247,28
 Messpunkthöhe:            ;248,18
 Sohllage:                 ;240,34
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 25 43                 ;48 14 31
  01.01.2003               ;14 25 53                 ;48 14 37
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.07.1993 07:01:00   ;   243,77 ;     
22.04.1994 07:01:00   ;   243,85 ;     
10.06.1995 07:01:00   ;   243,81 ;     
18.05.1996 07:01:00   ;   243,76 ;     
26.07.1997 07:01:00   ;   243,92 ;     
14.11.1998 07:01:00   ;   243,72 ;     
29.05.1999 07:01:00   ;   244,07 ;     
01.04.2000 07:01:00   ;   243,72 ;     
30.03.2001 07:01:00   ;   243,75 ;     
17.08.2002 07:01:00   ;   245,06 ;     
11.01.2003 07:01:00   ;   243,80 ;     
19.06.2004 07:01:00   ;   243,53 ;     
27.08.2005 07:01:00   ;   244,00 ;     
31.03.2006 07:01:00   ;   244,45 ;     
13.09.2007 07:01:00   ;   243,88 ;     
18.08.2008 07:01:00   ;   243,58 ;     
26.06.2009 07:01:00   ;   244,26 ;     
04.06.2010 07:01:00   ;   244,02 ;     
21.01.2011 07:01:00   ;   244,12 ;     
15.06.2012 07:01:00   ;   243,70 ;     
07.06.2013 07:01:00   ;   245,82 ;     
31.10.2014 07:01:00   ;   243,49 ;     
04.06.2015 07:01:00   ;   243,52 ;     
30.07.2016 07:01:00   ;   243,71 ;     
12.05.2017 07:01:00   ;   243,67 ;     
31.01.2018 07:01:00   ;   243,73 ;     
06.06.2019 07:01:00   ;   243,71 ;     
02.12.2020 07:01:00   ;   244,09 ;     
20.07.2021 12:00:00   ;   244,41 ;     
