Messstelle:                ;Waldegg, Br 2129.018
HZB-Nummer:                ;378075
HD-Nummer:                 ;2129.018
DBMS-Nummer:               ;4002880
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.01.1980
 Geländehöhe:              ;261,98
 Messpunkthöhe:            ;261,98
 Sohllage:                 ;250,13
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 17 51                 ;48 17 23
  01.01.2003               ;14 17 54                 ;48 17 25
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.09.1980 07:01:00   ;   253,88 ;     
17.02.1981 07:01:00   ;   254,03 ;     
23.02.1982 07:01:00   ;   254,50 ;     
08.03.1983 07:01:00   ;   253,78 ;     
13.03.1984 07:01:00   ;   253,45 ;     
17.09.1985 07:01:00   ;   253,58 ;     
09.04.1986 07:01:00   ;   253,78 ;     
07.07.1987 07:01:00   ;   253,98 ;     
06.04.1988 07:01:00   ;   254,36 ;     
31.01.1989 07:01:00   ;   254,16 ;     
27.02.1990 07:01:00   ;   253,40 ;     
20.08.1991 07:01:00   ;   253,56 ;     
31.12.1992 23:59:55   ;   253,14 ;     
04.01.1993 07:01:00   ;   253,15 ;     
09.05.1994 07:01:00   ;   253,32 ;     
02.10.1995 07:01:00   ;   253,43 ;     
27.11.1996 07:01:00   ;   253,86 ;     
04.08.1997 07:01:00   ;   254,35 ;     
05.01.1998 07:01:00   ;   253,84 ;     
17.05.1999 07:01:00   ;   254,20 ;     
17.04.2000 07:01:00   ;   254,15 ;     
30.04.2001 07:01:00   ;   253,98 ;     
07.01.2002 07:01:00   ;   253,86 ;     
25.07.2004 07:01:00   ;   254,18 ;     
24.07.2005 07:01:00   ;   254,18 ;     
30.04.2006 07:01:00   ;   254,43 ;     
18.03.2007 07:01:00   ;   254,15 ;     
01.01.2008 00:00:05   ;   253,92 ;     
05.07.2009 07:01:00   ;   253,93 ;     
15.08.2010 07:01:00   ;   254,05 ;     
02.01.2011 07:01:00   ;   253,56 ;     
13.08.2012 07:01:00   ;   253,79 ;     
06.07.2013 07:01:00   ;   254,19 ;     
01.01.2014 00:00:05   ;   253,57 ;     
01.01.2015 00:00:05   ;   253,18 ;     
14.08.2016 07:01:00   ;   253,59 ;     
09.09.2017 07:01:00   ;   253,73 ;     
04.02.2018 07:01:00   ;   253,78 ;     
03.02.2019 07:01:00   ;   253,38 ;     
09.08.2020 07:01:00   ;   253,10 ;     
28.08.2021 07:01:00   ;   253,45 ;     
