Messstelle:                ;Dedenitz, Br  3923
HZB-Nummer:                ;311639
HD-Nummer:                 ;uw3923
DBMS-Nummer:               ;6002173
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;13.10.1966
 Geländehöhe:              ;203,87
 Messpunkthöhe:            ;204,72
 Sohllage:                 ;201,32
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;16 01 54                 ;46 41 29
  10.06.1965               ;16 01 54                 ;46 41 29
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.07.1966 07:01:00   ;   202,58 ;     
04.09.1967 07:01:00   ;   201,94 ;     
11.07.1968 07:01:00   ;   201,81 ;     
21.08.1969 07:01:00   ;   201,91 ;     
15.10.1970 07:01:00   ;   201,93 ;     
11.10.1971 07:01:00   ;   201,69 ;     
03.01.1972 07:01:00   ;   201,90 ;     
20.09.1973 07:01:00   ;   201,88 ;     
19.08.1974 07:01:00   ;   201,80 ;     
23.06.1975 07:01:00   ;   201,90 ;     
23.08.1976 07:01:00   ;   201,82 ;     
07.11.1977 07:01:00   ;   201,76 ;     
23.01.1978 07:01:00   ;   201,78 ;     
05.11.1979 07:01:00   ;   202,02 ;     
06.10.1980 07:01:00   ;   202,04 ;     
14.09.1981 07:01:00   ;   201,93 ;     
12.07.1982 07:01:00   ;   201,97 ;     
10.10.1983 07:01:00   ;   201,84 ;     
09.01.1984 07:01:00   ;   201,96 ;     
04.11.1985 07:01:00   ;   201,90 ;     
20.10.1986 07:01:00   ;   201,93 ;     
09.02.1987 07:01:00   ;   201,90 ;     
12.09.1988 07:01:00   ;   201,94 ;     
20.02.1989 07:01:00   ;   201,96 ;     
08.10.1990 07:01:00   ;   201,93 ;     
14.10.1991 07:01:00   ;   202,08 ;     
28.09.1992 07:01:00   ;   201,71 ;     
27.09.1993 07:01:00   ;   201,65 ;     
22.08.1994 07:01:00   ;   202,13 ;     
11.12.1995 07:01:00   ;   202,10 ;     
02.09.1996 07:01:00   ;   202,22 ;     
10.11.1997 07:01:00   ;   202,00 ;     
22.06.1998 07:01:00   ;   201,91 ;     
25.10.1999 07:01:00   ;   202,04 ;     
04.09.2000 07:01:00   ;   201,69 ;     
03.09.2001 07:01:00   ;   201,71 ;     
21.01.2002 07:01:00   ;   201,74 ;     
25.08.2003 07:01:00   ;   201,61 ;     
01.01.2004 00:00:05   ;   201,84 ;     
07.03.2005 07:01:00   ;   201,89 ;     
31.12.2006 23:59:55   ;   202,07 ;     
27.08.2007 07:01:00   ;   201,81 ;     
02.06.2008 07:01:00   ;   201,95 ;     
25.05.2009 07:01:00   ;   202,30 ;     
23.08.2010 07:01:00   ;   201,93 ;     
03.10.2011 07:01:00   ;   201,81 ;     
27.08.2012 07:01:00   ;   201,66 ;     
26.08.2013 07:01:00   ;   202,00 ;     
11.08.2014 07:01:00   ;   201,98 ;     
05.10.2015 07:01:00   ;   201,84 ;     
17.10.2016 07:01:00   ;   201,85 ;     
04.09.2017 07:01:00   ;   201,64 ;     
31.12.2018 23:59:55   ;   201,84 ;     
28.10.2019 07:01:00   ;   201,68 ;     
08.06.2020 07:01:00   ;   201,83 ;     
20.09.2021 07:01:00   ;   201,91 ;     
