Messstelle:                ;Kalsdorf, Br 35541
HZB-Nummer:                ;315028
HD-Nummer:                 ;uw35541
DBMS-Nummer:               ;6002250
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1969
 Geländehöhe:              ;315,98
 Messpunkthöhe:            ;316,28
 Sohllage:                 ;312,28
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 29 07                 ;46 57 34
  01.01.1969               ;15 29 10                 ;46 57 33
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1968 bis -> FG44 durch Abkehr des nahegelegenen Mühlgangs zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2018 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2019 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2021 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1969 07:01:00   ;   313,12 ;     
28.05.1970 07:01:00   ;   313,04 ;     
07.06.1971 07:01:00   ;   312,78 ;     
07.02.1972 07:01:00   ;   313,01 ;     
21.06.1973 07:01:00   ;   312,89 ;     
10.06.1974 07:01:00   ;   312,91 ;     
23.06.1975 07:01:00   ;   312,85 ;     
14.06.1976 07:01:00   ;   312,86 ;     
20.06.1977 07:01:00   ;   312,88 ;     
22.05.1978 07:01:00   ;   312,78 ;     
25.06.1979 07:01:00   ;   312,87 ;     
25.06.1980 07:01:00   ;   312,87 ;     
27.07.1981 07:01:00   ;   312,87 ;     
26.07.1982 07:01:00   ;   312,86 ;     
20.06.1983 07:01:00   ;   312,62 ;     
23.07.1984 07:01:00   ;   312,62 ;     
25.02.1985 07:01:00   ;   312,89 ;     
28.07.1986 07:01:00   ;   312,81 ;     
22.06.1987 07:01:00   ;   312,85 ;     
20.06.1988 07:01:00   ;   312,66 ;     
19.06.1989 07:01:00   ;   312,75 ;     
19.03.1990 07:01:00   ;   313,00 ;     
17.06.1991 07:01:00   ;   312,88 ;     
01.06.1992 07:01:00   ;   312,83 ;     
28.06.1993 07:01:00   ;   312,59 ;     
30.05.1994 07:01:00   ;   312,79 ;     
12.06.1995 07:01:00   ;   312,87 ;     
08.07.1996 07:01:00   ;   313,01 ;     
23.06.1997 07:01:00   ;   313,17 ;     
28.09.1998 07:01:00   ;   313,12 ;     
15.03.1999 07:01:00   ;   313,12 ;     
17.07.2000 07:01:00   ;   312,92 ;     
31.12.2001 23:59:55   ;   312,89 ;     
12.08.2002 07:01:00   ;   312,74 ;     
18.08.2003 07:01:00   ;   312,82 ;     
01.01.2004 00:00:05   ;   312,93 ;     
07.02.2005 07:01:00   ;   312,95 ;     
04.09.2006 07:01:00   ;   313,04 ;     
17.09.2007 07:01:00   ;   312,74 ;     
15.09.2008 07:01:00   ;   312,63 ;     
05.01.2009 07:01:00   ;   312,93 ;     
21.06.2010 07:01:00   ;   313,11 ;     
31.12.2011 23:59:55   ;   312,95 ;     
30.07.2012 07:01:00   ;   312,64 ;     
23.09.2013 07:01:00   ;   312,68 ;     
27.10.2014 07:01:00   ;   313,04 ;     
15.06.2015 07:01:00   ;   313,08 ;     
19.09.2016 07:01:00   ;   313,03 ;     
27.09.2017 07:01:00   ;   312,80 ;     
01.01.2018 07:01:00   ;   312,98 ;     
10.10.2019 07:01:00   ;   312,76 ;     
01.05.2020 07:01:00   ;   312,85 ;     
25.10.2021 07:01:00   ;   312,94 ;     
