Messstelle:                ;Raßnitz, Br 25411
HZB-Nummer:                ;315077
HD-Nummer:                 ;uw25411
DBMS-Nummer:               ;6002255
PorenGW-Gebiet:            ;360 Aichfeld-Murboden
Grundwasserkörper:         ;Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.04.2013
 Geländehöhe:              ;620,47
 Messpunkthöhe:            ;620,70
 Sohllage:                 ;613,17
 T-Messtiefe u.GOK:        ;6,57
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 50 09                 ;47 13 46
  01.05.1970               ;14 50 07                 ;47 13 46
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.03.1971 07:01:00   ;   614,13 ;     
10.02.1972 07:01:00   ;   614,19 ;     
01.03.1973 07:01:00   ;   614,38 ;     
26.12.1974 07:01:00   ;   614,23 ;     
20.02.1975 07:01:00   ;   614,08 ;     
02.02.1976 07:01:00   ;   614,01 ;     
31.12.1977 23:59:55   ;   613,85 ;     
20.02.1978 07:01:00   ;   613,76 ;     
25.01.1979 07:01:00   ;   613,75 ;     
20.03.1980 07:01:00   ;   614,13 ;     
05.03.1981 07:01:00   ;   613,75 ;     
22.03.1982 07:01:00   ;   613,83 ;     
19.12.1983 07:01:00   ;   613,90 ;     
05.03.1984 07:01:00   ;   613,80 ;     
25.02.1985 07:01:00   ;   613,95 ;     
29.12.1986 07:01:00   ;   614,00 ;     
19.01.1987 07:01:00   ;   613,88 ;     
14.03.1988 07:01:00   ;   614,04 ;     
09.03.1989 07:01:00   ;   614,03 ;     
22.01.1990 07:01:00   ;   614,17 ;     
18.02.1991 07:01:00   ;   614,03 ;     
03.02.1992 07:01:00   ;   614,17 ;     
15.03.1993 07:01:00   ;   614,09 ;     
28.02.1994 07:01:00   ;   614,18 ;     
31.12.1995 23:59:55   ;   614,00 ;     
12.02.1996 07:01:00   ;   613,91 ;     
15.12.1997 07:01:00   ;   614,13 ;     
09.02.1998 07:01:00   ;   614,03 ;     
01.03.1999 07:01:00   ;   613,99 ;     
31.01.2000 07:01:00   ;   614,06 ;     
31.12.2001 23:59:55   ;   614,08 ;     
11.02.2002 07:01:00   ;   613,99 ;     
24.03.2003 07:01:00   ;   614,09 ;     
15.03.2004 07:01:00   ;   614,05 ;     
21.02.2005 07:01:00   ;   614,09 ;     
06.02.2006 07:01:00   ;   614,06 ;     
08.01.2007 07:01:00   ;   614,12 ;     
18.02.2008 07:01:00   ;   613,97 ;     
28.12.2009 07:01:00   ;   614,03 ;     
01.01.2010 00:00:05   ;   614,05 ;     
12.12.2011 07:01:00   ;   614,11 ;     
16.01.2012 07:01:00   ;   614,11 ;     
19.08.2013 15:00:00   ;   614,14 ;     
20.01.2014 03:00:00   ;   614,26 ;     
31.12.2015 15:00:00   ;   614,05 ;     
24.01.2016 03:00:00   ;   613,95 ;     
30.01.2017 18:00:00   ;   613,95 ;     
28.02.2018 18:00:00   ;   614,07 ;     
30.01.2019 12:00:00   ;   614,08 ;     
01.02.2020 00:00:00   ;   614,23 ;     
24.12.2021 18:00:00   ;   614,01 ;     
