Messstelle:                ;Zaina, Br 218
HZB-Nummer:                ;319269
HD-Nummer:                 ;
DBMS-Nummer:               ;3002630
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.02.1975
 Geländehöhe:              ;176,02
 Messpunkthöhe:            ;174,32
 Sohllage:                 ;169,85
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 05 45                 ;48 21 59
  01.02.1975               ;16 05 41                 ;48 22 00
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.06.1975 07:01:00   ;   171,21 ;     
18.10.1976 07:01:00   ;   171,24 ;     
24.01.1977 07:01:00   ;   171,31 ;     
04.12.1978 07:01:00   ;   171,00 ;     
15.01.1979 07:01:00   ;   170,99 ;     
01.01.1980 00:00:05   ;   171,51 ;     
20.07.1981 07:01:00   ;   171,35 ;     
13.12.1982 07:01:00   ;   171,34 ;     
14.11.1983 07:01:00   ;   171,02 ;     
20.02.1984 07:01:00   ;   171,00 ;     
01.01.1985 00:00:05   ;   171,24 ;     
20.10.1986 07:01:00   ;   171,56 ;     
01.01.1987 00:00:05   ;   171,62 ;     
07.11.1988 07:01:00   ;   171,66 ;     
31.12.1989 23:59:55   ;   171,53 ;     
08.10.1990 07:01:00   ;   171,36 ;     
21.01.1991 07:01:00   ;   171,44 ;     
19.10.1992 07:01:00   ;   171,38 ;     
23.08.1993 07:01:00   ;   171,26 ;     
26.09.1994 07:01:00   ;   171,13 ;     
01.01.1995 00:00:05   ;   171,22 ;     
01.01.1996 00:00:05   ;   171,53 ;     
30.06.1997 07:01:00   ;   171,82 ;     
31.08.1998 07:01:00   ;   171,56 ;     
01.11.1999 07:01:00   ;   171,66 ;     
30.10.2000 07:01:00   ;   171,42 ;     
20.08.2001 07:01:00   ;   171,32 ;     
01.01.2002 00:00:05   ;   171,51 ;     
20.10.2003 07:01:00   ;   171,60 ;     
04.10.2004 07:01:00   ;   171,58 ;     
17.01.2005 07:01:00   ;   171,59 ;     
01.01.2006 00:00:05   ;   171,84 ;     
03.09.2007 07:01:00   ;   171,48 ;     
06.10.2008 07:01:00   ;   171,70 ;     
01.01.2009 00:00:05   ;   171,79 ;     
06.12.2010 07:01:00   ;   172,13 ;     
05.12.2011 07:01:00   ;   171,48 ;     
20.02.2012 07:01:00   ;   171,34 ;     
01.01.2013 00:00:05   ;   171,50 ;     
11.08.2014 07:01:00   ;   171,62 ;     
05.10.2015 07:01:00   ;   171,47 ;     
26.09.2016 07:01:00   ;   171,58 ;     
11.09.2017 07:01:00   ;   171,41 ;     
20.08.2018 07:01:00   ;   171,37 ;     
14.10.2019 07:01:00   ;   171,50 ;     
25.05.2020 07:01:00   ;   171,50 ;     
05.07.2021 07:00:00   ;   171,64 ;     
