Messstelle:                ;Ludesch, Bl 06.36.04
HZB-Nummer:                ;321984
HD-Nummer:                 ;06.36.04
DBMS-Nummer:               ;8002086
PorenGW-Gebiet:            ;003 Walgau
Grundwasserkörper:         ;Walgau [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.09.2010
 Geländehöhe:              ;534,24
 Messpunkthöhe:            ;534,97
 Sohllage:                 ;520,41
 T-Messtiefe u.GOK:        ;11,77
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  12.04.1974               ;09 46 28                 ;47 10 31
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 mit Transfer-Function-Modell interpoliert
  2003 mit Transfer-Function-Modell interpoliert
  2004 bis 31.3. mit Transfer-Function-Modell interpoliert
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
10.01.1976 07:01:00   ;   523,65 ;     
31.12.1977 23:59:55   ;   523,97 ;     
26.01.1978 07:01:00   ;   523,84 ;     
09.03.1979 07:01:00   ;   524,15 ;     
31.03.1980 07:01:00   ;   524,65 ;     
09.02.1981 07:01:00   ;   524,25 ;     
27.12.1982 07:01:00   ;   524,42 ;     
01.01.1983 00:00:05   ;   524,47 ;     
21.12.1984 07:01:00   ;   524,06 ;     
23.12.1985 07:01:00   ;   523,74 ;     
22.12.1986 07:01:00   ;   523,62 ;     
01.01.1987 00:00:05   ;   523,70 ;     
28.11.1988 07:01:00   ;   523,84 ;     
13.02.1989 07:01:00   ;   523,95 ;     
12.11.1990 07:01:00   ;   523,62 ;     
25.03.1991 07:01:00   ;   523,54 ;     
20.10.1992 07:01:00   ;   523,80 ;     
15.03.1993 07:01:00   ;   524,20 ;     
05.09.1994 07:01:00   ;   524,47 ;     
18.12.1995 07:01:00   ;   524,18 ;     
18.03.1996 07:01:00   ;   523,90 ;     
08.12.1997 07:01:00   ;   523,67 ;     
12.01.1998 07:01:00   ;   523,60 ;     
15.02.1999 07:01:00   ;   524,49 ;     
24.01.2000 07:01:00   ;   524,49 ;     
26.11.2001 07:01:00   ;   524,83 ;     
25.02.2002 07:30:00   ;   524,79 ;     
29.09.2003 07:30:00   ;   523,91 ;     
31.12.2004 23:59:55   ;   524,08 ;     
17.01.2005 07:01:00   ;   524,01 ;     
06.11.2006 07:01:00   ;   524,94 ;     
08.01.2007 07:01:00   ;   524,55 ;     
10.03.2008 07:01:00   ;   524,68 ;     
01.03.2009 07:01:00   ;   524,82 ;     
22.02.2010 07:01:00   ;   524,51 ;     
09.05.2011 07:01:00   ;   525,02 ;     
27.02.2012 07:01:00   ;   525,18 ;     
09.09.2013 07:01:00   ;   524,91 ;     
17.12.2014 08:00:00   ;   524,94 ;     
13.10.2015 01:00:00   ;   524,59 ;     
16.10.2016 19:00:00   ;   525,04 ;     
02.01.2017 09:00:00   ;   525,39 ;     
01.12.2018 13:00:00   ;   523,86 ;     
01.01.2019 00:00:05   ;   524,81 ;     
28.08.2020 16:00:00   ;   525,09 ;     
30.11.2021 16:00:00   ;   524,98 ;     
