Messstelle:                ;Luftenberg, Bl 2119.005
HZB-Nummer:                ;323014
HD-Nummer:                 ;Bl2119.005
DBMS-Nummer:               ;4002403
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2001
 Geländehöhe:              ;246,63
 Messpunkthöhe:            ;248,18
 Sohllage:                 ;237,25
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 26 23                 ;48 15 13
  01.01.2003               ;14 26 24                 ;48 15 16
  13.02.1975               ;14 26 24                 ;48 15 16
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.12.1983 07:01:00   ;   241,38 ;     
31.12.1984 23:59:55   ;   241,43 ;     
15.01.1985 07:01:00   ;   241,39 ;     
12.12.1986 07:01:00   ;   241,33 ;     
15.11.1987 07:01:00   ;   241,63 ;     
15.11.1988 07:01:00   ;   241,69 ;     
15.12.1989 07:01:00   ;   241,60 ;     
11.02.1990 07:01:00   ;   241,58 ;     
18.12.1991 07:01:00   ;   241,26 ;     
21.10.1992 07:01:00   ;   241,29 ;     
02.12.1993 07:01:00   ;   241,54 ;     
10.11.1994 07:01:00   ;   241,29 ;     
23.01.1995 07:01:00   ;   241,60 ;     
15.03.1996 07:01:00   ;   241,53 ;     
27.11.1997 12:00:00   ;   241,43 ;     
04.03.1998 12:00:00   ;   241,47 ;     
01.12.1999 12:00:00   ;   241,49 ;     
30.01.2000 10:53:35   ;   241,65 ;     
26.11.2001 07:01:00   ;   241,70 ;     
03.08.2002 07:01:00   ;   241,97 ;     
31.12.2003 23:59:55   ;   241,26 ;     
03.01.2004 07:01:00   ;   241,25 ;     
30.12.2005 07:01:00   ;   241,39 ;     
03.02.2006 07:01:00   ;   241,35 ;     
01.01.2007 00:00:05   ;   241,49 ;     
21.11.2008 07:01:00   ;   241,45 ;     
06.02.2009 07:01:00   ;   241,44 ;     
22.02.2010 07:01:00   ;   241,54 ;     
02.12.2011 07:01:00   ;   241,45 ;     
14.12.2012 07:01:00   ;   241,59 ;     
31.12.2013 23:59:55   ;   241,63 ;     
14.03.2014 07:01:00   ;   241,48 ;     
20.11.2015 07:01:00   ;   241,28 ;     
27.01.2016 07:01:00   ;   241,41 ;     
27.01.2017 07:01:00   ;   241,39 ;     
23.11.2018 07:01:00   ;   241,24 ;     
20.12.2019 07:01:00   ;   241,41 ;     
31.01.2020 07:01:00   ;   241,35 ;     
22.01.2021 07:01:00   ;   241,43 ;     
