Messstelle:                ;Urfahr, Br 2136.1
HZB-Nummer:                ;323410
HD-Nummer:                 ;2136.1
DBMS-Nummer:               ;4002441
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.03.1976
 Geländehöhe:              ;265,09
 Messpunkthöhe:            ;265,19
 Sohllage:                 ;252,29
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 16 34                 ;48 18 39
  01.01.2003               ;14 16 35                 ;48 18 43
  18.03.1976               ;14 16 35                 ;48 18 43
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2020 HG31 Messstelle zeitweise nicht zugänglich
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.11.1980 07:01:00   ;   252,99 ;     
07.09.1981 07:01:00   ;   252,94 ;     
15.11.1982 07:01:00   ;   252,78 ;     
05.12.1983 07:01:00   ;   252,59 ;     
02.01.1984 07:01:00   ;   252,74 ;     
14.01.1985 07:01:00   ;   252,71 ;     
13.01.1986 07:01:00   ;   252,64 ;     
02.11.1987 07:01:00   ;   252,89 ;     
14.03.1988 07:01:00   ;   252,71 ;     
31.12.1989 23:59:55   ;   252,91 ;     
05.02.1990 07:01:00   ;   252,79 ;     
22.04.1991 07:01:00   ;   252,71 ;     
17.10.1992 07:01:00   ;   252,71 ;     
20.02.1993 07:01:00   ;   252,85 ;     
05.11.1994 07:01:00   ;   252,77 ;     
21.01.1995 07:01:00   ;   252,84 ;     
17.02.1996 07:01:00   ;   252,92 ;     
29.11.1997 07:01:00   ;   252,89 ;     
28.02.1998 07:01:00   ;   252,89 ;     
25.12.1999 07:01:00   ;   252,83 ;     
01.01.2000 00:00:05   ;   252,88 ;     
01.01.2001 00:00:05   ;   252,91 ;     
03.08.2002 07:01:00   ;   253,05 ;     
31.12.2003 23:59:55   ;   252,78 ;     
02.01.2004 07:01:00   ;   252,78 ;     
16.12.2005 07:01:00   ;   252,88 ;     
22.12.2006 07:01:00   ;   252,90 ;     
01.01.2007 00:00:05   ;   252,91 ;     
21.11.2008 07:01:00   ;   252,85 ;     
13.02.2009 07:01:00   ;   252,89 ;     
12.02.2010 07:01:00   ;   252,95 ;     
09.12.2011 07:01:00   ;   252,71 ;     
07.12.2012 07:01:00   ;   252,92 ;     
31.12.2013 23:59:55   ;   252,91 ;     
25.04.2014 07:01:00   ;   252,80 ;     
31.12.2015 23:59:55   ;   252,74 ;     
01.01.2016 07:01:00   ;   252,74 ;     
17.02.2017 07:01:00   ;   252,86 ;     
12.10.2018 07:01:00   ;   252,66 ;     
23.12.2020 13:00:00   ;   252,78 ;     
19.01.2021 08:00:00   ;   252,77 ;     
