Messstelle:                ;Lustenau, Bl 2128.40
HZB-Nummer:                ;323972
HD-Nummer:                 ;2128.40
DBMS-Nummer:               ;4002496
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.03.1993
 Geländehöhe:              ;257,07
 Messpunkthöhe:            ;258,17
 Sohllage:                 ;248,00
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 19 16                 ;48 17 17
  01.01.2003               ;14 19 18                 ;48 17 20
  01.01.1976               ;14 19 18                 ;48 17 20
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.01.1980 07:01:00   ;   248,53 ;     
09.06.1981 07:01:00   ;   248,99 ;     
09.11.1982 07:01:00   ;   248,71 ;     
06.12.1983 07:01:00   ;   248,53 ;     
03.01.1984 07:01:00   ;   248,53 ;     
29.01.1985 07:01:00   ;   248,82 ;     
01.01.1986 00:00:05   ;   249,19 ;     
01.01.1987 00:00:05   ;   249,38 ;     
07.03.1988 07:01:00   ;   249,43 ;     
11.04.1989 07:01:00   ;   249,40 ;     
06.02.1990 07:01:00   ;   249,34 ;     
04.06.1991 07:01:00   ;   249,31 ;     
19.10.1992 07:01:00   ;   249,38 ;     
14.06.1993 07:01:00   ;   249,03 ;     
28.03.1994 07:01:00   ;   249,18 ;     
01.01.1995 00:00:05   ;   249,45 ;     
22.04.1996 07:01:00   ;   249,39 ;     
17.11.1997 07:01:00   ;   249,58 ;     
08.06.1998 07:01:00   ;   249,46 ;     
06.12.1999 07:01:00   ;   249,41 ;     
04.12.2000 07:01:00   ;   249,13 ;     
03.09.2001 07:01:00   ;   249,11 ;     
17.06.2002 07:01:00   ;   249,33 ;     
31.12.2003 23:59:55   ;   249,19 ;     
04.01.2004 07:01:00   ;   249,19 ;     
11.12.2005 07:01:00   ;   249,16 ;     
01.01.2006 07:01:00   ;   249,17 ;     
06.05.2007 07:01:00   ;   249,24 ;     
28.12.2008 07:01:00   ;   248,41 ;     
22.11.2009 07:01:00   ;   248,25 ;     
09.05.2010 07:01:00   ;   248,25 ;     
16.05.2011 07:01:00   ;   248,09 ;     
01.01.2012 07:01:00   ;   248,54 ;     
13.05.2013 07:01:00   ;   248,61 ;     
28.12.2014 07:01:00   ;   248,69 ;     
31.12.2015 23:59:55   ;   248,53 ;     
03.01.2016 07:01:00   ;   248,50 ;     
30.01.2017 07:01:00   ;   248,90 ;     
18.11.2018 07:01:00   ;   248,65 ;     
08.12.2019 07:01:00   ;   248,51 ;     
31.05.2020 07:01:00   ;   248,46 ;     
17.01.2021 07:01:00   ;   248,53 ;     
