Messstelle:                ;Oberbildein, Br 9
HZB-Nummer:                ;326389
HD-Nummer:                 ;
DBMS-Nummer:               ;1002197
PorenGW-Gebiet:            ;338 Unteres Pinkatal
Grundwasserkörper:         ;Pinkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.09.1990
 Geländehöhe:              ;221,07
 Messpunkthöhe:            ;221,87
 Sohllage:                 ;216,58
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.04.1981               ;16 28 02                 ;47 07 57
  31.03.1981               ;16 27 58                 ;47 07 55
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2015 HG13 fehlende Monatsmittel zufolge Beobachterausfall
  2016 HG13 fehlende Monatsmittel zufolge Beobachterausfall
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
22.08.1988 07:01:00   ;   217,59 ;     
31.12.1989 23:59:55   ;   217,61 ;     
19.03.1990 07:01:00   ;   217,54 ;     
16.09.1991 07:01:00   ;   217,77 ;     
27.09.1992 07:01:00   ;   217,54 ;     
11.09.1993 07:01:00   ;   217,43 ;     
06.08.1994 07:01:00   ;   217,76 ;     
25.11.1995 07:01:00   ;   217,77 ;     
06.01.1996 07:01:00   ;   218,03 ;     
01.11.1997 14:00:00   ;   217,81 ;     
15.08.1998 14:00:00   ;   217,77 ;     
23.10.1999 14:30:00   ;   217,86 ;     
26.08.2000 14:30:00   ;   217,53 ;     
01.09.2001 14:30:00   ;   217,45 ;     
21.09.2002 14:30:00   ;   217,30 ;     
30.08.2003 14:30:00   ;   217,28 ;     
01.01.2004 00:00:05   ;   217,44 ;     
05.02.2005 14:30:00   ;   217,53 ;     
21.10.2006 14:30:00   ;   217,60 ;     
28.07.2007 14:30:00   ;   217,45 ;     
31.05.2008 14:30:00   ;   217,59 ;     
17.01.2009 14:30:00   ;   217,77 ;     
24.07.2010 14:10:00   ;   218,02 ;     
10.12.2011 14:25:00   ;   217,90 ;     
13.10.2012 14:15:00   ;   217,59 ;     
06.09.2013 14:10:00   ;   217,75 ;     
01.02.2014 14:10:00   ;   218,01 ;     
19.09.2015 14:10:00   ;   217,79 ;     
09.01.2016 14:20:00   ;   217,86 ;     
09.09.2017 14:10:00   ;   217,66 ;     
31.12.2018 23:59:55   ;   217,65 ;     
27.07.2019 14:20:00   ;   217,52 ;     
13.06.2020 14:15:00   ;   217,51 ;     
25.09.2021 14:25:00   ;   217,47 ;     
