Messstelle:                ;Feuersbrunn, Bl 323
HZB-Nummer:                ;327262
HD-Nummer:                 ;
DBMS-Nummer:               ;3002767
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Gruppe Weinviertel [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.12.2019
 Geländehöhe:              ;217,66
 Messpunkthöhe:            ;218,56
 Sohllage:                 ;206,53
 T-Messtiefe u.GOK:        ;7,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 47 27                 ;48 26 42
  01.01.1983               ;15 47 28                 ;48 26 42
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.12.1983 07:01:00   ;   212,41 ;     
11.02.1984 07:01:00   ;   212,37 ;     
16.02.1985 07:01:00   ;   212,46 ;     
12.03.1986 07:01:00   ;   212,55 ;     
28.01.1987 07:01:00   ;   212,55 ;     
31.12.1988 23:59:55   ;   212,57 ;     
03.04.1989 07:01:00   ;   212,48 ;     
26.03.1990 07:01:00   ;   212,47 ;     
07.02.1991 07:01:00   ;   212,41 ;     
07.05.1992 07:01:00   ;   212,43 ;     
28.04.1993 07:01:00   ;   212,38 ;     
31.12.1994 23:59:55   ;   212,38 ;     
30.01.1995 07:01:00   ;   212,36 ;     
01.01.1996 00:00:05   ;   212,44 ;     
19.02.1997 07:01:00   ;   212,54 ;     
20.07.1998 07:01:00   ;   212,54 ;     
28.01.1999 07:01:00   ;   212,58 ;     
21.02.2000 07:01:00   ;   212,61 ;     
31.12.2001 07:01:00   ;   212,55 ;     
10.03.2002 07:01:00   ;   212,51 ;     
21.12.2003 07:01:00   ;   212,64 ;     
31.12.2004 23:59:55   ;   212,59 ;     
03.04.2005 07:01:00   ;   212,52 ;     
26.02.2006 07:01:00   ;   212,51 ;     
02.09.2007 07:01:00   ;   212,62 ;     
20.02.2008 07:01:00   ;   212,54 ;     
11.01.2009 07:01:00   ;   212,53 ;     
21.02.2010 07:01:00   ;   212,74 ;     
31.12.2011 23:59:55   ;   212,71 ;     
23.12.2012 07:01:00   ;   212,59 ;     
27.01.2013 07:01:00   ;   212,58 ;     
04.05.2014 07:01:00   ;   212,58 ;     
24.05.2015 07:01:00   ;   212,62 ;     
07.02.2016 07:01:00   ;   212,60 ;     
11.06.2017 07:01:00   ;   212,60 ;     
06.05.2018 07:01:00   ;   212,57 ;     
18.12.2019 17:00:00   ;   212,56 ;     
01.05.2020 17:00:00   ;   212,53 ;     
24.07.2021 14:00:00   ;   212,54 ;     
