Messstelle:                ;Fußach, Bl 50.2.23
HZB-Nummer:                ;328419
HD-Nummer:                 ;50.2.23
DBMS-Nummer:               ;8002219
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.06.2020
 Geländehöhe:              ;396,58
 Messpunkthöhe:            ;397,30
 Sohllage:                 ;389,81
 T-Messtiefe u.GOK:        ;3,28
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  06.10.2004               ;09 39 07                 ;47 28 54
  01.01.1982               ;09 39 07                 ;47 28 54
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2006 bis -> FG25 durch Polderanlage beeinflusst
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
19.07.1982 07:01:00   ;   396,27 ;     
01.08.1983 07:01:00   ;   396,04 ;     
07.05.1984 07:01:00   ;   396,34 ;     
19.08.1985 07:01:00   ;   396,27 ;     
20.10.1986 07:01:00   ;   396,22 ;     
21.09.1987 07:01:00   ;   396,37 ;     
27.06.1988 07:01:00   ;   396,28 ;     
19.06.1989 07:01:00   ;   396,15 ;     
27.08.1990 07:01:00   ;   396,03 ;     
09.09.1991 07:01:00   ;   396,04 ;     
24.08.1992 07:01:00   ;   396,04 ;     
14.06.1993 07:01:00   ;   396,12 ;     
08.08.1994 07:01:00   ;   395,95 ;     
07.08.1995 07:01:00   ;   396,15 ;     
29.07.1996 07:01:00   ;   396,11 ;     
09.06.1997 07:01:00   ;   396,02 ;     
08.06.1998 07:01:00   ;   395,92 ;     
09.08.1999 07:01:00   ;   396,12 ;     
19.06.2000 07:01:00   ;   396,01 ;     
28.05.2001 07:01:00   ;   396,13 ;     
22.04.2002 07:01:00   ;   396,20 ;     
01.09.2003 07:01:00   ;   395,76 ;     
13.09.2004 07:01:00   ;   396,07 ;     
27.06.2005 07:01:00   ;   396,05 ;     
31.07.2006 07:01:00   ;   395,78 ;     
30.04.2007 07:01:00   ;   396,02 ;     
02.06.2008 07:01:00   ;   396,00 ;     
03.10.2009 07:01:00   ;   395,88 ;     
26.04.2010 07:01:00   ;   396,01 ;     
09.05.2011 07:01:00   ;   395,96 ;     
06.08.2012 07:01:00   ;   396,01 ;     
06.08.2013 19:00:00   ;   395,90 ;     
18.03.2014 16:00:00   ;   395,76 ;     
09.08.2015 22:00:00   ;   395,81 ;     
17.10.2016 10:00:00   ;   396,11 ;     
27.06.2017 00:00:00   ;   395,95 ;     
01.08.2018 16:00:00   ;   395,40 ;     
26.07.2019 09:00:00   ;   395,78 ;     
02.06.2020 10:00:00   ;   395,93 ;     
30.04.2021 23:00:00   ;   396,07 ;     
