Messstelle:                ;St. Margarethen, Blt 25485
HZB-Nummer:                ;330001
HD-Nummer:                 ;uw25485
DBMS-Nummer:               ;6002653
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;10.11.2015
 Geländehöhe:              ;617,21
 Messpunkthöhe:            ;618,01
 Sohllage:                 ;597,41
 T-Messtiefe u.GOK:        ;12,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 51 45                 ;47 14 13
  01.01.1986               ;14 51 45                 ;47 14 13
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.03.1986 07:01:00   ;   608,14 ;     
26.01.1987 07:01:00   ;   608,10 ;     
30.03.1988 07:01:00   ;   608,01 ;     
20.02.1989 07:01:00   ;   607,98 ;     
31.12.1990 23:59:55   ;   608,30 ;     
25.02.1991 07:01:00   ;   608,05 ;     
24.02.1992 07:01:00   ;   608,10 ;     
15.03.1993 07:01:00   ;   607,97 ;     
31.12.1994 23:59:55   ;   607,97 ;     
31.12.1995 23:59:55   ;   607,84 ;     
18.03.1996 07:01:00   ;   607,71 ;     
31.12.1997 23:59:55   ;   607,97 ;     
30.03.1998 07:01:00   ;   607,84 ;     
05.04.1999 07:01:00   ;   607,98 ;     
31.01.2000 07:01:00   ;   608,07 ;     
31.12.2001 23:59:55   ;   607,82 ;     
25.02.2002 07:01:00   ;   607,77 ;     
21.08.2003 07:01:00   ;   607,87 ;     
08.03.2004 07:01:00   ;   607,83 ;     
14.03.2005 07:01:00   ;   607,81 ;     
20.03.2006 07:01:00   ;   607,91 ;     
27.02.2007 07:01:00   ;   607,93 ;     
26.02.2008 07:00:00   ;   607,93 ;     
23.02.2009 07:00:00   ;   607,96 ;     
22.02.2010 07:00:00   ;   608,07 ;     
31.12.2011 23:59:55   ;   607,92 ;     
13.02.2012 07:00:00   ;   607,80 ;     
09.10.2013 15:00:00   ;   608,12 ;     
31.01.2014 03:00:00   ;   608,15 ;     
31.12.2015 03:00:00   ;   607,93 ;     
25.01.2016 09:00:00   ;   607,86 ;     
18.03.2017 12:00:00   ;   607,89 ;     
03.03.2018 00:00:00   ;   608,01 ;     
29.10.2019 15:00:00   ;   607,94 ;     
07.04.2020 09:00:00   ;   608,02 ;     
26.12.2021 09:00:00   ;   607,87 ;     
