Messstelle:                ;Thaur, Bl 3
HZB-Nummer:                ;330381
HD-Nummer:                 ;
DBMS-Nummer:               ;7002017
Fremdnummer:               ;GW70358028
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2018
 Geländehöhe:              ;563,58
 Messpunkthöhe:            ;564,48
 Sohllage:                 ;558,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1984               ;11 27 58                 ;47 16 50
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2015 HG13 fehlende Monatsmittel zufolge Beobachterausfall
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1985 23:59:55   ;   559,73 ;     
06.01.1986 07:01:00   ;   559,68 ;     
02.02.1987 07:01:00   ;   559,75 ;     
01.02.1988 07:01:00   ;   559,79 ;     
31.12.1989 23:59:55   ;   559,60 ;     
02.01.1990 07:01:00   ;   559,59 ;     
01.01.1991 00:00:05   ;   559,64 ;     
07.01.1992 07:01:00   ;   559,74 ;     
01.02.1993 07:01:00   ;   559,69 ;     
31.12.1994 23:59:55   ;   559,61 ;     
08.01.1995 07:01:00   ;   559,60 ;     
14.04.1996 07:01:00   ;   559,58 ;     
31.12.1997 23:59:55   ;   559,67 ;     
04.01.1998 07:01:00   ;   559,65 ;     
10.01.1999 07:01:00   ;   559,78 ;     
09.01.2000 10:00:00   ;   559,84 ;     
30.12.2001 07:01:00   ;   559,85 ;     
03.02.2002 10:00:00   ;   559,70 ;     
14.04.2003 16:30:00   ;   559,74 ;     
03.01.2005 17:00:00   ;   559,63 ;     
31.12.2006 23:59:55   ;   559,56 ;     
16.01.2007 16:00:00   ;   559,44 ;     
21.01.2008 16:55:00   ;   559,60 ;     
28.01.2009 07:05:00   ;   559,75 ;     
23.03.2010 07:10:00   ;   559,54 ;     
09.03.2011 07:30:00   ;   559,67 ;     
01.01.2012 00:00:05   ;   559,73 ;     
09.04.2013 06:00:00   ;   559,71 ;     
10.03.2014 07:10:00   ;   559,66 ;     
31.12.2015 23:59:55   ;   559,61 ;     
18.01.2016 17:10:00   ;   559,48 ;     
07.03.2017 17:15:00   ;   559,46 ;     
10.12.2018 16:55:00   ;   559,65 ;     
03.01.2019 17:30:00   ;   559,64 ;     
09.03.2020 16:45:00   ;   559,76 ;     
31.12.2021 23:59:55   ;   559,67 ;     
