Messstelle:                ;Radfeld, Bl  2
HZB-Nummer:                ;330753
HD-Nummer:                 ;
DBMS-Nummer:               ;7002054
Fremdnummer:               ;GW70520076
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.11.2017
 Geländehöhe:              ;512,51
 Messpunkthöhe:            ;513,61
 Sohllage:                 ;499,76
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1987               ;11 55 04                 ;47 26 46
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1987 07:01:00   ;   508,46 ;     
15.02.1988 07:01:00   ;   508,52 ;     
31.12.1989 23:59:55   ;   508,44 ;     
12.02.1990 07:01:00   ;   508,38 ;     
18.03.1991 07:01:00   ;   508,38 ;     
03.02.1992 07:01:00   ;   508,54 ;     
15.03.1993 07:01:00   ;   508,59 ;     
07.11.1994 07:01:00   ;   508,60 ;     
23.01.1995 07:01:00   ;   508,51 ;     
18.03.1996 07:01:00   ;   508,32 ;     
17.02.1997 07:01:00   ;   508,56 ;     
03.03.1998 07:01:00   ;   508,44 ;     
08.02.1999 07:01:00   ;   508,52 ;     
10.01.2000 09:00:00   ;   508,60 ;     
31.12.2001 23:59:55   ;   508,59 ;     
21.01.2002 08:00:00   ;   508,51 ;     
29.12.2003 08:00:00   ;   508,32 ;     
01.01.2004 00:00:05   ;   508,33 ;     
10.01.2005 15:30:00   ;   508,37 ;     
31.12.2006 23:59:55   ;   508,33 ;     
07.01.2007 11:00:00   ;   508,29 ;     
27.01.2008 11:00:00   ;   508,38 ;     
31.12.2009 23:59:55   ;   508,30 ;     
31.12.2010 23:59:55   ;   508,04 ;     
13.03.2011 11:00:00   ;   507,75 ;     
01.01.2012 11:00:00   ;   508,52 ;     
14.04.2013 10:00:00   ;   508,54 ;     
16.03.2014 11:00:00   ;   508,53 ;     
31.12.2015 23:59:55   ;   508,35 ;     
03.01.2016 11:00:00   ;   508,33 ;     
19.02.2017 11:00:00   ;   508,40 ;     
27.03.2018 11:00:00   ;   508,56 ;     
05.01.2019 08:00:00   ;   508,66 ;     
31.12.2020 18:00:00   ;   508,63 ;     
29.12.2021 14:00:00   ;   508,54 ;     
