Messstelle:                ;Hainburg a.d.D., Bl 348
HZB-Nummer:                ;331249
HD-Nummer:                 ;
DBMS-Nummer:               ;3002815
PorenGW-Gebiet:            ;264 Fischamend bis Hainburger Pforte
Grundwasserkörper:         ;Gruppe Südl. Wiener Becken-Ostrand [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.12.2012
 Geländehöhe:              ;173,49
 Messpunkthöhe:            ;174,19
 Sohllage:                 ;158,79
 T-Messtiefe u.GOK:        ;13,30
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 57 46                 ;48 08 47
  01.01.1984               ;16 57 47                 ;48 08 46
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.1984 07:01:00   ;   163,78 ;     
17.11.1985 07:01:00   ;   163,88 ;     
28.12.1986 07:01:00   ;   163,86 ;     
01.01.1987 00:00:05   ;   163,86 ;     
21.02.1988 07:01:00   ;   163,87 ;     
26.03.1989 07:01:00   ;   163,87 ;     
07.02.1990 07:01:00   ;   163,84 ;     
31.03.1991 07:01:00   ;   163,84 ;     
25.10.1992 07:01:00   ;   163,69 ;     
31.10.1993 07:01:00   ;   163,76 ;     
30.10.1994 07:01:00   ;   163,89 ;     
29.01.1995 07:01:00   ;   163,89 ;     
31.12.1996 23:59:55   ;   163,92 ;     
02.02.1997 07:01:00   ;   163,85 ;     
15.03.1998 07:01:00   ;   163,87 ;     
28.11.1999 07:01:00   ;   163,91 ;     
03.12.2000 07:01:00   ;   163,89 ;     
11.02.2001 07:01:00   ;   163,88 ;     
10.04.2002 07:01:00   ;   163,88 ;     
31.12.2003 23:59:55   ;   163,83 ;     
04.01.2004 07:01:00   ;   163,83 ;     
20.02.2005 07:01:00   ;   163,83 ;     
24.12.2006 07:01:00   ;   163,88 ;     
04.02.2007 07:01:00   ;   163,87 ;     
30.11.2008 07:01:00   ;   163,90 ;     
08.11.2009 07:01:00   ;   163,88 ;     
17.02.2010 07:01:00   ;   163,90 ;     
31.12.2011 23:59:55   ;   163,84 ;     
04.11.2012 07:01:00   ;   163,81 ;     
05.01.2013 11:00:00   ;   163,83 ;     
08.05.2014 08:00:00   ;   163,81 ;     
30.12.2015 12:00:00   ;   163,87 ;     
01.02.2016 12:00:00   ;   163,84 ;     
27.03.2017 08:00:00   ;   163,81 ;     
05.12.2018 11:00:00   ;   163,84 ;     
11.11.2019 12:00:00   ;   163,86 ;     
22.05.2020 12:00:00   ;   163,82 ;     
12.12.2021 10:00:00   ;   163,87 ;     
