Messstelle:                ;Alt-Nagelberg, Bl 416
HZB-Nummer:                ;331967
HD-Nummer:                 ;
DBMS-Nummer:               ;3002886
PorenGW-Gebiet:            ;268 Lainsitzgebiet
Grundwasserkörper:         ;Gruppe Böhmische Masse [ELB]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1991
 Geländehöhe:              ;507,54
 Messpunkthöhe:            ;508,39
 Sohllage:                 ;498,34
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 00 12                 ;48 51 21
  01.01.1991               ;15 00 10                 ;48 51 20
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.11.1991 07:01:00   ;   506,11 ;     
28.09.1992 07:01:00   ;   506,05 ;     
07.06.1993 07:01:00   ;   506,31 ;     
21.11.1994 07:01:00   ;   506,06 ;     
23.01.1995 07:01:00   ;   506,22 ;     
11.03.1996 07:01:00   ;   506,43 ;     
10.11.1997 07:01:00   ;   506,36 ;     
19.10.1998 07:01:00   ;   506,19 ;     
06.12.1999 07:01:00   ;   505,97 ;     
10.01.2000 07:01:00   ;   505,94 ;     
01.01.2001 07:01:00   ;   506,31 ;     
03.06.2002 07:01:00   ;   506,38 ;     
29.09.2003 07:01:00   ;   506,08 ;     
20.09.2004 07:01:00   ;   506,16 ;     
03.01.2005 07:01:00   ;   506,37 ;     
25.12.2006 07:01:00   ;   506,07 ;     
01.01.2007 00:00:05   ;   506,09 ;     
03.11.2008 07:01:00   ;   506,33 ;     
05.10.2009 07:01:00   ;   506,37 ;     
15.11.2010 07:01:00   ;   506,44 ;     
26.12.2011 07:01:00   ;   506,11 ;     
09.01.2012 07:01:00   ;   506,12 ;     
30.12.2013 07:01:00   ;   506,23 ;     
13.01.2014 07:01:00   ;   506,23 ;     
05.10.2015 07:01:00   ;   506,05 ;     
03.10.2016 07:01:00   ;   506,24 ;     
17.07.2017 07:01:00   ;   506,17 ;     
21.11.2018 07:01:00   ;   506,01 ;     
16.12.2019 07:01:00   ;   506,15 ;     
01.01.2020 00:00:05   ;   506,22 ;     
27.12.2021 07:01:00   ;   506,17 ;     
