Messstelle:                ;Schruns, Bl 16.04.14
HZB-Nummer:                ;332387
HD-Nummer:                 ;16.04.14
DBMS-Nummer:               ;8002260
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.02.2019
 Geländehöhe:              ;675,44
 Messpunkthöhe:            ;676,41
 Sohllage:                 ;652,33
 T-Messtiefe u.GOK:        ;20,03
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1990               ;09 55 03                 ;47 04 27
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
16.01.1990 07:01:00   ;   659,72 ;     
16.12.1991 07:01:00   ;   660,80 ;     
16.11.1992 07:01:00   ;   661,60 ;     
19.12.1993 07:01:00   ;   661,09 ;     
31.12.1994 23:59:55   ;   658,11 ;     
03.01.1995 07:01:00   ;   658,08 ;     
20.10.1996 07:01:00   ;   658,39 ;     
23.03.1997 07:01:00   ;   659,15 ;     
06.03.1998 07:01:00   ;   659,79 ;     
20.02.1999 07:01:00   ;   659,42 ;     
31.12.2000 07:01:00   ;   661,68 ;     
23.01.2001 07:01:00   ;   661,36 ;     
27.02.2002 07:01:00   ;   661,36 ;     
30.09.2003 06:05:25   ;   660,50 ;     
30.12.2004 16:08:25   ;   660,40 ;     
16.03.2005 23:29:25   ;   660,06 ;     
30.01.2006 07:00:00   ;   660,35 ;     
01.01.2007 00:00:05   ;   661,71 ;     
19.12.2008 20:00:00   ;   660,72 ;     
28.02.2009 09:00:00   ;   660,48 ;     
24.02.2010 03:00:00   ;   661,41 ;     
31.12.2011 23:59:55   ;   660,82 ;     
01.01.2012 02:00:00   ;   660,82 ;     
31.12.2013 23:59:55   ;   660,83 ;     
13.02.2014 17:00:00   ;   660,54 ;     
31.12.2015 23:59:55   ;   658,86 ;     
28.01.2016 00:00:00   ;   658,72 ;     
27.01.2017 00:00:00   ;   658,86 ;     
04.12.2018 00:00:00   ;   657,34 ;     
01.01.2019 00:00:05   ;   657,80 ;     
01.02.2020 00:00:00   ;   660,41 ;     
29.12.2021 06:00:00   ;   656,92 ;     
01.01.2022 00:00:05   ;   657,01 ;     
