Messstelle:                ;Forchach, Bl  6
HZB-Nummer:                ;334359
HD-Nummer:                 ;
DBMS-Nummer:               ;7002113
Fremdnummer:               ;GW70810009
PorenGW-Gebiet:            ;012 Unteres Lechtal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.2019
 Geländehöhe:              ;906,25
 Messpunkthöhe:            ;907,30
 Sohllage:                 ;899,20
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1988               ;10 35 32                 ;47 25 21
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.12.1989 07:01:00   ;   901,59 ;     
22.01.1990 07:01:00   ;   901,51 ;     
25.02.1991 07:01:00   ;   901,52 ;     
27.01.1992 07:01:00   ;   901,77 ;     
08.03.1993 07:01:00   ;   901,76 ;     
26.12.1994 07:01:00   ;   901,68 ;     
18.12.1995 07:01:00   ;   901,48 ;     
11.03.1996 07:01:00   ;   901,26 ;     
08.12.1997 07:01:00   ;   901,41 ;     
09.02.1998 07:01:00   ;   901,33 ;     
16.02.1999 07:01:00   ;   901,32 ;     
24.01.2000 17:25:00   ;   901,43 ;     
24.12.2001 07:01:00   ;   901,39 ;     
14.01.2002 14:55:00   ;   901,38 ;     
25.08.2003 11:30:00   ;   901,32 ;     
31.12.2004 23:59:55   ;   901,33 ;     
26.12.2005 17:30:00   ;   901,10 ;     
16.01.2006 13:20:00   ;   901,03 ;     
01.01.2007 08:34:00   ;   901,30 ;     
31.12.2008 23:59:55   ;   901,32 ;     
23.02.2009 07:58:00   ;   901,17 ;     
15.02.2010 08:02:00   ;   901,27 ;     
28.02.2011 08:23:00   ;   901,33 ;     
20.02.2012 08:39:00   ;   901,29 ;     
25.02.2013 07:55:00   ;   901,40 ;     
03.03.2014 07:19:00   ;   901,47 ;     
16.11.2015 08:05:00   ;   901,23 ;     
31.12.2016 23:59:55   ;   901,29 ;     
23.01.2017 08:07:00   ;   901,23 ;     
27.08.2018 06:27:00   ;   901,44 ;     
13.12.2019 05:00:00   ;   901,67 ;     
27.01.2020 03:00:00   ;   901,58 ;     
27.01.2021 00:00:00   ;   901,55 ;     
