Messstelle:                ;Wildon, Br  3763
HZB-Nummer:                ;336966
HD-Nummer:                 ;uw3763
DBMS-Nummer:               ;6002799
PorenGW-Gebiet:            ;390 Leibnitzer Feld
Grundwasserkörper:         ;Leibnitzer Feld [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.10.1968
 Geländehöhe:              ;293,43
 Messpunkthöhe:            ;293,83
 Sohllage:                 ;290,03
 T-Messtiefe u.GOK:        ;3,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 31 27                 ;46 53 19
  01.10.1968               ;15 31 25                 ;46 53 19
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
10.02.1972 07:01:00   ;   290,56 ;     
27.11.1995 07:01:00   ;   290,65 ;     
01.01.1996 00:00:05   ;   290,67 ;     
19.05.1997 07:01:00   ;   290,57 ;     
01.06.1998 07:01:00   ;   290,64 ;     
14.06.1999 07:01:00   ;   290,67 ;     
28.08.2000 07:01:00   ;   290,65 ;     
31.12.2001 23:59:55   ;   290,63 ;     
28.01.2002 07:01:00   ;   290,56 ;     
12.05.2003 07:01:00   ;   290,64 ;     
02.02.2004 07:01:00   ;   290,64 ;     
16.05.2005 07:01:00   ;   290,64 ;     
31.12.2006 23:59:55   ;   290,74 ;     
18.06.2007 07:01:00   ;   290,66 ;     
21.04.2008 07:01:00   ;   290,64 ;     
19.01.2009 07:01:00   ;   290,83 ;     
02.08.2010 07:01:00   ;   290,79 ;     
26.12.2011 07:01:00   ;   290,74 ;     
13.02.2012 07:01:00   ;   290,68 ;     
20.10.2013 00:00:00   ;   290,58 ;     
30.01.2014 00:00:00   ;   290,81 ;     
02.10.2015 12:00:00   ;   290,66 ;     
31.12.2016 00:00:00   ;   290,63 ;     
05.02.2017 00:00:00   ;   290,44 ;     
13.10.2018 00:00:00   ;   290,55 ;     
12.10.2019 00:00:00   ;   290,44 ;     
11.04.2020 00:00:00   ;   290,64 ;     
21.10.2021 12:00:00   ;   290,60 ;     
